Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
150	-196.0041	-184.4328	-11.57121	428991.5	7.751256	0.0131365	0.0141194	0.0304886	0.0994296	0.08479	0.00218343	0.0183576	0.0297764	0.484842	0.0462786	0.0483518	0.0485308	0.0592602	0.0455784	0.0559257	0.0754162	0.0694296	0.306019	0.296963	0.135946	0.0524978	0.101313	0.697019	0.0188354	0.0615755	0.99806	0.999504	1.0005	1.00194	2.896063
160	-207.4351	-188.9895	-18.44557	711357	9.205148	0.0241948	0.0117705	0.0238728	0.14783	0.217557	0.00654112	0.0675857	0.049237	0.342607	0.0307663	0.130642	0.0488165	0.144883	0.0360674	0.0728647	0.133178	0.0396231	0.647903	0.521863	0.168701	0.0922365	0.209065	0.203208	0.0514892	0.198232	0.998493	0.999615	1.00038	1.00151	3.620736
170	-206.7613	-190.236	-16.52527	845194.7	5.440328	0.0390147	0.0385097	0.0482222	0.152715	0.256754	0.0108148	0.108425	0.107638	0.255039	0.0294858	0.101228	0.0571064	0.181789	0.0129825	0.0589319	0.0334645	0.0289216	0.497919	0.636004	0.0810614	0.102893	0.124934	0.350924	0.0545751	0.125654	0.998618	0.999647	1.00035	1.00138	3.495007
180	-209.1312	-190.5007	-18.63049	801517.6	8.027017	0.07464	0.0502911	0.0194487	0.417769	0.123734	0.0122436	0.129436	0.0482986	0.236528	0.0394295	0.125449	0.131677	0.186451	0.00813571	0.0460931	0.0303716	0.0289756	0.34006	0.625111	0.224435	0.192787	0.0720847	0.202996	0.131506	0.280064	0.998581	0.999637	1.00036	1.00142	3.778018
190	-200.0869	-185.3173	-14.76963	452564.9	7.17191	0.138344	0.0595251	0.0224319	0.146733	0.0659511	0.00396785	0.0766656	0.0627577	0.101048	0.0305507	0.0785579	0.10275	0.0241603	0.0105004	0.0520409	0.0143855	0.1103	0.320648	0.538234	0.120225	0.325565	0.0741395	0.199211	0.335067	0.307581	0.998111	0.999517	1.00048	1.00189	3.32134
200	-198.4461	-187.148	-11.2981	230261.1	7.160445	0.0678192	0.0753707	0.0504195	0.117374	0.128888	0.00334501	0.0315342	0.0245517	0.157062	0.00288224	0.0302636	0.0832539	0.0216037	0.016502	0.0145251	0.0572418	0.110841	0.24252	0.568918	0.092938	0.055423	0.126549	0.125387	0.280487	0.35087	0.997352	0.999322	1.00068	1.00265	2.836571
210	-205.8246	-187.7224	-18.10213	737227.2	7.020382	0.0630308	0.119899	0.0534469	0.0850701	0.157129	0.00880323	0.02825	0.0253597	0.304405	0.00595224	0.0479303	0.323077	0.00867401	0.0321749	0.0253209	0.0779089	0.153298	0.114305	1.07284	0.0967871	0.0567806	0.254806	0.0557888	0.334923	0.290029	0.99852	0.999621	1.00038	1.00148	3.795989
220	-201.3816	-189.1312	-12.25041	716528	9.818034	0.0352309	0.151612	0.030871	0.0577205	0.26774	0.00698858	0.019391	0.0270157	0.235026	0.00837615	0.0566451	0.340439	0.0247301	0.00661346	0.0121925	0.0168917	0.15046	0.175488	0.485547	0.0610476	0.0375317	0.32994	0.0656183	0.200108	0.112137	0.998499	0.999616	1.00038	1.0015	2.915362
230	-211.3622	-187.3081	-24.05413	339999.6	5.794727	0.0493727	0.0866376	0.0603777	0.041327	0.125836	0.0253594	0.0244851	0.0358114	0.161499	0.00511537	0.0382696	0.38904	0.054523	0.0471909	0.0110642	0.0186119	0.106181	0.109202	1.96517	0.0771271	0.0479208	1.03076	0.0250282	0.0469911	0.257652	0.997821	0.999442	1.00056	1.00218	4.840554
240	-205.5826	-185.1656	-20.41696	203904.7	6.790772	0.13443	0.101293	0.0219309	0.0284888	0.340936	0.00745161	0.0249714	0.0202829	0.233954	0.020819	0.043122	0.161314	0.0902367	0.0816841	0.086206	0.0158029	0.117548	0.0976202	1.52555	0.123428	0.0732329	0.309819	0.0289423	0.204151	0.256342	0.997186	0.99928	1.00072	1.00282	4.14956
