Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
21260	-207.56	-190.3394	-17.22055	495336.8	5.901058	0.0169072	0.15924	0.0876963	0.220696	0.245483	0.0549014	0.0469934	0.119729	0.379239	0.439501	0.0218056	0.158882	0.00855069	0.0249385	0.112027	0.201613	0.155707	0.495334	0.0861809	0.0758315	0.0340337	0.28071	0.0268315	0.0611986	0.154705	0.998195	0.999538	1.00046	1.00181	3.668736
21270	-208.4272	-190.0675	-18.35968	923882.8	9.747307	0.0329955	0.0756155	0.0687402	0.301893	0.333109	0.0624106	0.0953685	0.0495255	0.3017	0.233745	0.0193806	0.137172	0.00534648	0.0135578	0.104589	0.159832	0.10325	0.455125	0.177118	0.268568	0.0121096	0.245393	0.021606	0.157902	0.110137	0.998678	0.999662	1.00034	1.00132	3.546189
21280	-199.1502	-189.337	-9.813204	822436.9	8.190338	0.0152581	0.0634809	0.102435	0.0953448	0.109166	0.0516658	0.0665892	0.0170987	0.284638	0.212694	0.0117752	0.142281	0.00342562	0.0178042	0.237913	0.0536857	0.0967744	0.61425	0.0408889	0.0497841	0.00901356	0.0895443	0.0108021	0.0658228	0.221492	0.998599	0.999642	1.00036	1.0014	2.683627
21290	-203.8281	-193.4485	-10.3796	195540.2	10.11628	0.0432373	0.0369224	0.0721061	0.0971499	0.117075	0.119349	0.134044	0.0522754	0.24026	0.114933	0.0135563	0.167091	0.0178277	0.0111652	0.154733	0.0345589	0.0965176	0.567815	0.0150756	0.111083	0.0219838	0.265467	0.00922483	0.0289421	0.170146	0.997127	0.999264	1.00073	1.00288	2.712538
21300	-199.2709	-185.9571	-13.31371	383051.3	10.17586	0.113117	0.0213072	0.0636407	0.147829	0.0218532	0.0579378	0.098867	0.0533871	0.346734	0.0973417	0.0488017	0.224185	0.0265824	0.0127026	0.14729	0.0368109	0.122067	0.594918	0.0350592	0.0958457	0.130131	0.290968	0.0364401	0.0364474	0.137989	0.997947	0.999475	1.00052	1.00205	2.998252
21310	-209.596	-189.9437	-19.6523	527769.7	8.72835	0.0865893	0.14617	0.0983549	0.412866	0.0265622	0.0385437	0.0147122	0.0391755	0.189176	0.0686214	0.0711975	0.120412	0.0481841	0.00318295	0.966216	0.0220778	0.14446	0.471756	0.0801219	0.0607381	0.191936	0.353479	0.0289018	0.0414133	0.0905151	0.998251	0.999553	1.00045	1.00175	3.815365
21320	-204.7642	-183.995	-20.76919	116765.8	5.007635	0.14317	0.047194	0.0452349	0.172514	0.0976808	0.0502011	0.0213803	0.0487907	0.237741	0.0141657	0.101171	0.121751	0.0524207	0.00612744	0.747032	0.0199259	0.167005	1.42317	0.11711	0.0685916	0.161947	0.248382	0.0969599	0.022103	0.0162549	0.996283	0.999047	1.00095	1.00372	4.248024
21330	-203.506	-188.7538	-14.75223	434585.8	7.022687	0.0289809	0.071102	0.0904913	0.183398	0.0793018	0.0180532	0.0752166	0.157191	0.239314	0.00676731	0.0972968	0.154472	0.0910248	0.00572783	0.209915	0.034877	0.0467746	0.549385	0.111608	0.0341847	0.125858	0.43202	0.389276	0.0607912	0.0258086	0.998072	0.999507	1.00049	1.00193	3.318834
21340	-202.1229	-188.4492	-13.67374	515327.6	7.552777	0.0371336	0.090922	0.121711	0.247048	0.130457	0.0390957	0.0707886	0.082918	0.276868	0.00699784	0.0454541	0.142518	0.0391182	0.0082003	0.140415	0.190337	0.0453113	0.461236	0.0550857	0.0444973	0.117301	0.435735	0.234397	0.0879613	0.0184349	0.99823	0.999547	1.00045	1.00177	3.169942
21350	-201.4647	-189.3927	-12.07201	748358.3	11.11881	0.0456723	0.0868288	0.0665258	0.186951	0.122015	0.0566505	0.0233918	0.0967767	0.311851	0.00392554	0.0901053	0.0761585	0.0299171	0.0220316	0.338696	0.246027	0.0179458	0.243873	0.0621697	0.0148065	0.121251	0.336093	0.161086	0.0388045	0.0150463	0.998531	0.999624	1.00037	1.00147	2.8146
21360	-201.4636	-189.3913	-12.07224	695202.3	5.912764	0.0155264	0.05947	0.0558538	0.187051	0.22011	0.0900812	0.113136	0.051519	0.302274	0.00341703	0.0249422	0.0195523	0.0240736	0.0185023	0.367255	0.094867	0.0226705	0.154288	0.00980735	0.0457234	0.0952907	0.365166	0.387815	0.0218948	0.0484589	0.998476	0.99961	1.00039	1.00152	2.798746
21370	-196.7464	-185.6858	-11.06056	969876.5	7.150222	0.011475	0.0764915	0.126796	0.126519	0.0669726	0.0427679	0.0414816	0.0666707	0.223934	0.0135262	0.0395009	0.0372809	0.0212436	0.00942619	0.172933	0.0446538	0.155447	0.435841	0.00956495	0.100858	0.0641897	0.375211	0.513514	0.00681127	0.0195849	0.99871	0.99967	1.00033	1.00129	2.802695
21380	-197.1195	-189.8023	-7.317179	650611.2	9.874711	0.00758621	0.0467097	0.0449418	0.154264	0.208067	0.0106614	0.0131641	0.105259	0.144974	0.007927	0.0315086	0.0469227	0.0347163	0.00611032	0.150255	0.0389558	0.0479275	0.295829	0.0248932	0.25042	0.0576664	0.368749	0.243069	0.0296176	0.042276	0.998425	0.999597	1.0004	1.00158	2.412472
21390	-200.3487	-189.6662	-10.68252	517922.8	9.031278	0.0175461	0.0082183	0.0627375	0.240479	0.2131	0.00424695	0.011503	0.0408981	0.271435	0.00406415	0.227009	0.0324797	0.0290371	0.00555927	0.131759	0.034095	0.0516601	0.228166	0.0286194	0.128527	0.0761716	0.444427	0.404083	0.0488137	0.0372982	0.998234	0.999548	1.00045	1.00177	2.781933
21400	-203.0063	-192.2397	-10.76658	861616.9	10.4458	0.0551254	0.00457557	0.0491026	0.243056	0.117391	0.00576498	0.00842621	0.0534337	0.0729789	0.00458475	0.243694	0.0377411	0.0185292	0.00144652	0.0840447	0.021658	0.0714902	0.217825	0.0263523	0.149557	0.27286	0.337516	0.274175	0.0618906	0.301204	0.998631	0.99965	1.00035	1.00137	2.734422
21410	-201.6903	-185.0227	-16.66766	957475.1	5.41615	0.0319199	0.00854071	0.0570186	0.183068	0.194187	0.0421823	0.00938091	0.0900917	0.375437	0.00425864	0.0845072	0.0147341	0.0855532	0.00161697	0.0279058	0.0197389	0.0336426	0.101096	0.0377312	0.230682	0.359348	0.643684	0.209067	0.125329	0.546511	0.998701	0.999668	1.00033	1.0013	3.517232
21420	-198.1628	-189.3463	-8.816488	815249.3	9.952444	0.0193539	0.00721145	0.0459613	0.137063	0.31556	0.0128753	0.00701212	0.0435937	0.241528	0.0273512	0.206387	0.0202889	0.0389392	0.00112219	0.0323289	0.0432907	0.027402	0.116628	0.0169783	0.137043	0.108905	0.496294	0.120491	0.133762	0.20504	0.998593	0.99964	1.00036	1.00141	2.562411
21430	-198.0477	-188.9667	-9.081092	936584.5	10.53319	0.0461677	0.00709759	0.0304993	0.253047	0.0903228	0.0188386	0.0147953	0.0537394	0.169324	0.0190455	0.129504	0.0656984	0.0279126	0.000339351	0.0848002	0.0232548	0.0408891	0.091916	0.0195605	0.0651743	0.182902	0.618309	0.120038	0.0473634	0.349294	0.998687	0.999664	1.00034	1.00131	2.569832
21440	-213.5154	-199.1446	-14.37081	839098.1	9.647419	0.109994	0.0235683	0.0576663	0.492923	0.10422	0.0558885	0.0102298	0.016135	0.420129	0.0144405	0.167749	0.0698747	0.037479	0.000231845	0.046421	0.0425897	0.0628324	0.063042	0.0176102	0.152892	0.088246	0.679679	0.170747	0.0550625	0.185167	0.998613	0.999645	1.00035	1.00139	3.144818
21450	-202.3037	-184.968	-17.33569	651700.5	6.914543	0.22173	0.0370816	0.0372707	0.36803	0.273578	0.0213246	0.0237439	0.0308357	0.314259	0.0290588	0.0339889	0.0441619	0.108456	0.000446875	0.0144028	0.101734	0.0466493	0.108793	0.0116126	0.200264	0.0725633	0.663514	0.248448	0.0572547	0.622185	0.998426	0.999597	1.0004	1.00158	3.691387
21460	-207.931	-188.7518	-19.17915	913533.2	5.777229	0.0753942	0.198565	0.0604222	0.474281	0.290661	0.0449387	0.0102734	0.0243521	0.172153	0.0388964	0.0344409	0.0389211	0.133284	0.00068191	0.0254422	0.19912	0.0673403	0.193408	0.0177802	0.375922	0.0777718	0.740266	0.244075	0.0877196	0.372797	0.99867	0.99966	1.00034	1.00133	3.998908
21470	-205.8312	-186.531	-19.30017	38219.6	4.584796	0.0522359	0.0980467	0.14209	0.436934	0.205466	0.0368324	0.0119705	0.0377939	0.196232	0.0768914	0.0422256	0.0353745	0.0668919	0.000510079	0.0288895	0.0235102	0.0853933	0.312046	0.0381007	0.336517	0.0204899	0.65023	0.231397	0.0519248	0.638808	0.993506	0.998332	1.00165	1.00651	3.856801
21480	-200.6631	-185.6247	-15.0384	13504.72	7.674551	0.019934	0.2218	0.053609	0.285512	0.25681	0.0411118	0.00672255	0.0876222	0.273084	0.115817	0.0209407	0.078296	0.0509998	0.000591873	0.0254129	0.0416407	0.0209997	0.3073	0.0477653	0.258171	0.0514489	0.661534	0.139681	0.0953581	0.184226	0.989083	0.997185	1.00277	1.01096	3.346389
21490	-199.8416	-185.6746	-14.167	86555.67	8.78614	0.015127	0.0738349	0.0235508	0.328107	0.185738	0.0472119	0.00768562	0.0718	0.043077	0.214579	0.066994	0.0742689	0.0843137	0.00102931	0.0419863	0.05961	0.0190464	0.271407	0.0576845	0.31535	0.0921526	0.654258	0.156058	0.0827221	0.195826	0.995683	0.998893	1.0011	1.00432	3.183417
21500	-203.3242	-183.7411	-19.58303	68724.7	4.963094	0.0228094	0.0747921	0.0258332	0.184302	0.438958	0.0598665	0.00643463	0.0613166	0.0846519	0.123283	0.0513141	0.0847677	0.122889	0.0011161	0.012241	0.0645988	0.0305002	0.21771	0.0355775	0.510527	0.189804	1.24032	0.149484	0.0686496	0.142196	0.995155	0.998757	1.00123	1.00485	4.003943
21510	-208.7214	-194.9618	-13.75961	505232.8	7.963856	0.0156256	0.059879	0.0213546	0.227596	0.184712	0.227583	0.0214406	0.123932	0.0275255	0.126105	0.0600296	0.148461	0.152233	0.000133923	0.0118372	0.222938	0.050872	0.16126	0.04544	0.24727	0.110299	0.610944	0.191712	0.0594673	0.0644941	0.998212	0.999543	1.00046	1.00179	3.173145
21520	-208.3586	-190.3902	-17.96848	236232.6	5.431268	0.0231533	0.0542379	0.0285132	0.322619	0.16316	0.108003	0.0257111	0.0680268	0.102868	0.55319	0.0456299	0.266739	0.0731759	0.000164936	0.0172717	0.0655822	0.0299989	0.285402	0.100781	0.313288	0.36888	0.498501	0.169708	0.0643147	0.0103022	0.997386	0.999331	1.00067	1.00262	3.759222
21530	-211.1231	-192.3761	-18.74698	91372.72	6.961996	0.0749374	0.01963	0.0335375	0.146925	0.237202	0.188915	0.0334302	0.0316705	0.196193	0.31543	0.0451916	0.0975381	0.206857	0.000130294	0.0383161	0.076506	0.0412619	0.506783	0.526328	0.239243	0.1222	0.535456	0.104108	0.0330937	0.0412523	0.995798	0.998923	1.00107	1.00421	3.892135
21540	-215.6119	-189.732	-25.87998	177224.8	4.415574	0.139088	0.0270938	0.0693176	0.224873	0.204369	0.192288	0.0721797	0.178959	0.400443	0.386122	0.0836759	0.0783926	0.197715	0.000474227	0.0396922	0.0273677	0.243249	0.260612	0.669402	0.203089	0.255444	1.21165	0.066015	0.0436373	0.0143357	0.996982	0.999227	1.00077	1.00302	5.289483
21550	-213.3162	-192.0382	-21.27796	180295.4	6.670263	0.105675	0.0315861	0.0560034	0.163898	0.231528	0.135128	0.101737	0.230275	0.665256	0.332356	0.085886	0.0184394	0.156184	0.000231113	0.0164913	0.0699402	0.414412	0.441802	0.409492	0.0506069	0.0974926	0.274223	0.107363	0.0430605	0.0510468	0.997008	0.999234	1.00076	1.003	4.290113
21560	-211.484	-193.8606	-17.62342	86447.23	4.571178	0.0674649	0.0408745	0.169443	0.176885	0.214846	0.0449334	0.167072	0.15904	0.328773	0.439665	0.0411828	0.0185946	0.223165	0.000166338	0.00428936	0.0486748	0.304658	0.30373	0.112448	0.0436181	0.167771	0.160472	0.0549892	0.0396871	0.153367	0.99568	0.998892	1.0011	1.00433	3.48581
21570	-211.3491	-191.7143	-19.63475	157546.1	5.609997	0.0242242	0.083854	0.100878	0.272048	0.218644	0.0304732	0.232479	0.0446102	0.59442	0.465344	0.0779529	0.0384782	0.0334637	0.000365906	0.00563744	0.0436537	0.286615	0.565945	0.0628556	0.0186101	0.115953	0.57513	0.0773654	0.0159846	0.0894	0.996799	0.99918	1.00082	1.0032	4.074387
21580	-203.0861	-185.2084	-17.87773	33399.33	6.883007	0.0092348	0.168013	0.132681	0.132612	0.291429	0.0227809	0.037304	0.0404593	0.379293	0.317287	0.0500352	0.020593	0.0368099	0.000742964	0.00823434	0.0202674	0.291483	0.340626	0.0735081	0.032708	0.0986436	0.947193	0.242989	0.0112843	0.0651515	0.993053	0.998215	1.00177	1.00696	3.771363
21590	-201.0404	-181.7641	-19.27623	111425.5	4.890772	0.00157673	0.135941	0.0567123	0.163093	0.0797969	0.024127	0.030558	0.0729181	0.276785	0.253836	0.126972	0.0210918	0.0396772	0.0017863	0.00677891	0.0454809	0.642412	0.278098	0.107618	0.0292811	0.0953629	0.97703	0.173915	0.0180868	0.269407	0.996195	0.999025	1.00097	1.00381	3.928341
21600	-204.6082	-188.3746	-16.23366	408797.1	7.738326	0.000266612	0.14959	0.0498343	0.0452787	0.169133	0.0168976	0.0128531	0.0148321	0.240189	0.187658	0.0684063	0.0280906	0.0493172	0.0128223	0.011024	0.0739018	0.533858	0.117958	0.149469	0.0203575	0.115402	0.586427	0.310001	0.0376304	0.497159	0.998013	0.999492	1.00051	1.00199	3.498357
21610	-215.7307	-193.1549	-22.57575	294128.9	4.851717	0.000430592	0.448237	0.0214714	0.156618	0.479034	0.0802485	0.0124007	0.0137637	0.607016	0.101626	0.0572918	0.056388	0.0446497	0.0286398	0.0102787	0.0342717	0.59302	0.0627626	0.148328	0.0110221	0.161659	0.987919	0.274108	0.0888003	0.120349	0.997657	0.9994	1.0006	1.00234	4.600334
21620	-209.6426	-191.3927	-18.24996	401241.5	7.001543	0.000930012	0.526218	0.046447	0.226728	0.0767086	0.0654793	0.0108417	0.049934	0.444968	0.107265	0.122684	0.0562251	0.138279	0.0139831	0.0134304	0.0290125	0.169801	0.10361	0.168729	0.0292873	0.138344	0.82162	0.056552	0.185012	0.216171	0.997994	0.999487	1.00051	1.00201	3.818261
21630	-209.6314	-192.3491	-17.28236	883354.1	5.973734	0.000183694	0.415578	0.269225	0.178313	0.0817085	0.0702023	0.0073286	0.0677351	0.270306	0.115754	0.0655045	0.19842	0.0821787	0.0167623	0.0179967	0.0183802	0.334474	0.069344	0.305434	0.0379178	0.207058	0.452526	0.0836152	0.112917	0.204378	0.998648	0.999654	1.00035	1.00135	3.683243
21640	-208.4878	-187.5131	-20.97466	997792.6	7.029754	0.000152858	0.260071	0.168651	0.23745	0.208668	0.0741549	0.00675258	0.0749092	0.477618	0.287169	0.0116192	0.132738	0.146319	0.0399074	0.126658	0.0751928	0.288662	0.0141272	0.233514	0.0142437	0.268625	0.504337	0.237154	0.0228659	0.29247	0.998728	0.999675	1.00032	1.00127	4.20403
21650	-200.7452	-188.8505	-11.89474	619820.9	8.376566	9.27134e-05	0.171953	0.112396	0.206617	0.0480157	0.0336646	0.0177897	0.0328068	0.181369	0.168706	0.0024154	0.0835295	0.0934051	0.0449543	0.0427624	0.0797126	0.34577	0.00436111	0.328454	0.0245885	0.460183	0.298055	0.0749897	0.0256977	0.0528253	0.998386	0.999587	1.00041	1.00161	2.935114
21660	-205.0983	-185.881	-19.21733	335817.9	4.119848	0.0011329	0.112594	0.101868	0.172621	0.210256	0.0381055	0.095064	0.0719363	0.271753	0.0464767	0.00310999	0.138665	0.128242	0.0214857	0.0753638	0.0324448	0.408594	0.00553839	0.518444	0.013792	0.515087	0.426119	0.0746004	0.0305306	0.131835	0.997807	0.999439	1.00056	1.00219	3.645659
21670	-215.1155	-193.8854	-21.23016	882667.8	6.881523	0.00074519	0.131125	0.300411	0.120188	0.255061	0.0616261	0.0968894	0.0838903	0.153299	0.197082	0.00598303	0.245736	0.0381267	0.0319634	0.0518068	0.160109	0.238175	0.00366009	0.443555	0.071252	0.283504	0.81317	0.110369	0.0252225	0.335651	0.998647	0.999654	1.00035	1.00135	4.2586
21680	-212.0489	-196.3923	-15.65658	875500.9	7.05519	0.001274	0.121199	0.0326331	0.110383	0.219902	0.0842615	0.0858355	0.0259329	0.0744957	0.0644251	0.0223791	0.242641	0.0507177	0.134224	0.280911	0.168517	0.0880677	0.00621864	0.203807	0.0221061	0.165152	1.0046	0.127803	0.0224712	0.0872126	0.998642	0.999653	1.00035	1.00136	3.447169
21690	-206.5961	-192.3952	-14.20092	494853.6	7.311418	0.00341199	0.11763	0.158734	0.247241	0.15582	0.092291	0.0400797	0.0320734	0.0106629	0.073067	0.026572	0.0665062	0.0886793	0.231525	0.165576	0.0758515	0.0810342	0.0165482	0.187998	0.0220041	0.173846	0.539001	0.346402	0.0615642	0.228121	0.998194	0.999538	1.00046	1.00181	3.242239
21700	-213.3088	-195.0597	-18.24904	548124.2	4.9209	0.000756407	0.0889994	0.158734	0.436612	0.146811	0.0169227	0.0437207	0.047653	0.0490459	0.0927711	0.0289801	0.102761	0.0870417	0.183166	0.202134	0.109459	0.138434	0.0169572	0.407525	0.0495408	0.198495	0.499094	0.345044	0.0929663	0.181903	0.998284	0.999561	1.00044	1.00172	3.725527
21710	-205.7967	-198.5599	-7.236848	962040.9	9.320103	0.000985485	0.047686	0.189545	0.180508	0.0851448	0.047396	0.0270385	0.0676509	0.0455013	0.0682775	0.0518443	0.0501681	0.0492459	0.154805	0.229626	0.0665491	0.0464337	0.0417937	0.211772	0.0543918	0.139504	0.354445	0.121236	0.0298204	0.0428925	0.998704	0.999669	1.00033	1.0013	2.404262
21720	-205.6702	-191.5194	-14.15084	561833.8	6.720637	0.00234405	0.155989	0.116748	0.118442	0.164916	0.0774017	0.141883	0.0691025	0.10203	0.0810196	0.0606084	0.111755	0.05863	0.0665205	0.164524	0.265352	0.0433352	0.0383676	0.134495	0.0406066	0.186159	0.85079	0.10617	0.0382545	0.0285184	0.998305	0.999566	1.00043	1.0017	3.223962
21730	-202.8817	-190.1848	-12.69692	362938.5	8.179525	0.00022368	0.0764011	0.136763	0.211857	0.235201	0.0111289	0.238601	0.0437536	0.182093	0.0473969	0.0219666	0.122459	0.0447225	0.0189735	0.231655	0.17534	0.0851573	0.0612484	0.0558117	0.0519614	0.117871	0.709144	0.0346739	0.0428031	0.0787478	0.997891	0.99946	1.00054	1.00211	3.035954
21740	-204.5158	-191.8902	-12.62557	198195.4	6.752623	0.000949436	0.0253941	0.101771	0.167283	0.154674	0.00959956	0.352287	0.0308606	0.351251	0.148199	0.017771	0.0318587	0.0415219	0.029744	0.169951	0.0552901	0.021881	0.0925085	0.125665	0.11494	0.239689	0.588205	0.0367575	0.0296286	0.0617644	0.997146	0.999269	1.00073	1.00286	2.999444
21750	-203.4944	-190.1655	-13.32883	593049.7	9.554528	0.00359182	0.0630176	0.0613833	0.0392927	0.0602186	0.0121402	0.116268	0.129972	0.133503	0.295037	0.211306	0.0451473	0.0249987	0.0691815	0.155392	0.0562012	0.0516795	0.0418795	0.0612213	0.183914	0.17478	0.863476	0.0144124	0.0482117	0.12674	0.99835	0.999578	1.00042	1.00165	3.042966
21760	-200.8588	-184.905	-15.95384	698889	4.79018	0.00306596	0.138772	0.0461438	0.139876	0.105256	0.00982995	0.0289935	0.0444299	0.0756196	0.252061	0.183114	0.149939	0.0118125	0.051617	0.110684	0.0866025	0.0908515	0.0064425	0.0233163	0.197676	0.344734	0.83836	0.00800844	0.034463	0.231322	0.99848	0.999611	1.00039	1.00152	3.21299
21770	-200.1233	-183.4251	-16.69824	540991.5	7.607257	0.00579388	0.128651	0.0873288	0.0787307	0.121264	0.011569	0.0186334	0.0275976	0.20257	0.284098	0.104843	0.104219	0.0379375	0.0482165	0.113111	0.175424	0.0871816	0.0180431	0.248931	0.0841843	0.456046	0.811819	0.00437548	0.0280797	0.278363	0.998272	0.999558	1.00044	1.00173	3.567009
21780	-203.8319	-186.8177	-17.01419	265809.9	7.023772	0.00380922	0.149892	0.16694	0.180739	0.116274	0.0381007	0.0437577	0.0745562	0.0895247	0.147336	0.0497002	0.114741	0.0200072	0.0402387	0.135837	0.0878128	0.199143	0.023738	0.123944	0.263771	0.210799	1.13011	0.00575221	0.0334199	0.190939	0.997536	0.999369	1.00063	1.00247	3.640884
21790	-205.814	-184.665	-21.14904	309196.2	6.696195	0.00401888	0.105147	0.0576471	0.270781	0.116685	0.0689271	0.0133568	0.201334	0.086323	0.206263	0.0493582	0.013132	0.028858	0.0663235	0.173807	0.152298	0.128933	0.0159577	0.0781503	0.646678	0.230469	0.974764	0.00972823	0.0353906	0.533627	0.997715	0.999415	1.00058	1.00229	4.267959
21800	-202.507	-182.9697	-19.53729	299208.8	7.081142	0.00787838	0.0553651	0.07248	0.105656	0.115746	0.0963052	0.0179688	0.0428177	0.0914603	0.29173	0.0231125	0.012821	0.0320462	0.0408879	0.142078	0.0471825	0.362712	0.045042	0.176099	0.289993	0.132758	1.45453	0.00274143	0.0392241	0.296161	0.997677	0.999406	1.00059	1.00232	3.994799
21810	-210.2887	-192.3566	-17.93205	729112.9	5.510988	0.0313737	0.0459391	0.138361	0.273871	0.177829	0.168082	0.0276823	0.0584521	0.156394	0.354608	0.122406	0.0200058	0.133003	0.306763	0.10665	0.05137	0.181516	0.0101718	0.117235	0.280388	0.065039	0.509754	0.00157839	0.0502099	0.372759	0.998512	0.999619	1.00038	1.00149	3.76144
21820	-209.0943	-194.3175	-14.77684	991448.2	7.624314	0.12788	0.0326316	0.212792	0.0380738	0.177351	0.102031	0.0361353	0.0558989	0.16862	0.22815	0.141191	0.0266688	0.182669	0.169901	0.0797041	0.0726206	0.108017	0.021862	0.172308	0.125163	0.0717231	0.631806	0.00161729	0.0770156	0.252084	0.998724	0.999674	1.00033	1.00128	3.313916
21830	-203.864	-187.6213	-16.24267	656588.1	9.865066	0.111954	0.086191	0.151145	0.0329771	0.0947969	0.058489	0.034032	0.0373267	0.274343	0.184488	0.0437171	0.0551316	0.0745	0.107107	0.0410749	0.0660023	0.0316678	0.0147934	0.229758	0.0268462	0.100727	1.03284	0.00162803	0.191067	0.234706	0.998432	0.999599	1.0004	1.00157	3.317307
21840	-199.5334	-186.6583	-12.8751	692407	9.014766	0.151514	0.0416013	0.0561808	0.116159	0.0947867	0.0153106	0.0216583	0.0224999	0.371888	0.228537	0.0313683	0.0375132	0.0772438	0.153165	0.0131715	0.085107	0.0812119	0.0144825	0.366298	0.0236365	0.149908	0.552346	0.00303255	0.114966	0.201954	0.998473	0.999609	1.00039	1.00153	3.02554
21850	-202.9974	-185.8169	-17.18047	841276.1	5.674472	0.0338705	0.17289	0.0348383	0.0734518	0.199497	0.00848123	0.0267415	0.0428344	0.226252	0.232083	0.0860179	0.136393	0.0594066	0.161779	0.0581535	0.0720491	0.220329	0.023434	0.656253	0.0633206	0.195347	0.564205	0.0038469	0.125306	0.166872	0.998615	0.999646	1.00035	1.00139	3.643654
21860	-202.2945	-184.44	-17.85451	375618.3	7.990742	0.105726	0.155571	0.0235413	0.149069	0.190348	0.0110211	0.0131801	0.0348883	0.182965	0.225278	0.0689001	0.0333291	0.011733	0.2238	0.0332186	0.0962274	0.130217	0.0516275	0.61837	0.241879	0.151869	0.654302	0.00749181	0.111984	0.158258	0.997927	0.99947	1.00053	1.00207	3.684795
21870	-203.2537	-183.7187	-19.53497	977741.7	5.543336	0.0974016	0.0674402	0.0411662	0.0916574	0.21524	0.0624397	0.00672813	0.00244656	0.323905	0.244821	0.191804	0.0127653	0.026579	0.227614	0.112212	0.0556066	0.213178	0.0471005	0.561363	0.0663957	0.0791097	0.98521	0.0307781	0.0977256	0.193191	0.998715	0.999671	1.00033	1.00129	4.053879
21880	-204.7252	-184.2931	-20.43209	676365.8	4.027581	0.0853553	0.10249	0.0364198	0.082705	0.217127	0.0615386	0.0164739	0.00166577	0.182455	0.176083	0.206061	0.0113974	0.0119711	0.121589	0.197529	0.0128469	0.324762	0.0931381	0.301976	0.154106	0.0776639	1.30759	0.0149024	0.0358328	0.0610967	0.998455	0.999605	1.00039	1.00155	3.894775
21890	-197.9855	-184.392	-13.59341	88064.91	8.906097	0.0824658	0.0388949	0.0535356	0.179951	0.0493396	0.0343064	0.0234316	0.0012607	0.0677638	0.214273	0.0407673	0.0194833	0.0189368	0.055049	0.109476	0.00903242	0.303682	0.0461075	0.154516	0.169155	0.119782	1.25214	0.00770741	0.029479	0.0309697	0.99572	0.998903	1.00109	1.00429	3.111508
21900	-201.2774	-189.7509	-11.52641	125957.8	8.403552	0.0578168	0.0670556	0.0335364	0.0350375	0.0252158	0.0302856	0.0526578	0.00115557	0.177082	0.276344	0.0581171	0.028805	0.0478654	0.045452	0.182344	0.0507678	0.283465	0.025685	0.240099	0.351183	0.0544254	0.650008	0.00248016	0.0195372	0.0943614	0.996421	0.999083	1.00091	1.00358	2.890784
21910	-201.9473	-189.4669	-12.48036	78334.71	8.768848	0.0501643	0.0632211	0.0223211	0.0658244	0.0358306	0.0551503	0.104298	0.00435475	0.0613792	0.312393	0.0516027	0.04557	0.0442752	0.0772505	0.368356	0.0421869	0.150131	0.114631	0.079202	0.548211	0.0478043	0.389866	0.0040781	0.0455858	0.208441	0.995462	0.998836	1.00116	1.00455	2.992129
21920	-201.3672	-187.9389	-13.42831	20922.08	9.614495	0.170845	0.137369	0.00683358	0.171543	0.0503869	0.0454741	0.103976	0.00905567	0.0616976	0.123117	0.0761599	0.0430587	0.0611631	0.0196461	0.277132	0.0371897	0.110409	0.0875863	0.128261	0.481236	0.0775817	0.213603	0.0117398	0.0987101	0.445582	0.991226	0.997742	1.00223	1.0088	3.049354
21930	-210.7994	-191.9941	-18.80532	19066.16	11.14636	0.104061	0.0496632	0.0290712	0.109289	0.148358	0.0314722	0.15698	0.0151777	0.187534	0.0789641	0.0637338	0.171813	0.221632	0.0980004	0.362996	0.0441128	0.104211	0.202567	0.0617556	0.152358	0.200325	0.461014	0.00277356	0.0557255	0.303192	0.990809	0.997634	1.00234	1.00922	3.416782
21940	-204.1109	-189.0532	-15.05774	19237.9	5.466358	0.131825	0.143061	0.00990373	0.0967418	0.143979	0.0264524	0.155786	0.0361125	0.247769	0.158402	0.136045	0.0385556	0.116011	0.112494	0.247312	0.0595378	0.0724249	0.201534	0.0745629	0.354552	0.0480251	0.255663	0.00232845	0.0550082	0.306689	0.990851	0.997644	1.00233	1.00918	3.230776
21950	-201.6308	-186.6425	-14.9883	62819.48	6.334881	0.141395	0.138934	0.00835903	0.0876993	0.0600574	0.013768	0.161681	0.0136709	0.293948	0.18266	0.207284	0.0891331	0.0659765	0.164278	0.219492	0.0518914	0.0412823	0.126363	0.0420123	0.208324	0.0413476	0.642252	0.00373812	0.0684134	0.257421	0.994933	0.9987	1.00129	1.00508	3.331381
