Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	br_lens[60]	br_lens[61]	br_lens[62]	br_lens[63]	br_lens[64]	br_lens[65]	br_lens[66]	br_lens[67]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
100	-651.4544	-621.0304	-30.42406	193941.1	12.01757	0.084209	0.120222	0.127672	0.0411335	0.118009	0.0284321	0.182161	0.062858	0.0791937	0.174921	0.0815684	0.0771814	0.138204	0.124562	0.0402133	0.128798	0.0740751	0.0714378	0.0697012	0.0789427	0.0720013	0.11563	0.22474	0.108581	0.383725	0.0290574	0.0210439	0.0482409	0.015306	0.0618394	0.00358703	0.0529974	0.0269563	0.106817	0.171745	0.0545504	0.0107877	0.0348526	0.0605881	0.312929	0.062659	0.0185702	0.0488752	0.0512218	0.0216881	0.0813184	0.0529031	0.107214	0.0825819	0.152125	0.0312064	0.318964	0.0204937	0.17632	0.16124	0.0590804	0.134778	0.0830152	0.0142218	0.0442754	0.0259157	0.346823	0.215665	0.0495139	0.211088	0.0558072	0.022894	0.997115	0.999261	1.00074	1.00289	6.46993
110	-641.8634	-607.192	-34.67145	981884	9.294742	0.230033	0.180892	0.101019	0.0634487	0.0915096	0.0210562	0.0793543	0.173032	0.173078	0.117075	0.156891	0.110545	0.125705	0.216834	0.0536845	0.0747036	0.102937	0.0142562	0.0456142	0.0515517	0.1543	0.215313	0.0887829	0.0764042	0.527654	0.0350402	0.0129852	0.0733127	0.00847751	0.12887	0.00350899	0.172075	0.0423989	0.240352	0.0463785	0.0715964	0.0060657	0.0846897	0.0997219	0.0940364	0.0553291	0.0648569	0.0173451	0.0214276	0.035181	0.0809629	0.101157	0.149219	0.365654	0.0803868	0.0290406	0.192923	0.00762793	0.164299	0.178557	0.137734	0.093975	0.161797	0.0272135	0.00608467	0.0262323	0.263882	0.0922091	0.0544772	0.0991537	0.078556	0.0783572	0.998718	0.999672	1.00033	1.00128	7.028823
120	-653.0292	-609.3886	-43.64064	364267.6	7.34061	0.277057	0.0520478	0.246481	0.080319	0.229935	0.0124649	0.176943	0.154999	0.194172	0.0764413	0.0789807	0.180021	0.135766	0.109054	0.0452178	0.116433	0.521234	0.103638	0.0752901	0.114359	0.19134	0.282009	0.0892815	0.108979	0.190262	0.0726495	0.00704129	0.113588	0.0113586	0.0628128	0.0066941	0.308189	0.0280807	0.060005	0.00570019	0.0966127	0.0185479	0.0365186	0.205526	0.174436	0.071551	0.0572009	0.0819927	0.0233998	0.0362425	0.063701	0.0618798	0.200752	0.172224	0.385479	0.00605582	0.237025	0.00393344	0.123352	0.279897	0.27854	0.0754593	0.18333	0.037748	0.00559902	0.1169	0.111765	0.0879592	0.0296902	0.132202	0.0385194	0.0678824	0.997895	0.999461	1.00054	1.00211	8.020765
130	-637.4131	-610.3654	-27.04771	659345.8	9.951436	0.120387	0.0375192	0.118704	0.02839	0.109383	0.0142332	0.19966	0.0416711	0.105791	0.0896065	0.0461924	0.21098	0.169174	0.2307	0.257992	0.0409616	0.228032	0.0765593	0.063217	0.0825044	0.171803	0.109906	0.0499529	0.146016	0.106391	0.0736744	0.0136537	0.033953	0.0122908	0.0996211	0.010461	0.187349	0.063402	0.13103	0.00505847	0.12846	0.00354459	0.025557	0.0978317	0.161379	0.122944	0.0603862	0.0263106	0.0324177	0.066241	0.0594608	0.0585288	0.193	0.14342	0.0897448	0.00790795	0.0605339	0.011631	0.0669536	0.200032	0.303172	0.151727	0.0864983	0.055523	0.0218962	0.15162	0.123311	0.0503784	0.0404776	0.0802961	0.0475979	0.030325	0.998435	0.9996	1.0004	1.00157	6.245328
140	-653.4592	-619.166	-34.29316	911452.8	11.38596	0.0663969	0.0322194	0.0822288	0.0590713	0.311146	0.0141618	0.0973586	0.0913213	0.143937	0.0134584	0.0419767	0.0648616	0.348315	0.223525	0.0878399	0.0165102	0.194634	0.115034	0.0401971	0.0587565	0.123443	0.11302	0.0391169	0.662766	0.109787	0.268293	0.0344393	0.0313168	0.00475057	0.0647657	0.0175962	0.122499	0.0368537	0.0526499	0.015993	0.294041	0.00251681	0.0849517	0.128105	0.115547	0.0576735	0.214695	0.1335	0.0402289	0.0320557	0.0695275	0.0528488	0.129236	0.119815	0.153074	0.00403501	0.0471993	0.00779196	0.0437861	0.0701868	0.232736	0.0578171	0.220296	0.113104	0.038243	0.0639078	0.222858	0.0182601	0.113333	0.124852	0.012727	0.042858	0.998669	0.99966	1.00034	1.00133	6.86205
150	-648.1519	-612.2326	-35.91932	372762.1	8.293653	0.114176	0.0493999	0.106067	0.0686543	0.200926	0.0379689	0.0919367	0.181188	0.223799	0.0255622	0.0243551	0.130221	0.1825	0.274176	0.0409056	0.0469158	0.0835772	0.142184	0.0692636	0.0335241	0.0462155	0.444913	0.119329	0.318059	0.112315	0.0401394	0.108886	0.0716173	0.0152472	0.0479879	0.0124161	0.209223	0.054646	0.275626	0.0107194	0.0729915	0.00657078	0.137692	0.0161414	0.255309	0.196962	0.113676	0.243877	0.0572404	0.0661234	0.163399	0.0316829	0.272812	0.0384462	0.173744	0.00359322	0.0368428	0.0163402	0.0150806	0.0447189	0.12693	0.0630528	0.0826185	0.120196	0.0262687	0.0358812	0.317414	0.0383766	0.181471	0.0969807	0.00798489	0.0561746	0.997919	0.999467	1.00053	1.00208	7.131233
160	-643.4576	-611.0583	-32.39928	791827.5	8.901628	0.184917	0.0201302	0.233559	0.0365674	0.12807	0.0287876	0.259968	0.162358	0.193528	0.033483	0.0232771	0.121379	0.110569	0.345084	0.047745	0.134397	0.100997	0.0647347	0.0324126	0.112824	0.0681162	0.215734	0.0312215	0.254166	0.106998	0.171156	0.0992256	0.0760977	0.0321742	0.151152	0.0065373	0.203432	0.0208391	0.228403	0.0259772	0.183229	0.0145692	0.116542	0.0343997	0.129478	0.0724964	0.402313	0.127829	0.0165319	0.0802928	0.150287	0.0214838	0.0809476	0.0450763	0.177817	0.00699127	0.0306777	0.0187385	0.0144563	0.0407368	0.127381	0.0172144	0.0305078	0.0706251	0.0334045	0.0266479	0.213404	0.121424	0.0506055	0.195848	0.0189362	0.0306363	0.998572	0.999635	1.00036	1.00143	6.767545
170	-644.2067	-618.0853	-26.12147	703143.7	9.85927	0.0904457	0.0646458	0.0964242	0.0216692	0.110094	0.00878142	0.206282	0.0958845	0.309325	0.104142	0.02877	0.273284	0.0361372	0.164919	0.175575	0.0937212	0.171983	0.142504	0.0831565	0.135851	0.0638802	0.0809408	0.0336022	0.182464	0.231039	0.0440345	0.0943438	0.0839257	0.0747289	0.0589104	0.00353214	0.0945076	0.0194375	0.1326	0.038388	0.234499	0.0127517	0.119973	0.0468692	0.107799	0.0292151	0.388991	0.0924652	0.01989	0.0668353	0.0459481	0.0459364	0.102234	0.0955181	0.0331801	0.0109665	0.00422436	0.0240358	0.00609116	0.023234	0.227766	0.0799799	0.0287638	0.0512874	0.0324361	0.0306963	0.0431594	0.0579364	0.115458	0.213983	0.0248785	0.0814703	0.998485	0.999612	1.00039	1.00152	6.148401
180	-651.786	-620.896	-30.88992	288767.6	12.09755	0.103835	0.105695	0.213272	0.0264039	0.245389	0.00690699	0.213156	0.194133	0.240149	0.0431004	0.0537844	0.212206	0.0318414	0.155357	0.0983814	0.0616676	0.200972	0.0681567	0.0864479	0.0491855	0.0606799	0.136344	0.023521	0.172055	0.107717	0.0429692	0.157397	0.0270724	0.0387957	0.0418736	0.00435915	0.207674	0.0263078	0.217901	0.0367992	0.25721	0.0701222	0.0761303	0.0682616	0.118645	0.0338117	0.251782	0.236798	0.00914024	0.0270598	0.0573668	0.0567617	0.0671535	0.0396171	0.0969283	0.00865898	0.00514149	0.0144445	0.00814433	0.0291286	0.167299	0.0498967	0.316115	0.0178554	0.116515	0.0973362	0.0406711	0.108245	0.0374082	0.20644	0.0359812	0.0635036	0.997636	0.999395	1.0006	1.00237	6.501079
190	-645.9716	-618.3405	-27.63107	286507.1	10.94623	0.134352	0.0951045	0.151797	0.0235295	0.282721	0.00716482	0.254173	0.129221	0.173878	0.0319704	0.0331599	0.0975397	0.036133	0.207347	0.183768	0.040229	0.19791	0.0329062	0.143189	0.0141032	0.17932	0.0806279	0.0363922	0.145457	0.0909799	0.0237036	0.105038	0.0109007	0.160307	0.0857915	0.00769849	0.115814	0.0273484	0.263291	0.0979477	0.111187	0.0342038	0.213557	0.0143057	0.190229	0.0401913	0.0730639	0.184961	0.00941506	0.020013	0.121349	0.05867	0.0393046	0.0337511	0.0126971	0.00427589	0.0129226	0.0137203	0.00719549	0.149649	0.0677673	0.0610788	0.296765	0.0500646	0.0563904	0.16615	0.0495241	0.11452	0.00861691	0.228033	0.0225642	0.1291	0.997626	0.999392	1.00061	1.00238	6.29605
