Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
100	-485.3357	-472.5538	-12.7819	353698.4	10.84259	0.0127769	0.0180887	0.100818	0.0995451	0.206331	0.0950071	0.0216037	0.0113944	0.0600915	0.112054	0.136176	0.0225407	0.226156	0.0994358	0.00693547	0.0679643	0.153376	0.0481192	0.108337	0.084041	0.0198476	0.0574707	0.0544058	0.7048	0.123239	0.0176596	0.120481	0.0622817	0.076981	0.0256517	0.160378	0.0381716	0.0882738	0.0601999	0.14047	0.0391368	0.0781229	0.0687502	0.08463	0.180818	0.0228007	0.997864	0.999453	1.00055	1.00214	3.915363
110	-502.5064	-482.4956	-20.01075	776770.4	13.79183	0.0203485	0.00542077	0.0184972	0.0400162	0.137829	0.207087	0.0145335	0.0159243	0.00859822	0.0898496	0.204173	0.0501562	0.28308	0.189239	0.00588242	0.0243078	0.0749812	0.0851299	0.0600894	0.0967801	0.0107502	0.0688718	0.13296	0.549884	0.253193	0.00760751	0.0518221	0.075378	0.0268304	0.0247079	0.293785	0.0296577	0.188704	0.0265027	0.198923	0.043264	0.0974023	0.0895206	0.0634407	0.399173	0.010405	0.998558	0.999631	1.00037	1.00144	4.274708
120	-488.6897	-468.0622	-20.62749	374356.6	6.099107	0.0201637	0.0110114	0.0145007	0.130425	0.113914	0.0680138	0.0102853	0.139611	0.00514662	0.428829	0.141465	0.0121842	0.529206	0.31474	0.0127029	0.0601164	0.0631052	0.0680946	0.0574968	0.1177	0.00941951	0.0878988	0.138357	0.327638	0.102325	0.00838881	0.0733351	0.0901265	0.0164964	0.0312578	0.150157	0.0237503	0.132897	0.0273833	0.156596	0.0465874	0.0595664	0.167725	0.0280465	0.535759	0.0023474	0.997923	0.999469	1.00053	1.00208	4.534769
130	-476.5725	-466.0697	-10.50278	251625.3	9.655766	0.0258025	0.00520379	0.00426907	0.156855	0.123098	0.157203	0.0340418	0.0982451	0.0129662	0.243593	0.0406233	0.00908479	0.0748069	0.0346647	0.0102498	0.0918606	0.0329213	0.0297062	0.0294311	0.180943	0.0174768	0.0686001	0.074011	0.559888	0.0491565	0.0389585	0.0941561	0.101649	0.00984847	0.0568797	0.178593	0.0150216	0.158123	0.0293676	0.159211	0.064562	0.0272587	0.194265	0.0121751	0.38011	0.00803615	0.997467	0.999352	1.00065	1.00254	3.692915
140	-489.5455	-469.3481	-20.19747	504217.5	7.761943	0.0147208	0.00900496	0.00583499	0.159236	0.0783431	0.0475653	0.0184474	0.017645	0.00318792	0.195724	0.184275	0.0208254	0.285529	0.0678259	0.0158793	0.0561757	0.0453276	0.0905708	0.0456128	0.226765	0.0172517	0.184758	0.102489	0.554485	0.0653201	0.0401955	0.122297	0.297363	0.012722	0.075019	0.133448	0.00649812	0.427239	0.0683444	0.156103	0.077471	0.0613563	0.151709	0.0439338	0.481303	0.0707204	0.99821	0.999542	1.00046	1.00179	4.738524
150	-491.5838	-472.2403	-19.34347	355724.1	10.47151	0.0381494	0.00589465	0.00450802	0.127447	0.0713873	0.0680361	0.0458512	0.0412642	0.00131614	0.104208	0.222903	0.0275823	0.170384	0.0736674	0.0958146	0.0139732	0.00810334	0.0463109	0.0658513	0.19967	0.0420907	0.222707	0.108264	0.393127	0.177398	0.039968	0.178382	0.151087	0.0124927	0.0721527	0.168664	0.0137712	0.467551	0.101137	0.0672796	0.0768924	0.212328	0.0498549	0.0850857	0.368385	0.110524	0.99787	0.999455	1.00054	1.00213	4.551463
160	-488.0278	-470.3682	-17.65957	81300.11	7.347276	0.0167316	0.0201561	0.00508134	0.245781	0.0585864	0.122014	0.0271406	0.00786733	0.00467352	0.22462	0.0729838	0.0555121	0.274308	0.164993	0.0335424	0.0068223	0.0145496	0.0326458	0.0864795	0.0866571	0.0448703	0.185751	0.204789	0.364955	0.0669087	0.0166323	0.284028	0.0649116	0.00523486	0.0526178	0.104676	0.0108574	0.314826	0.0299992	0.0736327	0.0957381	0.161731	0.0282235	0.0549435	0.488467	0.150514	0.995546	0.998858	1.00114	1.00446	4.36545
170	-476.5295	-466.1108	-10.41869	154793.7	11.18493	0.0267877	0.0415792	0.00684817	0.160854	0.049498	0.121092	0.0119678	0.00501825	0.0285724	0.195008	0.0845918	0.0654523	0.141137	0.130813	0.0200403	0.00901687	0.0355163	0.029009	0.0535195	0.0528685	0.0413916	0.179317	0.184829	0.182076	0.0383927	0.00854005	0.263962	0.151814	0.0238939	0.0499417	0.0517977	0.0111869	0.176367	0.0459661	0.063534	0.0922265	0.0570874	0.0295728	0.103665	0.577848	0.0894666	0.996771	0.999173	1.00082	1.00323	3.692066
180	-481.9741	-473.4029	-8.571178	35315.58	7.91367	0.0178424	0.0581057	0.0109727	0.176634	0.158458	0.0458106	0.00702381	0.00821275	0.0409844	0.10544	0.0674761	0.0324835	0.0680181	0.115921	0.0160053	0.0134163	0.0542274	0.0064005	0.0945748	0.0635849	0.0367175	0.0801108	0.0639469	0.44073	0.0345443	0.0139686	0.170324	0.135261	0.0120303	0.038145	0.102732	0.00302614	0.15268	0.0563734	0.0660433	0.0230538	0.263834	0.0378111	0.0248838	0.129986	0.2272	0.993244	0.998264	1.00172	1.00677	3.274996
190	-484.8544	-473.2588	-11.59563	215767.2	12.97612	0.0478414	0.0561708	0.00530787	0.289948	0.075863	0.024385	0.00396915	0.0189265	0.0474133	0.116986	0.087799	0.00990494	0.103505	0.10411	0.0263166	0.0287918	0.126274	0.0072659	0.0519192	0.0181321	0.0292004	0.0847167	0.127553	0.757981	0.0269198	0.0286237	0.386817	0.0762526	0.0313547	0.0344807	0.0452313	0.0118857	0.155135	0.0509503	0.0345619	0.0188326	0.0657762	0.12824	0.0704195	0.121266	0.177834	0.997265	0.9993	1.0007	1.00274	3.714861
