Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
9450	-484.5777	-475.46	-9.117773	164847.5	12.59328	0.0138229	0.0928109	0.0194352	0.110187	0.182164	0.0492011	0.0471496	0.0512347	0.00292162	0.324903	0.0431786	0.0372152	0.0214421	0.0386419	0.189177	0.00111858	0.0487668	0.00959693	0.101702	0.0618483	0.104025	0.0321288	0.0646145	0.0322423	0.0587905	0.000200625	0.00384582	0.243869	0.100931	0.0907133	0.0493242	0.365103	0.127054	0.104077	0.0803975	0.113824	0.325101	0.0360473	0.129171	0.0133357	0.0183016	0.996871	0.999199	1.0008	1.00313	3.539614
9460	-491.0124	-478.1484	-12.86401	128954.6	10.18395	0.0313229	0.0256331	0.01646	0.188616	0.112976	0.226245	0.0564839	0.0357074	0.00236868	0.12319	0.0268482	0.0174967	0.0389037	0.00905998	0.120448	0.000319876	0.0178453	0.000941439	0.195358	0.138466	0.177599	0.0226381	0.0604052	0.0590548	0.0340201	0.000311946	0.00501728	0.386766	0.175714	0.0823513	0.101413	0.772512	0.0953909	0.05238	0.0422436	0.130628	0.157412	0.142653	0.00765886	0.0366434	0.00977972	0.996463	0.999094	1.0009	1.00354	3.937283
9470	-476.5737	-465.2267	-11.34702	291084.6	10.9451	0.0387113	0.03736	0.00649215	0.151128	0.0606961	0.0894192	0.04295	0.0503007	0.00407531	0.196488	0.0577685	0.00973589	0.0558705	0.0407909	0.0982823	0.000741761	0.0119143	0.000717936	0.0997908	0.0868892	0.236276	0.040156	0.0216833	0.0828511	0.0175305	0.000727114	0.00601529	0.487133	0.20724	0.145111	0.0510601	0.493272	0.118939	0.0933756	0.102728	0.152224	0.0617831	0.216491	0.0140824	0.0796438	0.0125257	0.997645	0.999397	1.0006	1.00236	3.780971
9480	-482.177	-466.8856	-15.29141	945924.3	7.836682	0.0138806	0.0473075	0.0346122	0.123796	0.149176	0.126862	0.0809865	0.0649521	0.00474074	0.475228	0.0606703	0.00385508	0.134535	0.0442664	0.115264	0.00362846	0.013291	0.00236006	0.0634692	0.0916345	0.0853798	0.0592825	0.0239438	0.0508546	0.0165059	0.000731453	0.0152708	0.263067	0.191823	0.0770298	0.00574533	0.301492	0.118801	0.0609847	0.0921415	0.164286	0.045323	0.39534	0.0122068	0.472181	0.00861672	0.998693	0.999666	1.00033	1.00131	4.115523
9490	-483.0572	-469.5921	-13.46509	690478.4	10.05805	0.0121606	0.0631205	0.136156	0.14594	0.0871814	0.0565065	0.117116	0.0541723	0.0121441	0.473335	0.0691022	0.00660636	0.0740863	0.0665989	0.0341378	0.00273369	0.00971662	0.00124338	0.0336203	0.218581	0.046163	0.14128	0.0136192	0.0834065	0.00354578	0.000406977	0.118999	0.124195	0.160767	0.0771704	0.0202421	0.531997	0.092137	0.124319	0.0456326	0.387462	0.0226327	0.0560224	0.0298729	0.23063	0.013361	0.998471	0.999609	1.00039	1.00153	3.998123
9500	-474.0655	-466.9232	-7.142278	724153.6	11.57268	0.00665916	0.0347706	0.075129	0.19011	0.112074	0.194691	0.0747331	0.0717982	0.0145599	0.128409	0.0841005	0.00314517	0.122962	0.0683373	0.0275155	0.0119803	0.00898114	0.0029087	0.036169	0.17208	0.0338118	0.10358	0.0109296	0.183176	0.0401907	0.000956906	0.0842423	0.19447	0.173948	0.0318541	0.0423795	0.313113	0.0838861	0.0456414	0.0243634	0.110372	0.104702	0.058058	0.0530485	0.247539	0.017907	0.998507	0.999618	1.00038	1.00149	3.399283
9510	-480.4761	-465.6134	-14.86261	750012.7	9.79695	0.0126936	0.0673442	0.0344602	0.0818182	0.105292	0.265215	0.0268484	0.111763	0.0862094	0.080087	0.0521019	0.0034688	0.0495834	0.0418706	0.0438396	0.0440781	0.00437919	0.00681488	0.040028	0.290337	0.0149771	0.248085	0.012192	0.222054	0.111514	0.000450344	0.0843557	0.451369	0.273335	0.0623952	0.0621241	0.567835	0.124646	0.0047882	0.0223588	0.0199078	0.0704163	0.0346852	0.0375219	0.23542	0.0339202	0.998533	0.999625	1.00037	1.00147	4.142582
9520	-472.7534	-461.0397	-11.71375	482279.2	7.668443	0.00835811	0.038603	0.0448287	0.145967	0.102409	0.086265	0.0202637	0.128282	0.0607838	0.175063	0.0427546	0.00592846	0.027062	0.0781924	0.023055	0.0199064	0.000462106	0.0132813	0.0700317	0.135163	0.00458331	0.148724	0.00781458	0.0600059	0.089145	0.000218362	0.0259841	0.619809	0.285469	0.0602746	0.0427182	0.518819	0.0989911	0.0039744	0.0610643	0.0543956	0.0311831	0.0270112	0.0664775	0.185082	0.00922406	0.99817	0.999532	1.00047	1.00183	3.627627
9530	-478.264	-467.2966	-10.96741	728183.5	12.75435	0.0106787	0.053621	0.109896	0.0314682	0.0747113	0.180599	0.0418697	0.0840757	0.0940624	0.138124	0.0496728	0.00612222	0.0671184	0.152695	0.0167342	0.0290083	0.000397799	0.0380172	0.0267329	0.0622872	0.0110726	0.0949152	0.00650622	0.0757795	0.240878	0.000286631	0.19136	0.606449	0.211607	0.0183016	0.0350369	0.328749	0.14722	0.00639545	0.0445569	0.0604177	0.0422689	0.0239773	0.076511	0.175052	0.013028	0.998511	0.999619	1.00038	1.00149	3.678262
9540	-471.5648	-460.2225	-11.34234	989737.6	9.920856	0.00951497	0.185843	0.085763	0.149881	0.131774	0.0261636	0.0582684	0.132563	0.062563	0.0849976	0.0223572	0.00335528	0.189831	0.0746671	0.00980945	0.0302332	0.00031454	0.0320861	0.0295668	0.0354471	0.0202356	0.0843908	0.03549	0.133521	0.207053	6.90014e-05	0.0237682	0.643717	0.270889	0.0810918	0.044993	0.353639	0.21472	0.00195224	0.0434204	0.0406479	0.0241842	0.0603836	0.0398341	0.0696135	0.0368382	0.998723	0.999673	1.00033	1.00128	3.78545
9550	-466.7988	-462.4949	-4.303923	396021.5	14.41733	0.0207974	0.0219735	0.0193998	0.101439	0.0706006	0.0770247	0.0287902	0.0490793	0.0241605	0.042955	0.0311908	0.00798943	0.0587769	0.0372401	0.00796357	0.0196509	0.000480031	0.0458308	0.0726793	0.10526	0.0395677	0.131958	0.0833608	0.0532719	0.13134	0.000120491	0.0558793	0.561352	0.223401	0.0910103	0.0975159	0.378917	0.113497	0.000562168	0.0132875	0.0848459	0.0161869	0.093466	0.0315368	0.0386406	0.034269	0.997981	0.999483	1.00052	1.00202	3.117266
9560	-476.2242	-460.9682	-15.25602	294325.6	11.16356	0.00706582	0.0280459	0.0507293	0.147201	0.166595	0.118496	0.0176139	0.0548354	0.0692194	0.304533	0.0563815	0.0144557	0.0981874	0.00751548	0.0349069	0.0290117	0.000245079	0.0150842	0.122553	0.0646407	0.0168597	0.0886321	0.194293	0.0768293	0.0507313	0.00017244	0.0631819	0.177877	0.252539	0.137389	0.0995327	0.94109	0.137328	0.000223857	0.0344314	0.247061	0.0304883	0.0373953	0.0232541	0.0642203	0.0449586	0.997658	0.999401	1.0006	1.00234	4.125806
9570	-484.7246	-471.7373	-12.98732	167135.5	10.35929	0.0121486	0.0136375	0.0565034	0.181231	0.322153	0.123041	0.0168542	0.0604306	0.0129344	0.105571	0.0838889	0.0035765	0.0571649	0.00404794	0.0430277	0.068792	0.000367633	0.0140379	0.0337681	0.0194062	0.0373511	0.156419	0.225428	0.117027	0.0304441	0.000216727	0.162319	0.225243	0.0318427	0.275138	0.0973578	0.601974	0.230225	0.000440925	0.0772859	0.219021	0.0287444	0.0755664	0.0831508	0.0141155	0.0248278	0.996893	0.999204	1.00079	1.00311	3.946721
9580	-481.7236	-472.15	-9.57353	780050.4	11.06566	0.029353	0.109725	0.112082	0.069901	0.295849	0.117875	0.0103834	0.192298	0.039847	0.270041	0.0147061	0.015789	0.055493	0.0111403	0.0293112	0.0882656	0.000247302	0.0320147	0.0506177	0.0856372	0.0403474	0.0960029	0.175322	0.0508246	0.0315098	0.000220669	0.0951238	0.378311	0.0873107	0.114031	0.0231103	0.257445	0.122588	0.00217533	0.0695831	0.112703	0.0223692	0.079961	0.14474	0.0412091	0.0424539	0.998561	0.999632	1.00037	1.00144	3.617917
9590	-480.861	-471.4387	-9.422295	256569.6	11.03241	0.0146436	0.0415269	0.0596512	0.0514244	0.17665	0.0747276	0.0392294	0.0717516	0.0622132	0.073168	0.00992021	0.0216335	0.0292183	0.00759574	0.0540313	0.0719035	0.000884871	0.0227915	0.121664	0.0621109	0.131184	0.277964	0.0747853	0.0148868	0.133133	0.000606976	0.134148	0.194162	0.0644068	0.158106	0.0306789	0.364165	0.247349	0.00470353	0.130172	0.255279	0.0065584	0.114789	0.121298	0.0438887	0.0355289	0.997492	0.999358	1.00064	1.00251	3.604532
9600	-475.159	-466.9208	-8.238223	78706.42	11.63161	0.012189	0.0504115	0.0334778	0.156142	0.113051	0.0517501	0.0309626	0.0667167	0.0801512	0.0902699	0.0853519	0.00766511	0.0421513	0.0082508	0.0260186	0.051449	0.000434439	0.0351552	0.159451	0.093209	0.0520317	0.129568	0.0582636	0.01743	0.0557314	0.000518787	0.184988	0.432916	0.145893	0.0952152	0.0363528	0.293423	0.146442	0.0152565	0.0547217	0.145154	0.00447533	0.231002	0.0724842	0.0775337	0.0495148	0.995473	0.998839	1.00115	1.00453	3.493172
9610	-482.954	-472.7635	-10.19045	606154.7	11.9656	0.00505099	0.0357306	0.0654692	0.0715683	0.0476924	0.0671195	0.0292755	0.0942097	0.0890308	0.0722178	0.0903057	0.00783951	0.120134	0.0364113	0.0770119	0.116695	0.000172006	0.0955966	0.096654	0.0621099	0.0890987	0.143482	0.0316436	0.0628528	0.0543098	0.000347993	0.0590193	0.451227	0.120856	0.244601	0.0673487	0.594437	0.117727	0.048895	0.0281495	0.0431392	0.00323131	0.0619034	0.0148275	0.0627916	0.0700579	0.998368	0.999583	1.00042	1.00163	3.650242
9620	-474.6901	-466.0976	-8.592513	280893.6	10.26637	0.00275261	0.0390939	0.0380046	0.150149	0.0541882	0.0738628	0.0746652	0.0381736	0.026381	0.109931	0.0617553	0.00760176	0.0868645	0.0716811	0.100583	0.010067	0.00104244	0.0851076	0.0771962	0.0419348	0.0702881	0.0931065	0.0692328	0.0574427	0.0452066	0.00216204	0.050098	0.460954	0.0788839	0.180596	0.0738772	0.554322	0.0779558	0.122076	0.0804531	0.0378467	0.00518196	0.1369	0.0331758	0.0710085	0.068388	0.997603	0.999386	1.00061	1.0024	3.520191
9630	-477.8184	-467.3217	-10.49679	188442.8	10.02315	0.00269622	0.0672872	0.049628	0.24236	0.0918218	0.0656331	0.0882013	0.0508817	0.029942	0.260843	0.0693183	0.00408744	0.124488	0.0255481	0.127688	0.0221169	0.0047683	0.112713	0.0468135	0.0373267	0.0627832	0.0901322	0.0739362	0.0429339	0.0273897	0.00158024	0.051118	0.433583	0.110832	0.128455	0.113591	0.268582	0.152215	0.124981	0.16491	0.0395875	0.00283585	0.161839	0.0289436	0.0221167	0.0758711	0.997073	0.999251	1.00075	1.00293	3.702378
9640	-480.9179	-470.5146	-10.40327	225811.9	8.859297	0.00246987	0.0780718	0.0313122	0.0971258	0.183044	0.0392417	0.0846886	0.0579034	0.0607164	0.149735	0.224691	0.0101214	0.080891	0.0336098	0.152264	0.0241398	0.0176604	0.132812	0.0345211	0.0086738	0.0724539	0.113636	0.0262463	0.0288035	0.0129839	0.0091203	0.0592878	0.226433	0.0378163	0.0343045	0.164269	0.469499	0.0810895	0.115629	0.278672	0.0499627	0.001159	0.130301	0.0283643	0.0114639	0.17807	0.997326	0.999316	1.00068	1.00268	3.633258
9650	-475.0228	-462.1044	-12.9184	418761.1	8.768968	0.00402372	0.0323175	0.018309	0.139812	0.253964	0.0780959	0.138121	0.0985258	0.0340913	0.127347	0.18537	0.0200362	0.0628184	0.0328734	0.119555	0.0606913	0.031696	0.0898724	0.0350456	0.010471	0.0521769	0.0961605	0.0577401	0.0444246	0.006199	0.010623	0.0440996	0.293229	0.025127	0.0750107	0.225994	0.556751	0.104881	0.208591	0.16182	0.0609623	0.00161913	0.0813924	0.040168	0.0691943	0.122452	0.998036	0.999498	1.0005	1.00196	3.911649
9660	-474.418	-462.1447	-12.27331	120151.5	9.501767	0.0308594	0.0545305	0.0143474	0.147332	0.390047	0.0504731	0.156303	0.031246	0.037712	0.0734055	0.0511862	0.0110107	0.0229283	0.0593367	0.0518252	0.0294003	0.027188	0.0977915	0.0423851	0.0351633	0.0224316	0.0598867	0.0359361	0.0190327	0.00764483	0.030242	0.0345005	0.230396	0.0960146	0.0759197	0.201402	0.679309	0.131395	0.287319	0.129587	0.0226293	0.00515886	0.0837682	0.0319444	0.0945465	0.179437	0.996335	0.999061	1.00093	1.00367	3.872972
9670	-469.844	-464.3525	-5.491471	180533.7	13.62379	0.0581833	0.0463479	0.0658154	0.0973963	0.134519	0.0624601	0.130151	0.0237636	0.0185955	0.082199	0.0702303	0.00472301	0.00447734	0.0233437	0.112134	0.0363483	0.0143941	0.0803808	0.0466601	0.0299062	0.0503027	0.0331644	0.0666655	0.0701155	0.00335491	0.0151743	0.136258	0.367305	0.0812713	0.0274954	0.165827	0.38944	0.12931	0.14862	0.0576333	0.0114727	0.0129031	0.0560598	0.0479521	0.16086	0.0540661	0.99701	0.999234	1.00076	1.00299	3.227279
9680	-471.2965	-465.2714	-6.025021	77635.41	12.64836	0.0595466	0.0239325	0.0661026	0.134974	0.166363	0.0781806	0.138547	0.0173113	0.0116276	0.0913944	0.0292457	0.00924377	0.00142167	0.0849374	0.122871	0.0259475	0.00847842	0.0650696	0.0909819	0.0813734	0.0575663	0.131084	0.0677649	0.0428322	0.00149304	0.0136936	0.107444	0.320243	0.101093	0.0144785	0.0181388	0.415561	0.0293385	0.0829621	0.021594	0.0419462	0.00804266	0.0208776	0.0649962	0.260735	0.163523	0.995442	0.998831	1.00116	1.00457	3.292958
9690	-492.341	-480.3657	-11.97527	294039.4	11.16883	0.0321008	0.0238809	0.0989258	0.137461	0.0613461	0.0470436	0.227587	0.0199593	0.0174815	0.146896	0.0801941	0.0105923	0.00111995	0.0685528	0.169481	0.0220071	0.00897757	0.0322245	0.126554	0.0488678	0.0855176	0.226871	0.1729	0.033527	0.000836818	0.0231658	0.0507376	0.259653	0.159751	0.00590051	0.0624036	0.372886	0.071178	0.0246904	0.0435579	0.136528	0.00749586	0.00407958	0.154064	0.287131	0.267629	0.997657	0.9994	1.0006	1.00235	3.831756
9700	-485.3629	-479.0043	-6.35856	271641.2	11.13748	0.0080567	0.0257062	0.0268071	0.0955191	0.0288542	0.104585	0.0946012	0.0679406	0.0286674	0.147024	0.102079	0.0146909	0.00371462	0.164248	0.131335	0.0232778	0.0142128	0.0147374	0.104495	0.134524	0.0674863	0.10842	0.086038	0.058637	0.000533143	0.0812793	0.0983403	0.161738	0.187986	0.00456402	0.0400229	0.396964	0.066213	0.0472808	0.0174368	0.140024	0.0082945	0.00131743	0.067303	0.178969	0.174526	0.997562	0.999376	1.00062	1.00244	3.328451
9710	-498.4415	-483.7286	-14.71286	764574.4	7.859675	0.00222641	0.0238717	0.0397308	0.227088	0.0410003	0.214997	0.118495	0.0785238	0.036324	0.239752	0.189983	0.00424957	0.0024753	0.119882	0.12767	0.0286867	0.00694969	0.0507169	0.0369927	0.170509	0.0601896	0.0787429	0.159078	0.103332	0.000123907	0.108422	0.135322	0.172172	0.31219	0.00574805	0.0702131	0.406474	0.0406351	0.0829863	0.0197752	0.0952335	0.00450408	0.00189928	0.0552831	0.224912	0.147211	0.998547	0.999628	1.00037	1.00145	4.044571
9720	-482.8816	-470.7531	-12.1285	904319.9	11.52484	0.00465181	0.0337511	0.0261444	0.255829	0.0699297	0.0611404	0.10572	0.12036	0.0369127	0.215282	0.0831356	0.00432486	0.0149421	0.110598	0.169832	0.0377208	0.00780304	0.0459515	0.05868	0.0429055	0.153467	0.172012	0.102332	0.138834	0.000212524	0.0631295	0.0735942	0.530507	0.218706	0.00286702	0.0241934	0.345264	0.0357145	0.0826945	0.0365966	0.028631	0.0032772	0.000849582	0.0713571	0.17451	0.0677734	0.998664	0.999658	1.00034	1.00134	3.832136
9730	-484.4237	-471.8346	-12.58911	882610.5	9.334618	0.00219568	0.0436764	0.0235402	0.177564	0.134453	0.0758952	0.095226	0.0864617	0.0204016	0.196158	0.136308	0.00344145	0.00802854	0.157783	0.0883484	0.0614029	0.0120496	0.0341948	0.098919	0.05464	0.260299	0.0960585	0.146477	0.0478979	0.000516996	0.0215911	0.0263674	0.426116	0.144753	0.00859421	0.0528128	0.455357	0.0216127	0.100639	0.0436362	0.0677467	0.00239689	0.00152252	0.154224	0.197605	0.114871	0.998647	0.999654	1.00035	1.00135	3.901782
9740	-481.5464	-470.1447	-11.40174	614058.7	9.872631	0.00492908	0.0840738	0.0576011	0.12796	0.130155	0.038408	0.0780736	0.0185617	0.0332961	0.112252	0.167699	0.00225552	0.0127431	0.0429696	0.0531033	0.0925716	0.0241861	0.00366809	0.0587797	0.138164	0.187947	0.153851	0.115009	0.0677756	0.000788808	0.0717169	0.0854865	0.405583	0.0673626	0.00390296	0.0144125	0.662359	0.0283191	0.060853	0.0329374	0.036771	0.0018504	0.00306828	0.270927	0.0876425	0.150683	0.998378	0.999585	1.00041	1.00162	3.790698
9750	-478.259	-467.6448	-10.61418	662567.1	11.27178	0.0311151	0.0325278	0.127552	0.172023	0.122925	0.0235957	0.173203	0.036757	0.0370403	0.0781419	0.0503216	0.0018448	0.0141394	0.0200394	0.0314102	0.0551203	0.102932	0.00871155	0.0303825	0.203965	0.273662	0.123569	0.0503216	0.0125653	0.000738181	0.0457378	0.106982	0.412807	0.130023	0.0474306	0.0535149	0.386657	0.0493996	0.119645	0.105023	0.0911446	0.00299028	0.0100546	0.140221	0.0850879	0.106232	0.998439	0.999601	1.0004	1.00156	3.707555
9760	-490.1642	-475.772	-14.39222	339725.6	11.66921	0.0259064	0.0839277	0.160531	0.104901	0.10406	0.0187673	0.262854	0.0277055	0.0452991	0.0867548	0.0744035	0.00162954	0.03037	0.0483701	0.0212801	0.050916	0.0717556	0.00862641	0.0161843	0.280295	0.270246	0.0843045	0.0466276	0.00906693	0.00303592	0.0284181	0.175981	0.596217	0.132524	0.0271306	0.0553604	0.606524	0.0491734	0.0651479	0.0931151	0.11353	0.00135457	0.00396686	0.0606735	0.0208246	0.0522247	0.99782	0.999442	1.00056	1.00218	4.019983
9770	-483.4013	-467.2085	-16.19278	945851.5	9.211875	0.0185538	0.0913068	0.036319	0.196162	0.0816947	0.0458751	0.0903648	0.0319997	0.0397595	0.0184678	0.0357418	0.000897386	0.0545625	0.168204	0.0686634	0.160904	0.0900923	0.0167297	0.0114135	0.232055	0.17133	0.135246	0.0605331	0.00992576	0.00832001	0.0115272	0.325335	0.694325	0.0863091	0.042173	0.0546184	0.557347	0.08554	0.16507	0.0785267	0.153554	0.00123126	0.00457924	0.0979943	0.021566	0.0339036	0.998693	0.999666	1.00033	1.00131	4.288722
9780	-478.3145	-465.0978	-13.21675	882504.9	9.293916	0.060612	0.0151703	0.0455235	0.203962	0.283716	0.063797	0.109757	0.0439333	0.0245092	0.0289396	0.065054	0.00172691	0.032153	0.0659168	0.0782505	0.0570904	0.135204	0.00984727	0.00696606	0.318743	0.108675	0.1625	0.0955103	0.00986786	0.0158062	0.00318911	0.0538718	0.556561	0.107222	0.0949797	0.0557834	0.532677	0.0673921	0.0574145	0.114447	0.0594539	0.00104565	0.00738257	0.114518	0.0373691	0.0614617	0.998647	0.999654	1.00035	1.00135	3.968
9790	-489.5659	-471.9336	-17.63232	701679.4	8.730682	0.0322614	0.023329	0.0351329	0.0645707	0.254406	0.0727306	0.139114	0.0634089	0.04092	0.0228445	0.105689	0.00185056	0.0245929	0.0369309	0.0794347	0.22409	0.0612269	0.0241195	0.00941445	0.253274	0.145631	0.209207	0.0849929	0.0119177	0.0361567	0.00615785	0.0233783	0.452	0.144827	0.0597398	0.0630888	0.767772	0.118538	0.138155	0.0106706	0.209227	0.00117968	0.0151872	0.256411	0.0411665	0.0843104	0.998483	0.999612	1.00039	1.00152	4.449057
9800	-473.5092	-462.064	-11.44515	362129.6	11.90256	0.0387852	0.0792986	0.0604326	0.16628	0.157644	0.055615	0.125443	0.0353205	0.0408169	0.0450034	0.064845	0.00779836	0.034735	0.197208	0.0393387	0.0656597	0.0504609	0.00744954	0.00525453	0.248191	0.109076	0.0459326	0.107131	0.00294503	0.0312594	0.00825321	0.0279176	0.462837	0.192475	0.0942607	0.0472158	0.460113	0.153078	0.135909	0.00227241	0.104919	0.00154527	0.011701	0.108816	0.033749	0.0908656	0.997889	0.99946	1.00054	1.00211	3.757853
9810	-474.4249	-467.6861	-6.738861	463376.8	10.40826	0.0468123	0.0859553	0.0775118	0.0835755	0.0574909	0.0464792	0.0554948	0.0358787	0.0270539	0.0264623	0.0377683	0.0028837	0.0673403	0.114175	0.0291231	0.0745291	0.0227208	0.00273046	0.00945338	0.154296	0.196509	0.0577266	0.141446	0.00642501	0.0144441	0.00760605	0.0178517	0.501873	0.205049	0.140817	0.073963	0.340289	0.120342	0.139811	0.0150071	0.0497686	0.000659504	0.0238823	0.179442	0.0210451	0.0337609	0.998133	0.999522	1.00048	1.00187	3.345452
9820	-489.834	-474.7706	-15.06346	649334	11.81787	0.0205092	0.04442	0.0428661	0.225691	0.0629605	0.0465079	0.0449284	0.072632	0.0606639	0.0135511	0.0811681	0.000793761	0.0826472	0.216208	0.00394019	0.0602849	0.123717	0.02039	0.0453255	0.12479	0.130689	0.217089	0.120724	0.00466005	0.00571973	0.00731871	0.0146997	0.722764	0.146202	0.133105	0.11031	0.462794	0.0758063	0.128416	0.019073	0.0977644	0.00156037	0.0472335	0.17066	0.0166594	0.0403752	0.998423	0.999597	1.0004	1.00158	4.067615
9830	-472.8853	-464.7479	-8.137356	938631.6	11.21123	0.0201828	0.0764617	0.0280757	0.106379	0.0462482	0.0488859	0.0877892	0.128815	0.0599647	0.0351136	0.160793	0.0011244	0.0675648	0.141125	0.00218158	0.0428304	0.0525386	0.0419341	0.0191988	0.0593856	0.0363034	0.121261	0.062593	0.00403844	0.00223128	0.0170679	0.0126286	0.524983	0.0488172	0.281754	0.0672138	0.402959	0.0442983	0.186759	0.0326427	0.0222618	0.00176022	0.126701	0.160784	0.0185568	0.0858306	0.998688	0.999665	1.00033	1.00131	3.488038
9840	-483.1974	-470.9759	-12.22145	963058	11.02868	0.0138837	0.0397153	0.0475718	0.126475	0.0148363	0.161925	0.0834614	0.0838075	0.124867	0.0282435	0.0577171	0.00110527	0.208105	0.0683089	0.00474864	0.0371165	0.202072	0.171746	0.0177214	0.0760288	0.0565774	0.0692468	0.0329926	0.0108418	0.00154397	0.0333583	0.0257848	0.621164	0.018071	0.457261	0.0811979	0.434772	0.036128	0.0587136	0.0204337	0.0448712	0.000872558	0.0543062	0.131214	0.0284039	0.0711563	0.998705	0.999669	1.00033	1.0013	3.858369
9850	-476.4373	-467.4675	-8.969839	363273.4	10.10813	0.057276	0.0683722	0.037894	0.110723	0.0194659	0.0456534	0.0736134	0.0611413	0.074106	0.014067	0.121465	0.00111437	0.0685947	0.0385451	0.00455442	0.0338894	0.160226	0.0613095	0.02795	0.189714	0.0283836	0.151684	0.0143537	0.00839897	0.00125692	0.0212917	0.02728	0.349326	0.0531795	0.202201	0.148381	0.611192	0.0240722	0.108418	0.0287907	0.0847672	0.000496982	0.0333869	0.208807	0.0168766	0.160534	0.997892	0.999461	1.00054	1.00211	3.552753
9860	-481.8882	-468.3124	-13.5758	109674.5	9.80461	0.0259948	0.059743	0.0708232	0.123661	0.0514131	0.0593776	0.0484692	0.0577927	0.0710368	0.0179641	0.152608	0.00143984	0.060808	0.0462225	0.00431718	0.0267182	0.331314	0.0334948	0.0428739	0.0650083	0.0465208	0.219589	0.023346	0.0845136	0.00262889	0.0618764	0.0206401	0.572195	0.0264063	0.171204	0.207569	0.542318	0.0532605	0.1498	0.0281358	0.188474	0.000355287	0.028984	0.122135	0.0161156	0.0940649	0.996164	0.999017	1.00098	1.00384	4.011212
9870	-488.6723	-472.0984	-16.57386	326586.2	9.823407	0.0142769	0.0109847	0.0574353	0.18734	0.121331	0.0841877	0.0425386	0.0812937	0.0726591	0.0520603	0.215023	0.0022914	0.100356	0.18215	0.00486157	0.0115928	0.335215	0.102236	0.0363742	0.0543829	0.0187354	0.202025	0.0186024	0.132999	0.00304699	0.076676	0.0256063	0.511445	0.0129663	0.0673028	0.0735595	0.607355	0.0816605	0.129845	0.0361847	0.0976896	0.00230769	0.0453129	0.194429	0.00608289	0.203921	0.997777	0.999431	1.00057	1.00223	4.316343
9880	-487.1255	-467.9556	-19.16988	709631.2	6.68343	0.0269144	0.0435906	0.034667	0.210023	0.0656333	0.0647505	0.0814195	0.0721097	0.0395933	0.0862625	0.217946	0.00652012	0.127025	0.054921	0.00946976	0.0255509	0.245741	0.0322744	0.0986019	0.130389	0.0416797	0.13072	0.0260941	0.0746382	0.00227807	0.160549	0.0211191	0.511015	0.0155752	0.0653243	0.190206	0.316497	0.0756946	0.148878	0.104335	0.209708	0.00117546	0.091705	0.121538	0.00553671	0.476298	0.998491	0.999614	1.00038	1.00151	4.463967
9890	-477.4969	-464.6646	-12.83232	559661.5	12.17713	0.039729	0.0669649	0.0510086	0.18931	0.0367526	0.02139	0.136355	0.0160364	0.0228582	0.0804119	0.13684	0.0035341	0.0611562	0.0715881	0.022223	0.0366503	0.0852602	0.0169496	0.0675912	0.108056	0.0530127	0.213997	0.0284468	0.0911147	0.00679423	0.152858	0.0502905	0.375199	0.00818733	0.114584	0.115234	0.16431	0.143922	0.111192	0.0751826	0.399951	0.000798175	0.113206	0.0775942	0.001149	0.291625	0.998301	0.999566	1.00043	1.0017	3.859314
9900	-484.6444	-470.0017	-14.64271	829585.6	10.82165	0.063216	0.0129626	0.0693167	0.115673	0.0568252	0.020666	0.203908	0.0362935	0.0323488	0.10119	0.131365	0.00212997	0.0514259	0.264084	0.0432794	0.0136705	0.294856	0.0758266	0.0363194	0.0421065	0.0904424	0.336582	0.0489257	0.077995	0.008288	0.176137	0.0470882	0.350172	0.0250461	0.0312772	0.0468136	0.187008	0.0977704	0.172271	0.111398	0.230133	0.00232333	0.18489	0.060102	0.00492691	0.1309	0.998605	0.999643	1.00036	1.0014	4.087954
9910	-495.7845	-479.2038	-16.58073	620696.6	9.288585	0.0745838	0.043027	0.0486455	0.193481	0.0335319	0.0387336	0.091986	0.142644	0.0102033	0.0178904	0.101668	0.00381165	0.0810994	0.458892	0.0436064	0.0178476	0.113976	0.0854525	0.105351	0.0193758	0.120986	0.244527	0.0598334	0.068776	0.0350277	0.1281	0.0449812	0.437448	0.0119777	0.0533746	0.0713653	0.358744	0.0202087	0.127887	0.0150729	0.439261	0.0017194	0.183022	0.0506853	0.0265533	0.104666	0.998387	0.999587	1.00041	1.00161	4.330022
