Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
5530	-813.8608	-797.195	-16.66576	309506.2	7.003232	0.314539	0.00629795	0.200507	0.555816	0.118043	0.298359	0.00733197	0.00685586	0.00413345	0.0483235	0.0371698	0.0432914	0.0290084	0.119499	0.0246075	0.0607225	0.72454	0.646002	0.0159961	0.0221921	0.0521803	0.997716	0.999416	1.00058	1.00229	3.335414
5540	-815.4997	-791.6205	-23.87915	530389.4	3.636186	0.568944	0.00501464	0.22081	0.805153	0.118634	0.317914	0.00719625	0.00483817	0.00290909	0.0314217	0.0421456	0.0642169	0.0584929	0.636136	0.0138811	0.0559936	0.27703	1.41114	0.0390772	0.020528	0.106116	0.998255	0.999554	1.00045	1.00175	4.807596
5550	-814.7637	-791.284	-23.47976	212606.5	5.355079	0.64093	0.0117185	0.162299	0.503862	0.0563503	0.268783	0.0137645	0.00268849	0.00105218	0.0586423	0.0600948	0.020973	0.0612741	0.422476	0.00828287	0.0506574	0.488649	1.67559	0.0342201	0.0464123	0.0549941	0.997245	0.999295	1.0007	1.00276	4.643714
5560	-811.7196	-790.6544	-21.06519	929804	5.396361	0.509385	0.00877784	0.240763	0.691284	0.0285153	0.398786	0.00471517	0.00387266	0.001232	0.0776523	0.0470984	0.091866	0.040264	0.418022	0.00335354	0.0955219	0.635605	0.691447	0.032152	0.0575982	0.111191	0.998682	0.999663	1.00034	1.00132	4.189101
5570	-812.6839	-787.5912	-25.09268	519132.6	3.319594	0.51654	0.0165884	0.19122	1.00482	0.0412053	0.400839	0.00658889	0.00882246	0.00163971	0.0477429	0.0807245	0.0779642	0.0130921	0.418792	0.00789107	0.0944527	1.20775	0.798166	0.0516101	0.0484588	0.0395712	0.998236	0.999549	1.00045	1.00176	5.07448
5580	-819.9893	-795.8959	-24.09333	426926	3.559954	0.368709	0.00700939	0.223295	1.03399	0.23979	0.436326	0.0272582	0.00412375	0.00299889	0.0762705	0.0211717	0.0433737	0.0107733	0.838197	0.0156792	0.0397242	0.991611	0.285449	0.0907236	0.0463591	0.0471719	0.998055	0.999502	1.0005	1.00195	4.850005
5590	-820.1422	-790.3723	-29.76987	908556.5	2.685844	0.592938	0.00410917	0.464827	1.17425	0.574898	0.408292	0.0357762	0.00510095	0.00653146	0.121851	0.0118114	0.0415537	0.0234209	0.349435	0.0153685	0.0313674	1.51762	0.87806	0.0599993	0.0692481	0.0176157	0.998667	0.999659	1.00034	1.00133	6.404077
5600	-819.0084	-795.5385	-23.46991	904515.9	3.615562	0.490387	0.00596639	0.435944	0.333335	0.664442	0.460856	0.0218229	0.00194854	0.00281728	0.0990149	0.00879124	0.0949743	0.00626438	0.114914	0.024311	0.048085	0.835161	0.900913	0.0691142	0.0362765	0.0345958	0.998664	0.999658	1.00034	1.00134	4.689936
5610	-819.1526	-795.5553	-23.59726	783771.5	4.683637	0.379434	0.0129676	0.369786	0.501289	0.743159	0.16978	0.0110445	0.0118484	0.00396884	0.0612004	0.00916481	0.0547506	0.00354021	0.050953	0.0293506	0.0537668	1.25904	0.886877	0.0883004	0.0311553	0.0311303	0.998565	0.999633	1.00037	1.00144	4.76251
5620	-817.396	-791.6886	-25.70735	696184.9	3.405229	0.522919	0.0180684	0.674207	0.200201	0.598803	0.3726	0.0504661	0.00483508	0.0108359	0.0327904	0.0167239	0.0408281	0.00512719	0.0191683	0.0454583	0.0246638	1.48519	1.03737	0.039533	0.0143611	0.0652674	0.998477	0.99961	1.00039	1.00152	5.279414
5630	-820.4401	-796.3961	-24.04399	151319.4	5.098257	0.328532	0.0270421	0.592035	0.161301	0.659239	0.566221	0.0385713	0.0160812	0.0135011	0.0502764	0.00534591	0.0548288	0.00225404	0.0519237	0.0521284	0.042076	1.20723	0.837017	0.0415559	0.00341311	0.0453732	0.996734	0.999163	1.00083	1.00327	4.795946
5640	-820.583	-797.3869	-23.19607	990190.9	4.461392	0.532512	0.0783814	0.450934	0.50141	0.0732645	0.538013	0.0729718	0.0320904	0.0112245	0.0721694	0.0101531	0.0534919	0.00521034	0.0304796	0.08596	0.0538123	1.00328	1.00743	0.0153696	0.00472919	0.0580755	0.998723	0.999673	1.00033	1.00128	4.690963
5650	-818.3694	-792.8341	-25.53529	715675.5	5.315013	0.436086	0.0212643	0.559198	0.58401	0.105752	0.817514	0.106644	0.00557297	0.0100399	0.0361875	0.0175925	0.0383123	0.00368441	0.068961	0.080231	0.0317814	0.709441	1.29701	0.0301956	0.0360769	0.0417444	0.998498	0.999616	1.00038	1.0015	5.037295
5660	-819.8516	-796.2685	-23.5831	458525	4.36912	0.449814	0.0245474	0.583587	0.561654	0.205415	0.283805	0.0948926	0.00692328	0.0112529	0.0619997	0.0248437	0.049467	0.00149248	0.189495	0.0940485	0.0400643	0.672382	1.24566	0.0306658	0.0926527	0.0577266	0.998123	0.99952	1.00048	1.00188	4.782389
5670	-819.2652	-793.0496	-26.21556	553524.7	2.604419	0.257305	0.209552	0.46497	0.298454	0.693686	0.248317	0.0799202	0.0149511	0.00310359	0.0505461	0.0126903	0.100015	0.00384714	0.148075	0.0657978	0.0516801	0.540337	1.37886	0.0541536	0.286713	0.0346247	0.998292	0.999563	1.00044	1.00171	4.997599
5680	-827.3494	-798.7619	-28.5875	421892.6	4.104543	0.544867	0.0714492	0.37895	0.211604	1.37776	0.298846	0.0688709	0.0205855	0.0143019	0.100098	0.016785	0.0734266	0.00518789	0.0774047	0.0415452	0.0842958	0.75789	1.5415	0.0529794	0.234697	0.0301412	0.998044	0.999499	1.0005	1.00196	6.003186
5690	-820.7242	-796.8553	-23.86885	688073.3	3.930468	0.479778	0.0332619	0.793162	0.150305	0.437318	0.526735	0.0356369	0.0147689	0.0356804	0.0435649	0.0549092	0.0336206	0.00515414	0.0818324	0.0105447	0.0376115	0.671246	1.02461	0.0998828	0.247435	0.0287918	0.998468	0.999608	1.00039	1.00153	4.845846
5700	-823.7177	-798.8445	-24.87315	428115.9	5.292402	0.244471	0.029674	0.379431	0.125687	0.578194	0.432196	0.0639417	0.0182773	0.0237073	0.132177	0.0831715	0.0483905	0.00934875	0.277901	0.00177809	0.106454	0.759378	1.06582	0.0679294	0.431012	0.0387075	0.998058	0.999503	1.0005	1.00194	4.917642
5710	-815.9004	-793.173	-22.72744	732600.4	5.281165	0.386223	0.0153272	0.28633	0.0561209	0.342087	0.486287	0.081641	0.0140164	0.0157594	0.0417233	0.0449235	0.0385452	0.00337887	0.320595	0.000819463	0.119751	1.11967	0.732765	0.0137033	0.388681	0.00544157	0.998515	0.99962	1.00038	1.00149	4.513786
5720	-821.2867	-797.084	-24.20275	963455.5	3.441883	0.345555	0.0294546	0.229467	0.0908962	0.275554	0.753127	0.126827	0.0120903	0.0108643	0.0663042	0.0920837	0.0501891	0.0141736	0.425336	0.000972762	0.0557303	1.28962	0.543584	0.0165554	0.409042	0.0118168	0.998705	0.999669	1.00033	1.0013	4.849243
5730	-817.6603	-796.5252	-21.13509	903121.3	5.654835	0.550895	0.0210248	0.249299	0.123186	0.058119	0.380446	0.0810797	0.00426392	0.00131969	0.0942373	0.0720189	0.0320714	0.0150512	0.174547	0.00216589	0.139728	1.38179	0.217256	0.00794584	0.554632	0.0135107	0.998663	0.999658	1.00034	1.00134	4.17459
5740	-815.5951	-792.6868	-22.90831	211312.8	4.630504	0.517417	0.0219038	0.227755	0.0581557	0.0468491	0.92252	0.107982	0.00249149	0.00163812	0.0452662	0.0612314	0.0359183	0.0174068	0.497345	0.00262166	0.0777944	0.657335	0.524452	0.00408125	0.783966	0.00479328	0.997236	0.999292	1.0007	1.00277	4.618925
5750	-816.6675	-796.196	-20.47148	116572.3	4.52888	0.309048	0.0246633	0.336783	0.447898	0.054686	0.302978	0.0851368	0.0124594	0.00391046	0.12895	0.0729057	0.0530196	0.0179604	0.181757	0.00777644	0.0565901	0.449891	0.686153	0.00682025	0.83086	0.015848	0.99628	0.999047	1.00095	1.00373	4.086095
5760	-817.1056	-794.423	-22.68263	729054.4	5.095032	0.304923	0.0332276	0.286222	0.173327	0.0276682	0.38378	0.115513	0.0133358	0.00488507	0.0809528	0.0652404	0.0636361	0.010208	0.193464	0.0493283	0.0425918	0.778672	1.18663	0.011517	0.697901	0.00628751	0.998512	0.999619	1.00038	1.00149	4.529308
5770	-810.4767	-791.4423	-19.03437	832603.1	4.52649	0.485773	0.0120103	0.441701	0.19083	0.0183832	0.410816	0.0635153	0.0158752	0.0114296	0.0551168	0.0388842	0.0598085	0.0307156	0.219096	0.0608922	0.0385434	0.502212	0.489577	0.0221052	0.591953	0.00918211	0.998607	0.999644	1.00036	1.00139	3.768419
5780	-814.6611	-796.7914	-17.86976	839999.1	5.409141	0.602227	0.133763	0.248108	0.112687	0.00511765	0.314017	0.0496461	0.0320769	0.0334616	0.050026	0.0595797	0.05918	0.0374453	0.108114	0.0173541	0.0567568	0.511526	0.392422	0.00880311	0.758133	0.0067218	0.998613	0.999645	1.00035	1.00139	3.597167
5790	-811.7315	-790.7291	-21.00245	840171.8	5.794195	0.398105	0.0889211	0.254048	0.166225	0.00227666	0.532876	0.0831518	0.0183344	0.0103789	0.107552	0.0390127	0.0297775	0.0654453	0.167483	0.0409794	0.0182064	0.586635	0.833039	0.0204137	0.657615	0.0142409	0.998614	0.999645	1.00035	1.00139	4.134716
5800	-817.224	-798.9159	-18.30817	968690.2	4.136865	0.470813	0.0801173	0.329184	0.0851842	0.00641341	0.332385	0.0912752	0.0212199	0.0108916	0.0273083	0.030559	0.033675	0.0220835	0.15542	0.0231106	0.0248253	0.683361	0.624293	0.0481442	0.39247	0.0169922	0.998709	0.99967	1.00033	1.00129	3.509726
5810	-815.0768	-795.6437	-19.43311	931527.7	4.805092	0.34288	0.147757	0.292064	0.202823	0.0146173	0.331738	0.105665	0.0110608	0.0160116	0.0486349	0.0623986	0.0200728	0.0337882	0.11803	0.0175837	0.0462255	0.481201	0.447955	0.103861	0.981997	0.055985	0.998683	0.999663	1.00034	1.00132	3.88235
5820	-819.5259	-798.7911	-20.7348	499267.6	4.49071	0.210681	0.139563	0.478492	0.344429	0.0185231	0.25591	0.0603809	0.00816178	0.0184754	0.0912652	0.092461	0.00795628	0.00816512	0.356179	0.0349014	0.04971	0.346982	0.630149	0.0757013	0.832816	0.0806792	0.998202	0.99954	1.00046	1.0018	4.141583
5830	-820.0463	-796.7987	-23.24762	766272.3	4.254847	0.102548	0.163289	0.416409	0.318136	0.0314138	0.547523	0.0746261	0.0153402	0.0170471	0.0841619	0.0612543	0.0060159	0.0140026	0.198116	0.025227	0.0313685	0.970106	0.525526	0.0469361	1.02382	0.033682	0.998548	0.999629	1.00037	1.00145	4.706549
5840	-818.1694	-793.1953	-24.97407	201535.4	5.447582	0.192708	0.145298	0.429999	0.613783	0.0308182	0.628898	0.0486141	0.0168076	0.0120562	0.080962	0.0321132	0.0257543	0.00962529	0.347686	0.0317074	0.0342535	0.792626	0.548276	0.0819585	0.789585	0.00826605	0.99717	0.999275	1.00072	1.00283	4.901793
5850	-821.1305	-794.1841	-26.94635	414658.9	2.885592	0.567766	0.187407	0.163229	0.93324	0.0413456	0.653869	0.0637661	0.0239012	0.0222219	0.0628332	0.0705103	0.0546439	0.0391809	0.207538	0.0262312	0.0206609	0.47085	1.11924	0.0725728	0.678268	0.0112206	0.998027	0.999495	1.0005	1.00197	5.490492
5860	-820.1818	-797.9309	-22.25082	578018.3	5.010315	0.507733	0.223487	0.226577	0.519089	0.053229	0.395063	0.128111	0.0251834	0.0233014	0.0394283	0.0529883	0.0800721	0.0590365	0.285334	0.0873533	0.0474046	0.438518	0.470401	0.0239894	0.760416	0.00609708	0.998329	0.999572	1.00043	1.00167	4.452812
5870	-819.6636	-795.4381	-24.22547	798794.3	5.401529	0.364751	0.123822	0.351438	0.486501	0.0258924	0.242772	0.122957	0.0105507	0.0104374	0.0846568	0.0998981	0.0868536	0.0417299	0.405848	0.32541	0.0769824	0.329363	0.317376	0.0259607	1.23112	0.00937853	0.998578	0.999636	1.00036	1.00142	4.773694
5880	-810.8777	-792.1372	-18.74054	882807	6.833567	0.305898	0.103604	0.258033	0.302987	0.0102232	0.367683	0.0378235	0.011263	0.00434241	0.0618289	0.0720661	0.0663331	0.0341487	0.238445	0.160449	0.0270858	0.557856	0.278073	0.0547475	0.670796	0.0277536	0.998647	0.999654	1.00035	1.00135	3.651441
5890	-818.5258	-797.5619	-20.96392	553744	5.741284	0.466238	0.0559262	0.260273	0.536585	0.00956752	0.278806	0.0725161	0.00648837	0.00288594	0.0424647	0.0402862	0.0513089	0.022512	0.446352	0.659157	0.0795424	0.473854	0.221896	0.140446	0.239517	0.027777	0.998292	0.999563	1.00044	1.00171	4.1344
5900	-811.5357	-789.5991	-21.93662	251636.7	5.176013	0.502914	0.0392165	0.18442	0.442301	0.0866126	0.319517	0.0817456	0.000626239	0.00473825	0.0809054	0.0438416	0.0422095	0.0153971	0.369856	0.294921	0.0725323	0.551874	0.29124	0.0399507	0.858989	0.0513557	0.997467	0.999352	1.00065	1.00254	4.375164
5910	-816.0947	-788.3191	-27.77567	538512.9	2.438154	0.527372	0.00939116	0.116165	0.782119	0.162891	0.372801	0.102857	0.00201323	0.00546874	0.02313	0.0304435	0.0193273	0.0190353	0.544001	0.22199	0.114001	0.545593	0.953753	0.0516452	0.810417	0.00930641	0.998268	0.999557	1.00044	1.00173	5.423721
5920	-812.0404	-790.9349	-21.10555	381040.2	5.877736	0.784551	0.00693006	0.221028	0.238059	0.0945119	0.41621	0.0537406	0.00120517	0.00245175	0.0580901	0.0489672	0.0112618	0.023374	0.499083	0.0635125	0.0683735	0.361911	0.599715	0.0164685	0.559824	0.0125261	0.997942	0.999473	1.00053	1.00206	4.141793
5930	-817.8813	-792.9332	-24.94805	352600.6	3.328032	0.605118	0.00864615	0.229166	0.454164	0.532225	0.400308	0.0242946	0.00275322	0.00177887	0.0235895	0.0364012	0.00865186	0.0329657	0.435025	0.0235544	0.0533438	0.733018	0.738431	0.0160862	0.647778	0.0263695	0.99786	0.999452	1.00055	1.00214	5.033668
5940	-817.0308	-790.1978	-26.83304	894602.9	4.235375	0.410622	0.00998169	0.265542	1.08707	0.28778	0.508383	0.0334202	0.00188941	0.000445511	0.0161106	0.0509698	0.0069376	0.0488207	0.250991	0.0578346	0.0618131	1.21897	0.5908	0.0185212	0.615283	0.0107217	0.998656	0.999656	1.00034	1.00134	5.552905
5950	-818.22	-795.612	-22.60802	535555.6	4.410433	0.493313	0.0211832	0.121933	0.290731	0.346737	0.449593	0.0315063	0.00110617	9.68814e-05	0.0162008	0.120998	0.00336849	0.0734067	0.408117	0.140059	0.129122	0.819839	0.796239	0.0131977	0.268464	0.0142336	0.998264	0.999556	1.00044	1.00174	4.559445
5960	-811.0489	-791.4274	-19.62143	339314.2	5.876104	0.510008	0.0172821	0.178722	0.182887	0.357723	0.230076	0.0141092	0.0011514	1.83545e-05	0.0380396	0.0397712	0.0115717	0.0642775	0.442512	0.0959282	0.0679622	0.757202	0.430742	0.0111613	0.393845	0.0444481	0.997819	0.999442	1.00056	1.00218	3.889438
5970	-806.7788	-790.6158	-16.16303	318175.2	5.995305	0.375306	0.0346451	0.0928268	0.225042	0.0613995	0.32383	0.0127745	0.0055797	3.00909e-05	0.0489127	0.0356787	0.00287103	0.070008	0.27232	0.0590732	0.0307536	0.780195	0.221405	0.00636365	0.594419	0.0481894	0.997747	0.999424	1.00057	1.00225	3.301623
5980	-811.4754	-788.1584	-23.31703	849833.9	4.431934	0.512319	0.0382224	0.0346837	0.255042	0.0190641	0.467566	0.00747732	0.00491835	0.000165824	0.0545655	0.0394544	0.00730756	0.0664107	0.532377	0.0422582	0.0337869	1.71414	0.227659	0.00896808	0.60567	0.0473153	0.998621	0.999647	1.00035	1.00138	4.719376
5990	-809.9902	-787.8083	-22.18186	726869.3	3.802105	0.328327	0.154415	0.0396619	0.568094	0.102015	0.440781	0.0120006	0.0150012	0.000145679	0.0606703	0.0960183	0.0164248	0.047028	0.315857	0.0625205	0.0757491	1.00559	0.448424	0.0134857	0.568831	0.0180691	0.998509	0.999619	1.00038	1.00149	4.389109
6000	-818.3351	-794.1468	-24.18826	238265.8	3.704274	0.306465	0.274887	0.0203692	0.656126	0.117365	0.444088	0.0168331	0.00825745	0.000837523	0.104895	0.0652256	0.0246133	0.0379742	0.305804	0.0405311	0.0691843	1.65565	0.264569	0.00951029	0.45545	0.025536	0.997397	0.999334	1.00066	1.00261	4.904172
6010	-820.8167	-797.7703	-23.04635	391799.6	5.500404	0.427886	0.23718	0.0567101	0.340954	0.331603	0.23247	0.0966886	0.0105817	0.00112457	0.0891219	0.0454266	0.0621516	0.0722613	0.274858	0.0238438	0.112476	1.25856	0.74707	0.005577	0.088009	0.0246174	0.99797	0.999481	1.00052	1.00203	4.539172
6020	-819.8264	-794.631	-25.1954	75019.01	5.853313	0.367741	0.21734	0.290883	0.240818	0.428378	0.503566	0.0794433	0.019826	0.00355441	0.106562	0.0522434	0.0619771	0.0355656	0.303881	0.0534846	0.0529888	1.01655	0.807134	0.0120355	0.159107	0.0306215	0.995363	0.998811	1.00118	1.00464	4.843694
6030	-820.0805	-798.3205	-21.75997	626899.5	3.178128	0.492573	0.112238	0.16496	0.250946	0.367211	0.393358	0.0861296	0.0222061	0.00435817	0.11072	0.0791301	0.0429177	0.0556946	0.384221	0.03216	0.054396	0.536275	0.598086	0.0138319	0.13542	0.0360223	0.998395	0.999589	1.00041	1.00161	3.972854
6040	-828.8963	-798.6482	-30.24808	773180.2	2.9884	0.418554	0.0671483	0.202901	0.527388	0.439012	0.963931	0.133275	0.0236333	0.00676616	0.0705961	0.0168496	0.0591934	0.0438042	0.275328	0.0339484	0.0494064	2.00973	0.913072	0.0124882	0.301693	0.0768643	0.998555	0.99963	1.00037	1.00145	6.645584
6050	-834.1236	-800.5602	-33.56342	222679.2	2.148	0.484357	0.186409	0.310802	0.571896	1.00758	0.995586	0.0937827	0.0138917	0.00884432	0.142552	0.0153233	0.0730125	0.0731326	0.367366	0.0222615	0.0243514	1.17907	1.59499	0.0422233	0.356607	0.0750914	0.997308	0.999311	1.00069	1.00269	7.639132
6060	-817.5405	-796.9674	-20.57318	36888.84	5.166198	0.520499	0.170548	0.127836	0.186728	0.400993	0.250639	0.101622	0.00319489	0.0104831	0.0861703	0.0371895	0.0926863	0.0477893	0.259355	0.0247965	0.0100856	0.208961	1.1175	0.01154	0.389638	0.0539754	0.99339	0.998302	1.00168	1.00663	4.112226
6070	-819.4096	-792.7634	-26.64624	74753.92	5.752175	0.778526	0.125398	0.101227	0.422176	0.226421	0.199165	0.0860719	0.00437503	0.0111287	0.0435036	0.0818657	0.0340749	0.150357	0.608321	0.016143	0.0250695	0.197022	1.56401	0.0123654	0.350922	0.0828245	0.995355	0.998809	1.00118	1.00465	5.120968
6080	-822.3402	-794.354	-27.98622	56363.1	4.46931	0.598418	0.142863	0.151837	0.592608	0.389526	0.0648686	0.0828682	0.00831387	0.00300508	0.0728813	0.0384294	0.103352	0.348183	0.228159	0.0341247	0.0248799	0.252504	2.3393	0.0290927	0.135454	0.121755	0.994651	0.998627	1.00136	1.00536	5.762418
6090	-822.6657	-797.9595	-24.70619	47490.14	3.262053	0.445492	0.0849619	0.0586493	1.32857	0.108256	0.0523131	0.103342	0.0158931	0.0110323	0.111827	0.0810297	0.0877256	0.607198	0.352621	0.0150128	0.0283979	0.369188	0.730174	0.0274627	0.206207	0.111114	0.994173	0.998504	1.00148	1.00584	4.93647
6100	-818.0056	-793.7405	-24.2651	38433.58	5.19184	0.569941	0.0252972	0.160116	0.636365	0.0567568	0.151851	0.0881698	0.028551	0.00806393	0.0846728	0.0585576	0.0174886	0.241918	0.428984	0.0253708	0.095776	0.97177	0.994462	0.00953098	0.120699	0.0477136	0.993524	0.998337	1.00165	1.00649	4.822056
6110	-819.5933	-793.6138	-25.97948	28721.65	3.778409	0.472301	0.0167987	0.153108	1.37404	0.0485255	0.532658	0.0486908	0.00916797	0.0159081	0.0619087	0.0664075	0.021916	0.128443	0.541659	0.0410968	0.0450202	0.621412	0.767455	0.0466332	0.280835	0.0942395	0.99251	0.998074	1.00191	1.00751	5.388226
6120	-816.604	-795.8294	-20.77465	33269.1	6.036327	0.442201	0.00771494	0.236453	0.920443	0.0400399	0.362149	0.0593468	0.0086437	0.0151482	0.069241	0.0304811	0.0555025	0.20383	0.299663	0.0248687	0.0431524	0.261717	0.469987	0.038459	0.366168	0.110318	0.99304	0.998211	1.00177	1.00698	4.065527
6130	-818.8122	-796.3484	-22.4638	33742.74	3.026265	0.454617	0.0288718	0.25634	0.248094	0.143418	0.442055	0.044894	0.0423577	0.0334881	0.0160907	0.0253813	0.0235046	0.359613	0.197463	0.0385948	0.0461207	0.634682	0.718038	0.0442002	0.215075	0.0621626	0.993089	0.998224	1.00176	1.00693	4.075061
6140	-823.6604	-798.2824	-25.37804	8976.216	4.020502	0.302061	0.10239	0.198923	0.285208	0.31407	0.397627	0.041434	0.0457049	0.0214675	0.0288071	0.0519528	0.0608279	0.186526	0.145662	0.0712289	0.0467682	0.56466	2.0628	0.0366329	0.234966	0.0267976	0.986616	0.996541	1.00339	1.01345	5.22652
6150	-819.6789	-792.9824	-26.69642	72061.13	4.245201	0.466865	0.0274969	0.200259	0.715528	0.178591	0.514852	0.0360403	0.0267877	0.0100775	0.0197026	0.0332759	0.0520909	0.217016	0.640366	0.0436505	0.0396798	0.72693	0.91636	0.0422234	0.565254	0.0458232	0.995269	0.998787	1.00121	1.00474	5.51887
6160	-817.5348	-795.9471	-21.58764	143185.3	4.416704	0.571882	0.0274603	0.0987851	0.341265	0.178591	0.236255	0.0341658	0.0027903	0.00554003	0.0742681	0.0767786	0.0464412	0.733053	0.393262	0.018407	0.0278885	0.349981	0.768119	0.064702	0.206283	0.0724979	0.996643	0.99914	1.00086	1.00336	4.328415
6170	-826.8456	-801.7706	-25.07506	62744.11	3.50185	0.6654	0.0382044	0.189164	0.415395	0.397756	0.43543	0.0501089	0.00451169	0.00224797	0.0923769	0.124802	0.00541682	1.25769	0.445917	0.00587593	0.0617498	0.119219	0.453639	0.0606035	0.143416	0.146535	0.99493	0.998699	1.00129	1.00508	5.115459
6180	-817.7306	-794.0494	-23.68124	118346.7	5.367954	0.598558	0.0781469	0.139061	0.286324	0.46188	0.192971	0.0558101	0.00969895	0.00218169	0.0574716	0.0666455	0.00622325	0.227212	0.279265	0.0100462	0.0432227	0.109197	1.58062	0.0568243	0.327678	0.0899914	0.996308	0.999054	1.00094	1.0037	4.679025
6190	-821.4424	-797.8838	-23.55852	673897.6	7.181612	0.418425	0.108394	0.100754	0.173119	0.92968	0.249447	0.0894319	0.0206963	0.00628377	0.0773991	0.0794152	0.0052043	0.207005	0.319954	0.00859657	0.068607	0.174915	0.969823	0.0568021	0.180807	0.0361669	0.998452	0.999604	1.0004	1.00155	4.280927
6200	-824.5843	-799.5637	-25.02068	448994.2	5.020084	0.372213	0.0744251	0.0593264	0.275792	0.593608	0.1909	0.0411848	0.0222988	0.00407954	0.09683	0.0499463	0.00282507	0.147429	0.453239	0.00307788	0.0650913	0.0523753	2.2026	0.0752272	0.204263	0.0169285	0.998104	0.999515	1.00048	1.0019	5.003662
6210	-823.1604	-795.9947	-27.16573	83775.77	3.976589	0.358022	0.113174	0.0739744	0.776819	0.711742	0.458536	0.0454206	0.0164443	0.00218603	0.0439562	0.0571607	0.00624673	0.0810156	0.444484	0.00112363	0.0767998	0.0240395	1.46925	0.0879766	0.813858	0.0157713	0.995612	0.998875	1.00112	1.0044	5.678004
6220	-825.9762	-799.3149	-26.66127	235243.9	6.554688	0.443477	0.135373	0.042471	1.12644	0.487669	0.375753	0.0295758	0.00540918	0.000476291	0.0412939	0.0787085	0.0145244	0.0665974	0.373527	0.00224954	0.0669879	0.0535417	1.23562	0.0723306	0.223603	0.0145907	0.99738	0.999329	1.00067	1.00262	4.890222
6230	-820.6084	-794.7786	-25.82979	700602.7	2.268562	0.318785	0.142226	0.118175	0.432499	0.273949	0.332815	0.0614975	0.0142188	0.000710255	0.0737788	0.12023	0.0399609	0.0575582	0.298215	0.00386808	0.106238	0.0703939	0.822674	0.0151494	1.00308	0.0129748	0.998482	0.999612	1.00039	1.00152	4.318995
6240	-820.3382	-798.9453	-21.39298	930715.3	4.182319	0.340704	0.190645	0.180104	0.68014	0.341141	0.404975	0.0647016	0.0104024	0.00567836	0.072793	0.11102	0.0539735	0.133854	0.355828	0.00367412	0.0509835	0.135832	0.535079	0.0134664	0.551135	0.0257301	0.998683	0.999663	1.00034	1.00132	4.261859
6250	-813.3176	-788.7899	-24.52775	665058.5	3.981133	0.353839	0.0560379	0.226529	0.126872	0.537554	0.515268	0.0149591	0.0208063	0.00378833	0.0842385	0.0386098	0.0570308	0.0528038	0.303052	0.0121293	0.0325383	0.218993	1.44789	0.0088948	0.879083	0.0237771	0.998442	0.999601	1.0004	1.00156	5.014697
6260	-819.5258	-794.8279	-24.69788	794754.5	2.784323	0.502034	0.083242	0.186759	0.212284	0.378308	0.347586	0.0108663	0.0260947	0.00521891	0.0746995	0.05815	0.0858451	0.0789719	0.594404	0.0284566	0.0285977	0.264237	0.394664	0.00899492	1.15987	0.0911866	0.998575	0.999635	1.00036	1.00143	4.620469
6270	-817.9621	-796.5994	-21.36271	447081.7	4.723623	0.35289	0.123145	0.159875	0.120009	0.233928	0.613537	0.0330943	0.038058	0.00452688	0.0192895	0.0652068	0.0654186	0.0480335	0.295563	0.0558452	0.0351876	0.676191	0.3766	0.0125005	0.887281	0.069055	0.9981	0.999514	1.00048	1.0019	4.285236
6280	-820.8828	-796.9289	-23.95396	468762.2	7.854578	0.484308	0.110063	0.145562	0.44992	0.0967168	0.695139	0.0780188	0.0102776	0.0127374	0.0240955	0.0911819	0.0126651	0.119505	0.251496	0.0420188	0.0679916	0.583608	0.0404765	0.0159338	0.804218	0.0509027	0.998144	0.999525	1.00047	1.00186	4.186837
6290	-817.8415	-793.6515	-24.19003	273173	3.848489	0.489473	0.130772	0.127746	0.381035	0.147063	0.76372	0.0694012	0.010425	0.00894139	0.0831637	0.0739883	0.0484751	0.191344	0.373834	0.0756112	0.0492484	0.501602	0.0685057	0.0189731	1.28308	0.0253726	0.997569	0.999378	1.00062	1.00243	4.921772
6300	-822.5242	-794.9365	-27.5877	809876.5	6.456453	0.482329	0.0635073	0.106135	0.652012	0.229377	0.343627	0.138865	0.0129452	0.0268616	0.0926266	0.0923151	0.060915	0.514563	0.349914	0.0779672	0.0292195	0.462574	0.0600147	0.00247611	1.22999	0.0338129	0.998588	0.999639	1.00036	1.00141	5.062044
6310	-814.3887	-792.9018	-21.48682	410064.8	5.217587	0.454321	0.0656914	0.202817	0.536349	0.264686	0.383133	0.0373141	0.0097334	0.0139436	0.0767863	0.037291	0.0311211	0.43203	0.391372	0.136533	0.0170155	0.163623	0.0837918	0.00301609	0.900336	0.0437955	0.998016	0.999492	1.00051	1.00199	4.2847
6320	-815.2293	-793.7043	-21.52505	105864.2	6.532051	0.395978	0.0768679	0.267159	0.286805	0.468712	0.169122	0.0752294	0.0278706	0.00317898	0.0704617	0.0741306	0.0323729	0.0525282	0.103635	0.400674	0.0123268	0.216062	0.0789125	0.00332969	1.24854	0.0465327	0.996096	0.998999	1.001	1.00391	4.11043
