Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
120	-392.4861	-391.5196	-0.9664332	542865.7	11.82497	0.203042	0.0775945	0.023637	0.0247306	0.0162521	0.0938203	0.0451925	0.00200238	0.0252422	0.0248518	0.00954096	0.0557243	0.0217383	0.226962	0.091027	0.0777467	0.132204	0.00800165	0.098921	0.0285526	0.0549333	0.0986063	0.0628083	0.300191	0.102368	0.0286799	0.0461311	0.0554971	0.0425911	0.0496811	0.0716988	0.15564	0.0403174	0.998275	0.999559	1.00044	1.00173	2.395928
130	-398.0189	-396.8919	-1.126993	250159.8	13.68165	0.221917	0.0511184	0.00995073	0.0314105	0.0126271	0.0914674	0.0778799	0.00224127	0.0976053	0.0270988	0.0068222	0.0214072	0.0300401	0.213404	0.10931	0.0375132	0.116097	0.00467113	0.161464	0.0430593	0.135224	0.168242	0.0680961	0.219717	0.0963716	0.0413259	0.0524065	0.0414105	0.0246062	0.0472207	0.0707794	0.0611197	0.0135252	0.99746	0.99935	1.00065	1.00254	2.40715
140	-394.5619	-389.0946	-5.467385	880023	10.75011	0.18309	0.0213055	0.0233193	0.0186301	0.0708589	0.0793412	0.0484312	0.00174951	0.0468364	0.0128899	0.0175375	0.0471637	0.0723488	0.121809	0.0891737	0.0645841	0.074002	0.0045938	0.0560917	0.0761126	0.105074	0.160148	0.0659439	0.639337	0.0892295	0.034146	0.0240976	0.0500037	0.0456509	0.114011	0.176368	0.132517	0.0152408	0.998645	0.999654	1.00035	1.00136	2.781635
150	-396.2487	-391.7329	-4.515827	628278.8	13.08896	0.257788	0.0552627	0.0468358	0.0210849	0.0904391	0.0661373	0.0450948	0.00577839	0.0458114	0.0374265	0.0117554	0.0431861	0.07029	0.134981	0.102297	0.0152869	0.137386	0.00371249	0.0717243	0.0638474	0.0629078	0.0552197	0.0277475	0.302213	0.0333197	0.0329803	0.0642734	0.0452505	0.0563704	0.356867	0.185732	0.116498	0.00695482	0.998397	0.99959	1.00041	1.0016	2.672459
160	-405.7112	-396.1667	-9.544494	692121.1	8.830121	0.16179	0.101167	0.0617369	0.0289178	0.108711	0.105188	0.0422336	0.0033196	0.0757224	0.01167	0.0234372	0.0494963	0.0397511	0.21404	0.0576368	0.0198301	0.169719	0.00208861	0.0244904	0.139644	0.0677439	0.0546659	0.0110371	0.709899	0.0234279	0.0616891	0.0707469	0.0353592	0.0427443	0.162948	0.363143	0.105378	0.00702102	0.998473	0.999609	1.00039	1.00153	3.156393
170	-395.2598	-390.1288	-5.130975	862192	12.65654	0.221571	0.0385974	0.121594	0.023683	0.0667979	0.177884	0.0143603	0.0109828	0.0722615	0.0442844	0.0256275	0.11055	0.0110379	0.132093	0.0322545	0.00317026	0.117002	0.00252263	0.078618	0.136783	0.0549078	0.0785436	0.0220342	0.499204	0.0268697	0.0572271	0.105574	0.0705464	0.0372712	0.10791	0.175209	0.041776	0.0128606	0.998631	0.99965	1.00035	1.00137	2.731608
180	-399.8033	-390.7222	-9.081073	566867	11.33687	0.186146	0.0525891	0.11657	0.00440364	0.10948	0.113746	0.0266745	0.0121862	0.119471	0.0240446	0.0217444	0.0960267	0.0334956	0.221462	0.0839912	0.00226088	0.0466223	0.00316295	0.0899279	0.102808	0.0231513	0.0651041	0.0723242	0.765959	0.0559793	0.0228605	0.133337	0.0329336	0.0229118	0.155614	0.218961	0.0385606	0.0262562	0.998312	0.999568	1.00043	1.00169	3.100766
190	-400.5564	-390.1842	-10.37216	183042.4	12.77424	0.186146	0.0297294	0.165147	0.00519966	0.101646	0.111598	0.0183446	0.00462601	0.0331896	0.0281757	0.0480799	0.0585703	0.0381491	0.0870006	0.0598384	0.00327217	0.119659	0.00355746	0.119944	0.226678	0.0225671	0.0846948	0.0786974	0.467736	0.164006	0.0306115	0.118062	0.0914854	0.0550249	0.153421	0.212955	0.151316	0.0596749	0.997031	0.99924	1.00076	1.00297	3.138803
200	-395.7899	-388.2494	-7.540499	165060.1	9.331801	0.250164	0.0331652	0.019063	0.00282244	0.0876292	0.104027	0.0333577	0.0153945	0.0363248	0.0296218	0.0326907	0.048049	0.054827	0.184469	0.0989751	0.00194889	0.138647	0.00345216	0.0572661	0.0689295	0.00821083	0.0818078	0.114934	0.340734	0.150456	0.0825539	0.0721474	0.101879	0.224451	0.0892891	0.190312	0.188199	0.0108209	0.996873	0.999199	1.0008	1.00313	2.956617
210	-399.3406	-389.2299	-10.11067	206719	8.827289	0.429448	0.048773	0.058104	0.00897069	0.093152	0.13444	0.0122971	0.0206232	0.0180408	0.0368468	0.0577844	0.0269599	0.0699281	0.130372	0.0480037	0.0145827	0.031996	0.0144697	0.0603695	0.0581343	0.0026394	0.0724185	0.08074	0.632116	0.246845	0.104217	0.0366665	0.167288	0.0855119	0.091625	0.222064	0.0576372	0.0473452	0.997206	0.999285	1.00071	1.0028	3.22041
220	-409.0453	-396.2688	-12.7765	265403.8	8.453828	0.249753	0.0463032	0.0587409	0.011225	0.0738413	0.09762	0.00962076	0.0243007	0.0159174	0.0732673	0.0220959	0.0407529	0.0229158	0.21525	0.144767	0.0189274	0.0425024	0.0224743	0.0596143	0.136006	0.0188351	0.197467	0.0785832	0.390054	0.158026	0.359788	0.0422052	0.163909	0.062771	0.145521	0.362843	0.139856	0.0123516	0.997534	0.999369	1.00063	1.00247	3.518106
