Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
15220	-588.6491	-561.1933	-27.45579	311116	2.998508	0.315917	0.0489101	0.166432	0.0738687	0.26675	0.00405403	0.0059546	0.0278852	0.386199	1.13833	0.144103	0.0148159	0.021003	0.00469909	0.288765	0.0809874	0.0101953	0.123991	0.0246465	0.265038	0.0586179	0.0302277	0.0420873	0.285666	0.183119	0.730109	0.126876	0.997722	0.999417	1.00058	1.00228	4.869252
15230	-585.828	-564.2105	-21.61757	79297.47	5.158805	0.265114	0.0425023	0.0554597	0.0351547	0.28354	0.00388813	0.00620946	0.0656731	0.37675	1.1726	0.131801	0.043017	0.0356109	0.00683367	0.306505	0.175945	0.0262543	0.182694	0.114908	0.13277	0.0392682	0.0547671	0.066243	0.0754759	0.26842	0.340169	0.146979	0.99549	0.998843	1.00115	1.00452	4.454549
15240	-593.4476	-568.0838	-25.36378	265158.2	6.856527	0.439596	0.0489815	0.0403621	0.0352683	0.274772	0.00422992	0.010164	0.0601786	0.320382	1.30277	0.166229	0.191868	0.0204273	0.00584994	0.521658	0.234891	0.0119824	0.0697374	0.0824101	0.114341	0.194002	0.00581144	0.0473928	0.0656955	0.178644	0.382239	0.138842	0.997533	0.999368	1.00063	1.00247	4.968726
15250	-588.8555	-565.2461	-23.60943	439695	5.455216	0.506502	0.0143772	0.17626	0.0370132	0.327608	0.00505213	0.032518	0.0497917	0.268136	0.814254	0.173841	0.0857294	0.00734789	0.0111117	0.247995	0.322817	0.00958731	0.153933	0.12149	0.229862	0.129392	0.00694258	0.0335652	0.0313623	0.12642	0.535714	0.384657	0.998084	0.99951	1.00049	1.00192	4.843281
15260	-587.5721	-565.235	-22.33706	543258.3	6.373407	0.428494	0.0580145	0.0881977	0.0305348	0.212659	0.00509974	0.0532366	0.023155	0.312711	0.971456	0.105683	0.062952	0.0195198	0.0137212	0.277195	0.234066	0.0119533	0.235562	0.068908	0.156622	0.0920219	0.00683452	0.018955	0.129059	0.178895	0.461662	0.318923	0.998276	0.999559	1.00044	1.00173	4.576093
15270	-594.7346	-561.6315	-33.10303	758695.3	2.544746	0.4584	0.0600601	0.0816909	0.0187593	0.272475	0.0150194	0.0740716	0.018232	0.375236	1.97993	0.244644	0.0332551	0.0121863	0.0312783	0.413465	0.235185	0.0229094	0.168161	0.153329	0.114837	0.113365	0.0252933	0.155032	0.229898	0.186073	0.488904	0.269709	0.998541	0.999627	1.00037	1.00146	6.251398
15280	-589.3373	-563.5591	-25.77825	896965.8	5.261368	0.347148	0.0521718	0.0806278	0.108863	0.238227	0.00495524	0.0302089	0.0614029	0.301157	1.43737	0.152286	0.069836	0.00847067	0.0135666	0.368608	0.0404167	0.0118357	0.064364	0.129474	0.174502	0.0882667	0.0494928	0.038412	0.161884	0.179483	0.761865	0.28074	0.998658	0.999657	1.00034	1.00134	5.255636
15290	-590.1918	-563.8852	-26.30663	488390.7	5.578716	0.344522	0.0403989	0.0602746	0.0921759	0.320472	0.0258045	0.0562165	0.0242083	0.226448	1.53699	0.308693	0.0285998	0.0111129	0.00441551	0.353213	0.0663654	0.00433705	0.254944	0.0706912	0.205466	0.0309957	0.102945	0.0500542	0.0797246	0.173228	0.770301	0.0808653	0.998182	0.999535	1.00046	1.00182	5.323459
15300	-588.0629	-563.0402	-25.0227	928005.9	5.567939	0.680032	0.0163069	0.18053	0.15227	0.213208	0.0384691	0.0563742	0.0188699	0.499369	0.973813	0.152826	0.0334128	0.00666918	0.00510109	0.468307	0.0302223	0.00305094	0.143581	0.0765617	0.187919	0.0322936	0.0277103	0.060782	0.0355491	0.238491	0.68354	0.0789214	0.998681	0.999663	1.00034	1.00132	5.094182
15310	-590.6048	-563.2776	-27.32725	956703.2	6.722725	0.527285	0.0955052	0.0617202	0.0448383	0.15827	0.0308488	0.0789835	0.0593213	0.365217	1.17887	0.106606	0.0217102	0.00972706	0.00701417	0.602732	0.113292	0.00986456	0.160845	0.137006	0.226265	0.0316475	0.155655	0.0893563	0.064007	0.207944	0.633723	0.106262	0.998701	0.999668	1.00033	1.0013	5.284514
15320	-594.0376	-566.9845	-27.05309	354343.6	5.531785	0.33159	0.0485598	0.175033	0.0806014	0.10762	0.0358876	0.162649	0.0552563	0.378141	1.66262	0.254968	0.0354915	0.0148975	0.00220838	0.4975	0.0836054	0.0591206	0.109961	0.0252723	0.179566	0.0220243	0.0979464	0.172102	0.0300882	0.188864	0.542292	0.110158	0.997865	0.999454	1.00054	1.00214	5.464027
15330	-595.8488	-566.495	-29.35384	217436.6	4.213148	0.286921	0.098602	0.168334	0.0572029	0.290322	0.0513752	0.12177	0.0326073	0.33701	1.64122	0.182942	0.0364992	0.0111201	0.00279676	0.942967	0.183274	0.0432721	0.213581	0.163754	0.192226	0.0646499	0.139982	0.0710037	0.0623466	0.120412	0.393828	0.127795	0.997275	0.999302	1.00069	1.00273	6.03781
15340	-601.9049	-571.8223	-30.08261	546328.6	3.941655	0.552046	0.0979024	0.240853	0.101753	0.0921759	0.0483205	0.0632271	0.0664781	0.352577	1.32752	0.144967	0.0255823	0.0253547	0.00202985	1.08547	0.184491	0.052626	0.161576	0.221094	0.181335	0.0335799	0.186835	0.0554918	0.00810163	0.300944	0.463422	0.120326	0.998281	0.99956	1.00044	1.00172	6.196078
15350	-594.3626	-566.2769	-28.08573	534813.6	4.395557	0.411654	0.12045	0.211041	0.114683	0.398571	0.0495302	0.0638981	0.0545719	0.3062	1.37357	0.184073	0.0155828	0.00674115	0.00411095	0.870938	0.0251508	0.073431	0.152542	0.181073	0.0623105	0.0501587	0.142625	0.04081	0.00501517	0.215434	0.415943	0.200692	0.998262	0.999556	1.00044	1.00174	5.7508
15360	-599.7037	-569.7609	-29.9428	766120.9	2.88864	0.458959	0.106509	0.121548	0.015929	0.399041	0.174267	0.107383	0.081757	0.504793	1.3554	0.0451169	0.0207136	0.00375016	0.00626587	0.621236	0.00435395	0.070656	0.198125	0.151995	0.0675112	0.0905297	0.13179	0.0674789	0.00717974	0.271318	0.420025	0.0704761	0.998548	0.999629	1.00037	1.00145	5.574109
15370	-591.9628	-559.7733	-32.18941	950667.1	4.35025	0.660151	0.0163865	0.0901436	0.0372759	0.330161	0.169498	0.0878074	0.116251	0.49768	2.18927	0.148692	0.0232397	0.00845775	0.0085833	0.401232	0.00518222	0.101854	0.199891	0.166167	0.136244	0.0986322	0.127566	0.0183887	0.0219338	0.174272	0.746228	0.110606	0.998697	0.999667	1.00033	1.0013	6.691792
15380	-595.4198	-569.9218	-25.49808	801615.5	5.394901	0.974237	0.044836	0.0769713	0.0610987	0.579444	0.129418	0.090156	0.0515964	0.234467	0.780853	0.152003	0.0383077	0.00693621	0.00502003	0.182105	0.00596076	0.263573	0.284318	0.0920479	0.100773	0.227756	0.119302	0.0078867	0.0608769	0.0919354	0.429871	0.102353	0.998581	0.999637	1.00036	1.00142	5.194102
15390	-595.4679	-559.3311	-36.13678	827366.6	3.483109	0.534311	0.06586	0.0889363	0.0170261	0.453521	0.168361	0.048508	0.0542863	0.413632	3.46446	0.211342	0.144029	0.0183956	0.00913122	0.408194	0.00911289	0.519701	0.190604	0.0614276	0.0884639	0.0565411	0.0819403	0.0127287	0.117744	0.116857	0.292698	0.169756	0.998603	0.999643	1.00036	1.0014	7.817567
15400	-583.6197	-559.739	-23.88072	843234.1	4.525644	0.329225	0.0586057	0.0796645	0.0146118	0.409536	0.113797	0.0658706	0.0516359	0.365247	1.18401	0.239548	0.0735175	0.0284427	0.0295586	0.195429	0.00695941	0.31637	0.0926496	0.137349	0.0484439	0.0705176	0.107098	0.0318843	0.151506	0.17926	0.184611	0.259247	0.998616	0.999646	1.00035	1.00138	4.824597
15410	-583.7398	-558.0701	-25.6697	874788.8	3.991894	0.354253	0.183242	0.111426	0.0207398	0.100022	0.0814652	0.0418028	0.0784345	0.5013	1.42265	0.218462	0.0338351	0.0145364	0.0426584	0.307751	0.00292904	0.298204	0.0872221	0.126102	0.0668038	0.0475676	0.166929	0.11167	0.166516	0.137715	0.225323	0.146214	0.998641	0.999653	1.00035	1.00136	5.095776
15420	-587.6847	-559.7265	-27.95819	814359.3	5.257495	0.465649	0.101216	0.129905	0.0139679	0.122364	0.175229	0.0146348	0.154097	0.551678	1.25281	0.256645	0.02648	0.0108574	0.0225448	0.370094	0.0368139	0.138903	0.0720249	0.0711778	0.064527	0.0367985	0.191882	0.178763	0.173255	0.15166	0.85302	0.0335068	0.998592	0.99964	1.00036	1.00141	5.670509
15430	-589.4614	-566.8177	-22.64368	443559.6	5.480106	0.265433	0.162772	0.0611801	0.0159619	0.303623	0.152798	0.0109572	0.0612177	0.682566	0.837251	0.152896	0.00816591	0.0102389	0.0311744	0.288121	0.0329489	0.126501	0.0715009	0.177081	0.0393211	0.0250929	0.121009	0.186398	0.0975156	0.242269	0.450458	0.0521235	0.998092	0.999512	1.00049	1.00191	4.666574
15440	-587.1906	-562.0852	-25.10538	204613.1	6.155591	0.25051	0.103416	0.0911597	0.0136815	0.18961	0.0353545	0.0287781	0.0899059	0.56468	1.68393	0.276123	0.00260386	0.0335456	0.0373979	0.223116	0.184441	0.177032	0.193464	0.0904878	0.0141607	0.0272371	0.108324	0.0652232	0.0257007	0.078753	0.416005	0.0376527	0.997191	0.999281	1.00072	1.00281	5.042294
15450	-589.9243	-559.7232	-30.20115	108314.3	4.440213	0.33932	0.112132	0.163218	0.0202376	0.26836	0.0150678	0.0317392	0.108685	0.455918	1.57358	0.279339	0.00227259	0.0370733	0.0365729	0.313865	0.262106	0.180904	0.13036	0.0281872	0.0130722	0.0183367	0.501389	0.0511191	0.0367803	0.162558	1.04447	0.0421812	0.99614	0.999011	1.00098	1.00386	6.22884
15460	-590.4488	-559.5385	-30.91031	35999.52	6.891496	0.30201	0.100381	0.0796477	0.0319067	0.319843	0.00742877	0.0233441	0.0576244	0.961202	1.70714	0.160016	0.00859707	0.0513049	0.0322644	0.143055	0.149173	0.12621	0.0783159	0.0514132	0.041948	0.00940107	0.248196	0.0881546	0.022635	0.16046	0.76722	0.0383723	0.993309	0.998281	1.0017	1.00671	5.767266
15470	-590.3605	-565.2982	-25.0623	26901.29	4.186915	0.344562	0.112293	0.0748663	0.0712896	0.23958	0.0259856	0.0440346	0.186207	0.457197	1.52494	0.123163	0.0727164	0.0412158	0.0472538	0.167562	0.132014	0.0536568	0.0454339	0.0793288	0.0149246	0.017644	0.406465	0.054239	0.013665	0.159854	0.496552	0.0049864	0.992261	0.99801	1.00197	1.00776	5.011625
15480	-593.3025	-567.4819	-25.82054	109026.4	5.778573	0.253322	0.0741548	0.123505	0.25909	0.331125	0.148734	0.0294709	0.0626027	0.336945	1.48919	0.129881	0.0304137	0.0202774	0.0441674	0.199316	0.0729176	0.0639514	0.0412484	0.436249	0.0524029	0.0138808	0.211053	0.0952458	0.027396	0.133775	0.530949	0.00150794	0.996153	0.999014	1.00098	1.00385	5.212768
15490	-593.129	-564.1771	-28.95191	175498.8	3.566041	0.454813	0.0514041	0.0423158	0.274845	0.207688	0.0756769	0.0408036	0.011361	0.848331	1.72314	0.217921	0.0259464	0.0594245	0.0191134	0.280087	0.120661	0.0393738	0.0720603	0.235909	0.0152957	0.0147128	0.0805323	0.0799161	0.0464368	0.0945975	0.661578	0.000529073	0.996967	0.999223	1.00077	1.00304	5.79447
15500	-591.2509	-564.451	-26.79985	983300.5	4.732139	0.432448	0.063954	0.0783874	0.124998	0.130052	0.0722256	0.0450513	0.0556726	0.490236	1.64201	0.153804	0.0451586	0.040088	0.0170781	0.606168	0.0752382	0.0246067	0.0561124	0.121084	0.0210216	0.0177818	0.0876853	0.146169	0.133194	0.0719109	0.724095	0.000555749	0.998718	0.999672	1.00033	1.00128	5.476785
15510	-591.7705	-566.5811	-25.18939	892355.1	4.800152	0.520863	0.175153	0.085614	0.123755	0.23604	0.143806	0.0572623	0.0351455	0.424806	1.4392	0.139141	0.0517	0.0742521	0.0188181	0.184691	0.0568154	0.0304147	0.176949	0.147721	0.0497441	0.0453736	0.0610853	0.118657	0.148582	0.03427	0.560763	0.000498638	0.998655	0.999656	1.00034	1.00135	5.141118
15520	-594.8949	-569.3889	-25.50597	854552.1	4.159781	0.369839	0.147126	0.0311443	0.126098	0.124581	0.0841861	0.0205547	0.0631948	0.543896	0.8976	0.144634	0.0352582	0.111947	0.0223516	0.491791	0.087491	0.0562472	0.534565	0.250532	0.0530461	0.0672713	0.121099	0.0936622	0.280637	0.0396605	0.310189	0.0014745	0.998625	0.999648	1.00035	1.00138	5.110077
15530	-582.0055	-560.322	-21.68348	855264.2	5.79966	0.517374	0.0494596	0.197232	0.185767	0.182642	0.141251	0.0477234	0.0232756	0.377113	1.08563	0.120657	0.0114455	0.0584098	0.0285502	0.232812	0.129724	0.0398871	0.144009	0.207999	0.0229357	0.0854711	0.0776626	0.104494	0.133836	0.0815786	0.207108	0.00266564	0.998626	0.999649	1.00035	1.00137	4.496717
15540	-590.6896	-564.7583	-25.93134	735676.5	3.674422	0.534249	0.0693181	0.132039	0.0913271	0.209704	0.104705	0.0468866	0.0569295	0.411118	0.590065	0.178001	0.0183768	0.153347	0.0238871	0.318778	0.145902	0.0115163	0.0580206	0.637458	0.0465249	0.109202	0.0970934	0.137315	0.0715543	0.104692	0.653773	0.00382315	0.998518	0.999621	1.00038	1.00148	5.015604
15550	-588.8617	-562.6664	-26.19529	958150.9	4.56757	0.302069	0.121679	0.159133	0.0844822	0.145904	0.245824	0.0522107	0.0379545	0.415504	1.38006	0.082007	0.0226997	0.06283	0.0324121	0.211068	0.189224	0.0065829	0.0938505	0.240168	0.0703723	0.196792	0.22138	0.137315	0.0827634	0.0790244	0.662128	0.00428409	0.998702	0.999668	1.00033	1.0013	5.339727
15560	-590.8429	-566.0699	-24.77304	670487.4	6.630848	0.341334	0.095418	0.119529	0.124033	0.122247	0.119411	0.040778	0.0425521	0.390471	1.10379	0.161217	0.0480943	0.0652852	0.0937394	0.214931	0.301394	0.0090162	0.108493	0.205855	0.0340897	0.0432697	0.121297	0.180594	0.0470149	0.100293	0.678647	0.00647895	0.998448	0.999603	1.0004	1.00155	4.919274
15570	-592.9055	-568.2841	-24.62136	447708.2	6.778432	0.326485	0.113351	0.085675	0.0548798	0.342988	0.160055	0.0674442	0.0382265	0.313749	0.910683	0.194215	0.0459902	0.120748	0.0705586	0.46999	0.121069	0.0119216	0.307007	0.143178	0.0413691	0.011092	0.123752	0.164645	0.0645693	0.0552534	0.512804	0.00142104	0.998101	0.999514	1.00048	1.0019	4.873119
15580	-584.5659	-562.4494	-22.11653	715806.1	5.99908	0.266455	0.0799616	0.092541	0.072785	0.262436	0.0375539	0.0286865	0.0432772	0.314451	0.908862	0.234678	0.0565263	0.0312677	0.0857016	0.239648	0.155867	0.0320364	0.180706	0.115262	0.0348727	0.0134885	0.163994	0.112746	0.0734895	0.02167	0.904144	0.00182167	0.998498	0.999616	1.00038	1.0015	4.56493
15590	-587.9696	-567.0005	-20.96906	351586.7	6.323074	0.370966	0.102053	0.0876366	0.0956849	0.370665	0.0555089	0.0167232	0.0652559	0.225349	0.749747	0.279644	0.0397474	0.0359193	0.0565291	0.220258	0.0613219	0.0330016	0.160773	0.275824	0.066038	0.0174382	0.212716	0.141307	0.0936563	0.0449199	0.483707	0.0015167	0.997857	0.999452	1.00055	1.00214	4.363905
15600	-596.0171	-571.8408	-24.17627	347433.7	6.471251	0.683848	0.167901	0.0936452	0.104339	0.380041	0.00801019	0.00389317	0.0802525	0.225271	0.874913	0.135193	0.0974525	0.0591632	0.0124124	0.585124	0.079902	0.0284425	0.107176	0.298606	0.0307428	0.0231929	0.194639	0.098434	0.0738538	0.0897163	0.314507	0.000986324	0.997844	0.999448	1.00055	1.00216	4.851659
15610	-591.9559	-561.7767	-30.17912	631216.5	3.552502	0.535602	0.142845	0.165395	0.097812	0.331753	0.0124623	0.0128999	0.0205087	0.248932	1.68842	0.193457	0.0446111	0.056303	0.0264084	0.542107	0.140384	0.0580034	0.204005	0.182228	0.0212456	0.00405533	0.138223	0.0212716	0.13798	0.0410545	1.06366	0.00222371	0.998401	0.999591	1.00041	1.0016	6.133853
15620	-593.9616	-567.4734	-26.48819	344610.5	3.565749	0.453897	0.177019	0.0660132	0.193257	0.272132	0.0412935	0.0164674	0.0511095	0.285525	1.36687	0.144859	0.0873841	0.0835608	0.050417	0.257957	0.268972	0.0279897	0.13681	0.0693199	0.0148229	0.00618653	0.0371748	0.0555736	0.130806	0.067869	0.734955	0.00516413	0.997836	0.999446	1.00055	1.00217	5.103402
15630	-596.4968	-568.3698	-28.127	637645	3.279598	0.484641	0.0792043	0.146784	0.130436	0.297376	0.188365	0.0151918	0.0186253	0.43877	1.04897	0.0668527	0.137374	0.0448471	0.0347454	0.461518	0.0614647	0.0345188	0.202851	0.113799	0.0226796	0.031111	0.0622904	0.121888	0.123224	0.371723	0.600472	0.0374155	0.998409	0.999593	1.00041	1.00159	5.377136
15640	-588.1346	-562.3735	-25.76113	538365.6	5.968871	0.370293	0.0828823	0.139498	0.0950159	0.266267	0.103198	0.0171834	0.00894141	0.484267	1.14676	0.190524	0.120027	0.0620829	0.0332824	0.328981	0.0488703	0.0252448	0.0998744	0.128696	0.122388	0.045656	0.0883052	0.0872595	0.147656	0.33031	0.510861	0.0924896	0.998268	0.999557	1.00044	1.00173	5.176811
15650	-592.9735	-569.2242	-23.74934	105016.1	7.336276	0.255937	0.218984	0.0586726	0.0465902	0.20602	0.0560056	0.0112961	0.0211254	0.438674	0.687875	0.336034	0.0157169	0.0660953	0.0693654	0.417934	0.111372	0.0201359	0.029825	0.133321	0.199876	0.0844388	0.0284431	0.0477072	0.0853582	0.269032	0.709454	0.0342727	0.99608	0.998995	1.001	1.00393	4.659562
15660	-591.8418	-563.1572	-28.68453	51017.43	6.546783	0.246547	0.235717	0.17539	0.0463447	0.103212	0.0481688	0.00794197	0.0296792	0.630197	1.54582	0.139409	0.0174878	0.0313515	0.101401	0.549159	0.103485	0.0587296	0.0793987	0.116691	0.0989443	0.277769	0.0224825	0.0839061	0.0715215	0.175551	0.46586	0.0676876	0.994378	0.998557	1.00143	1.00563	5.529856
15670	-587.0062	-561.6652	-25.34102	148887	5.79487	0.744908	0.171083	0.109097	0.0454437	0.0221136	0.0692856	0.00681588	0.0546224	0.443266	1.07977	0.210011	0.0542322	0.0140086	0.0319173	0.250988	0.13757	0.116605	0.0819214	0.0202652	0.0785058	0.193296	0.0129107	0.0420701	0.0230091	0.254303	0.732686	0.127212	0.996708	0.999157	1.00084	1.0033	5.127918
15680	-596.9342	-568.4187	-28.51548	66795.87	7.034707	0.387439	0.20454	0.24269	0.022503	0.0977497	0.0731215	0.0427251	0.172136	0.368972	1.37879	0.205959	0.0944841	0.0164354	0.0307715	0.15151	0.0238481	0.163604	0.0850646	0.0287539	0.0889558	0.213681	0.0146044	0.064956	0.00997937	0.270549	0.848819	0.0816589	0.995086	0.99874	1.00125	1.00492	5.384298
15690	-588.0914	-561.2356	-26.8558	108297.5	4.811576	0.525081	0.1264	0.145042	0.0116122	0.118699	0.0522234	0.0317982	0.120953	0.322035	1.70992	0.191104	0.0759253	0.0403963	0.0167901	0.326023	0.0431288	0.160265	0.139541	0.0375311	0.0688102	0.0748313	0.0223191	0.0365976	0.0655254	0.289675	0.500711	0.235171	0.99614	0.999011	1.00098	1.00387	5.488109
15700	-595.6714	-569.7315	-25.93988	64073.93	5.348936	0.488907	0.180727	0.321179	0.0190611	0.170863	0.0263805	0.0151377	0.0787847	0.459152	1.15265	0.134023	0.100023	0.0461522	0.0591731	0.337232	0.012526	0.0486204	0.265964	0.0646386	0.0315897	0.0630878	0.0283158	0.0101756	0.158753	0.164178	0.685738	0.156829	0.994983	0.998713	1.00128	1.00503	5.279859
15710	-587.8647	-563.1835	-24.68128	21594.8	4.814819	0.538755	0.130906	0.215041	0.00920588	0.151598	0.00734873	0.0125868	0.12573	0.295084	1.20407	0.155326	0.0391364	0.0662835	0.0996817	0.480189	0.0141765	0.048521	0.228342	0.0826013	0.0762073	0.0167421	0.0202855	0.0104168	0.0938299	0.415299	0.37843	0.120631	0.991363	0.997777	1.0022	1.00866	5.036425
15720	-591.1866	-565.0837	-26.10294	16169.9	4.854357	0.229564	0.0747974	0.113356	0.00685269	0.172312	0.0026332	0.0109083	0.119394	0.146603	1.57124	0.205336	0.0374735	0.0129297	0.0453616	0.416877	0.079658	0.0515547	0.158557	0.0365674	0.062217	0.142806	0.0228957	0.0231104	0.508363	0.466805	0.338193	0.275757	0.990022	0.997429	1.00254	1.01001	5.332125
15730	-586.4621	-563.6242	-22.83786	43496.89	5.950117	0.385674	0.0568426	0.252154	0.0129543	0.261249	0.00121679	0.0409676	0.122266	0.0792591	1.03742	0.117697	0.0175028	0.02653	0.0330707	0.208466	0.023773	0.0453607	0.151589	0.0118798	0.0270273	0.195706	0.0773189	0.02214	0.45235	0.438585	0.539654	0.0495336	0.993912	0.998437	1.00155	1.0061	4.688182
15740	-588.2457	-562.0373	-26.20839	113347.9	4.442273	0.269864	0.0352429	0.160818	0.00446018	0.442193	0.00133767	0.0268026	0.169891	0.335347	1.47895	0.269115	0.00833533	0.0322674	0.0303837	0.18756	0.0345995	0.088839	0.111006	0.0150355	0.0282568	0.225935	0.0692586	0.0528408	0.100661	0.168941	0.878891	0.103034	0.996227	0.999033	1.00096	1.00378	5.329867
15750	-588.156	-566.539	-21.61692	84594.6	8.378525	0.403301	0.055036	0.0625566	0.00595934	0.293685	0.000989388	0.0207938	0.0445533	0.336503	0.963807	0.0705165	0.00903454	0.0167763	0.0171998	0.190558	0.116444	0.137404	0.0615852	0.0139666	0.021181	0.197775	0.139411	0.0914707	0.197897	0.0909505	0.603328	0.0659452	0.995633	0.99888	1.00111	1.00437	4.228628
15760	-587.2444	-558.6161	-28.6283	175631.2	3.387774	0.276974	0.105423	0.165421	0.0067752	0.251621	0.000788068	0.0446662	0.0716452	0.458272	1.72941	0.131064	0.0423415	0.010854	0.06166	0.276726	0.057785	0.104535	0.0408022	0.0151033	0.0200418	0.0985959	0.104444	0.0490053	0.466675	0.0527303	0.829724	0.132583	0.996969	0.999224	1.00077	1.00303	5.605662
15770	-587.775	-561.0453	-26.72974	632068	5.850138	0.459206	0.0840052	0.0927055	0.0154686	0.288028	0.00163172	0.0315513	0.0470504	0.713232	0.79169	0.252735	0.045759	0.00994223	0.108489	0.160754	0.0699692	0.0861674	0.0931763	0.00911114	0.022535	0.075497	0.248184	0.0392073	0.355416	0.0877102	1.06866	0.100895	0.998402	0.999591	1.00041	1.0016	5.358775
15780	-586.6721	-562.5774	-24.0947	402773.8	5.1596	0.293508	0.118145	0.0487653	0.0588577	0.2257	0.00128459	0.0284117	0.0882672	0.449025	0.772571	0.331002	0.00711409	0.0689303	0.028941	0.294947	0.0926866	0.140861	0.0647984	0.0169091	0.0334341	0.0915305	0.413913	0.0350292	0.433412	0.130695	0.587934	0.078067	0.997998	0.999488	1.00051	1.002	4.934738
15790	-589.0879	-558.1159	-30.97195	751874.1	4.829778	0.615672	0.0651584	0.0998783	0.122317	0.368295	0.00105146	0.0502943	0.0458925	0.369602	1.25271	0.266295	0.00498158	0.0624175	0.043065	0.413166	0.0914814	0.218881	0.0146744	0.0056435	0.0289567	0.0490138	0.927924	0.0170014	0.400096	0.101317	0.544088	0.160147	0.998534	0.999625	1.00037	1.00147	6.340024
15800	-591.2494	-560.0072	-31.2422	597343.9	6.651524	0.563995	0.114103	0.098173	0.0994753	0.248737	0.00071414	0.0357252	0.056029	0.489433	1.13101	0.276922	0.00338864	0.104747	0.0932313	0.222504	0.0848614	0.175558	0.0207272	0.00239269	0.0376194	0.0706168	1.05125	0.0883225	0.247557	0.109675	0.364314	0.0974953	0.998356	0.999579	1.00042	1.00165	5.888582
15810	-588.5139	-562.9674	-25.54654	854144.7	4.415916	0.452081	0.104614	0.0625935	0.0623598	0.218049	0.000793258	0.101995	0.095374	0.305418	1.01526	0.280853	0.0017368	0.0767615	0.0235582	0.166868	0.0893881	0.0677567	0.0301059	0.00186729	0.049976	0.0391076	0.48712	0.0473479	0.796611	0.115969	0.36238	0.120667	0.998625	0.999648	1.00035	1.00138	5.176609
15820	-592.2929	-565.1097	-27.18317	380407.5	5.599534	0.456529	0.0983616	0.104594	0.105172	0.132953	0.00126587	0.0423823	0.0725548	0.550171	1.12075	0.243402	0.00060277	0.0862477	0.0214605	0.405306	0.0192759	0.230307	0.024982	0.00583176	0.0332797	0.00842382	0.10716	0.00715457	0.441418	0.0634838	0.956485	0.137872	0.99794	0.999473	1.00053	1.00206	5.477423
15830	-596.143	-569.6055	-26.53755	987507	6.145559	0.545657	0.0317993	0.121913	0.0255526	0.097056	0.000475962	0.0948545	0.0850934	0.698073	1.3245	0.0926458	0.000330831	0.0276594	0.0205994	0.346278	0.0181314	0.253651	0.0547677	0.00392103	0.0174372	0.0208042	0.0884698	0.0148275	0.325549	0.0601564	0.776619	0.129908	0.998721	0.999673	1.00033	1.00128	5.276727
15840	-591.3064	-565.6933	-25.61318	407210.4	6.146659	0.265934	0.0201946	0.0939264	0.0278819	0.244205	0.00366555	0.079035	0.0877057	0.528578	1.08549	0.115578	0.00112924	0.0136186	0.0442944	0.366799	0.0435804	0.355508	0.0868326	0.00721344	0.0165154	0.00714141	0.113084	0.00497101	0.364343	0.0593235	1.0455	0.0441017	0.998009	0.999491	1.00051	1.00199	5.126149
15850	-586.0991	-561.6006	-24.4985	914779.2	4.667905	0.357156	0.0325586	0.117154	0.0143479	0.215593	0.00600009	0.028954	0.0763922	0.319704	1.26844	0.159946	0.00219072	0.0182094	0.0393132	0.326311	0.0847898	0.104581	0.10842	0.00902177	0.0655662	0.0219274	0.240254	0.033349	0.530868	0.14159	0.615872	0.0443269	0.998671	0.99966	1.00034	1.00133	4.982835
15860	-579.2954	-553.083	-26.21241	486722.5	5.326879	0.321562	0.0735591	0.147888	0.00799312	0.178226	0.00373087	0.0108636	0.0752358	0.408694	1.56128	0.196462	0.0015931	0.0174503	0.0487467	0.313897	0.0962099	0.109095	0.124411	0.0114022	0.102226	0.0831111	0.0357208	0.01478	0.423643	0.412074	0.455876	0.0970399	0.998179	0.999534	1.00046	1.00182	5.332767
15870	-588.6884	-564.6101	-24.07828	952151.3	5.51875	0.324869	0.130179	0.232224	0.00886181	0.257649	0.0127249	0.0853806	0.071547	0.469969	0.831993	0.147924	0.000744575	0.00828633	0.0901429	0.27014	0.129334	0.0848494	0.185982	0.114471	0.153327	0.125065	0.0282804	0.0116074	0.337892	0.117398	0.594194	0.101792	0.998698	0.999667	1.00033	1.0013	4.926827
15880	-587.2406	-563.1791	-24.06146	546041.7	4.871584	0.277682	0.063338	0.0870652	0.00351349	0.399284	0.0431111	0.0347454	0.062277	0.487742	1.00309	0.188652	0.000349626	0.00509508	0.0334496	0.151232	0.155714	0.0728724	0.125118	0.117055	0.175956	0.103171	0.0319408	0.0077641	0.378845	0.163158	0.681174	0.0597436	0.99828	0.99956	1.00044	1.00172	4.913138
