Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
140	-589.2447	-564.1911	-25.0536	110119.3	4.851862	0.523847	0.0811141	0.0962611	0.0385153	0.150908	0.0830717	0.105965	0.074072	0.339052	0.98472	0.191235	0.0291279	0.106733	0.0486291	0.373642	0.331313	0.745668	0.0996508	0.0543205	0.103714	0.0555789	0.115305	0.0697358	0.0811209	0.122441	0.0662479	0.0438431	0.996172	0.999019	1.00098	1.00383	5.115833
150	-594.448	-568.6384	-25.80965	157074.8	4.08883	0.557246	0.0431477	0.13979	0.0656831	0.214642	0.0511196	0.101805	0.0823716	0.269419	1.12154	0.264694	0.0133428	0.0578614	0.125315	0.346064	0.463465	0.202019	0.0418202	0.159584	0.133499	0.01451	0.0638277	0.266759	0.0389753	0.124314	0.0710786	0.129	0.996795	0.999179	1.00082	1.00321	5.162889
160	-586.506	-561.564	-24.942	524035.9	4.787822	0.621878	0.0362585	0.134812	0.0971213	0.219442	0.0788873	0.0472961	0.0334818	0.338339	1.44807	0.101944	0.00940942	0.114021	0.0379137	0.328959	0.461132	0.0841954	0.0996637	0.0562198	0.224027	0.00302629	0.0470739	0.118303	0.0181041	0.178726	0.0640054	0.0863896	0.998245	0.999551	1.00045	1.00176	5.088699
170	-587.9931	-562.3261	-25.66701	152558.9	5.304574	0.348906	0.0419609	0.161692	0.0647186	0.1246	0.0670319	0.0462135	0.0343883	0.130481	1.44291	0.126361	0.0557971	0.102442	0.039745	0.663588	0.694623	0.0579401	0.134785	0.0236358	0.220615	0.00335974	0.0633054	0.155387	0.018294	0.19905	0.0851478	0.124879	0.996748	0.999167	1.00083	1.00326	5.231857
180	-592.2015	-570.1242	-22.07728	623246.6	5.236086	0.285812	0.0466323	0.196434	0.039413	0.11356	0.139291	0.0873278	0.0279993	0.287906	0.79878	0.155041	0.0531884	0.0964822	0.0354524	0.376182	0.63137	0.271296	0.0821767	0.00984367	0.347856	0.00874983	0.0537981	0.0987827	0.033836	0.136942	0.0599361	0.076231	0.99839	0.999588	1.00041	1.00161	4.55032
190	-586.8581	-568.2558	-18.60222	908563.1	6.009866	0.38195	0.112122	0.0759103	0.0491177	0.123644	0.122243	0.0322438	0.0376629	0.241363	0.980214	0.22116	0.032317	0.16092	0.0443503	0.226074	0.45108	0.058349	0.119554	0.0193076	0.20426	0.0252231	0.0232531	0.0874421	0.019456	0.0522437	0.0313851	0.0468459	0.998667	0.999659	1.00034	1.00133	3.979692
200	-586.7053	-559.8954	-26.80992	380298.7	4.48395	0.420687	0.139078	0.0918446	0.0485805	0.251344	0.219699	0.0408981	0.0330182	0.217869	1.84989	0.140057	0.0164239	0.119447	0.0609043	0.221031	0.698994	0.0980512	0.0593342	0.029425	0.240569	0.0494149	0.0274257	0.198013	0.0182553	0.133199	0.0247679	0.0206307	0.99794	0.999473	1.00053	1.00206	5.468851
210	-595.2902	-567.441	-27.8492	358118.1	3.344305	0.479851	0.110665	0.245825	0.050351	0.178983	0.337316	0.0157224	0.0308519	0.452315	1.42082	0.228223	0.00354183	0.166055	0.0518789	0.123399	0.568306	0.033579	0.0426019	0.0406263	0.34662	0.0582871	0.00582535	0.14657	0.0129735	0.0250532	0.088739	0.0789256	0.997877	0.999457	1.00054	1.00212	5.343902
220	-591.7854	-561.4864	-30.29895	73872.79	3.013537	0.377675	0.198262	0.214243	0.117121	0.1697	0.190997	0.0279044	0.0359009	0.370663	1.84452	0.31078	0.00940201	0.0720931	0.0193303	0.370669	0.537961	0.0727335	0.105636	0.0542835	0.276639	0.0636809	0.00658506	0.130416	0.0129774	0.109608	0.0516801	0.0807616	0.995327	0.998802	1.00119	1.00468	5.832228
230	-588.3626	-567.8973	-20.46534	44196.29	5.434971	0.239172	0.182875	0.0579938	0.100406	0.197915	0.119585	0.0585959	0.0499837	0.249259	0.866072	0.196132	0.00590299	0.047884	0.0244366	0.128734	0.719502	0.107625	0.048727	0.151593	0.0963618	0.0312209	0.0097895	0.162631	0.0149444	0.164077	0.050026	0.183656	0.99396	0.998449	1.00154	1.00605	4.265102
