Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
100	-573.6882	-546.1775	-27.51071	741347.4	9.660099	0.0606708	0.257143	0.308988	0.0480229	0.00564013	0.249046	0.102741	0.0647862	0.0176807	0.106229	0.0283747	0.0399888	0.0501989	0.0720786	0.124422	0.121684	0.151939	0.116835	0.401073	0.071955	0.0432364	0.0282455	0.394675	0.00480249	0.0238523	0.00335838	0.0227097	0.0894119	0.0287421	0.0141231	0.050399	0.198007	0.333173	0.127779	0.0924571	0.068339	0.174008	0.0969486	0.117892	0.112569	0.164316	0.0252322	0.0109335	0.0663768	0.0694007	0.1682	0.164917	0.0821877	0.13165	0.192813	0.089422	0.121238	0.058333	0.0113435	0.11003	0.0463317	0.136482	0.008096	0.0168602	0.998524	0.999623	1.00038	1.00148	6.098389
110	-571.9705	-533.5848	-38.38573	949342.7	7.567017	0.030654	0.179339	0.286609	0.0262567	0.00508455	0.283184	0.164371	0.165707	0.00983868	0.346304	0.023584	0.0326733	0.0640727	0.127637	0.0780278	0.208589	0.266575	0.146292	0.466936	0.164269	0.149224	0.0373849	0.302847	0.00217045	0.036066	0.00890099	0.00621558	0.169912	0.0795539	0.0127124	0.131996	0.261567	0.865119	0.0570034	0.177409	0.106152	0.123524	0.0546107	0.158486	0.0822357	0.10601	0.0456135	0.0509141	0.168347	0.0776646	0.104785	0.0349809	0.117463	0.0856685	0.133502	0.0819547	0.0515867	0.0462418	0.0293968	0.145563	0.0263084	0.125324	0.0101726	0.033067	0.998696	0.999666	1.00033	1.0013	7.373656
120	-567.4811	-534.4549	-33.0262	490703.2	9.653652	0.0408314	0.0710627	0.316883	0.185476	0.00681979	0.267821	0.117663	0.170125	0.00798096	0.260209	0.0339706	0.0712058	0.0992922	0.0920098	0.0742348	0.155705	0.076506	0.0483818	0.610674	0.0706695	0.376762	0.0756785	0.138682	0.0042292	0.016668	0.0472337	0.00568444	0.261405	0.102272	0.0195098	0.0655211	0.24282	0.313223	0.114895	0.0520032	0.0508385	0.0671332	0.0573746	0.0992902	0.020934	0.30161	0.034341	0.0264513	0.170125	0.0593456	0.0679489	0.108137	0.161451	0.112172	0.12962	0.0829582	0.0570243	0.056006	0.0323245	0.0993861	0.046007	0.126165	0.0374499	0.0516497	0.998186	0.999536	1.00046	1.00182	6.669852
130	-573.0864	-536.4871	-36.59932	48158.8	7.370271	0.04088	0.0543637	0.169307	0.0745646	0.00746061	0.272948	0.0350676	0.158171	0.02174	0.0766519	0.0222014	0.0455347	0.156496	0.0882935	0.0983196	0.145579	0.0639676	0.213269	0.166729	0.051707	0.318963	0.0856961	0.236955	0.00762926	0.0360877	0.0715236	0.0241827	0.191421	0.0944451	0.046062	0.0526962	0.0880009	0.882292	0.172104	0.0890607	0.108097	0.197146	0.127647	0.0960495	0.0434851	0.243327	0.0367823	0.0397726	0.195369	0.0396696	0.188694	0.205383	0.133105	0.182157	0.172209	0.0642505	0.10899	0.106971	0.0407966	0.0434605	0.0284974	0.211828	0.0241276	0.124376	0.994214	0.998515	1.00147	1.0058	7.122561
140	-577.2625	-539.253	-38.00958	44625.18	7.315603	0.0760023	0.0556476	0.185222	0.0837617	0.010528	0.280792	0.0162364	0.26401	0.0187199	0.199853	0.0350573	0.0208629	0.16009	0.129795	0.0937428	0.260098	0.335715	0.36841	0.0493568	0.0554257	0.273257	0.102453	0.204532	0.0112961	0.113112	0.125194	0.0365874	0.0651735	0.209173	0.0700951	0.0965606	0.151595	0.464914	0.0877212	0.136603	0.14559	0.224241	0.103127	0.0396889	0.0948171	0.0823839	0.036197	0.0499927	0.223784	0.0454471	0.106102	0.116257	0.112164	0.049366	0.0572599	0.0633165	0.320208	0.178892	0.0101813	0.0739756	0.00557633	0.23314	0.0216565	0.069053	0.993989	0.998457	1.00153	1.00602	7.310011
150	-568.9787	-532.7277	-36.25096	199752.8	7.997011	0.0216757	0.0984926	0.210179	0.125076	0.0797018	0.268753	0.0260756	0.219805	0.0161061	0.404641	0.0349956	0.0176997	0.0485828	0.0554083	0.141941	0.307565	0.150832	0.345951	0.17702	0.147794	0.0560797	0.0559765	0.11408	0.00852049	0.0300503	0.134349	0.0337584	0.080902	0.231395	0.106426	0.0384678	0.0862165	0.235051	0.0775367	0.274764	0.0659743	0.455671	0.0262087	0.123253	0.0642807	0.145336	0.0217917	0.0557527	0.152612	0.0823301	0.0375962	0.083165	0.0940123	0.0743402	0.0257965	0.0382699	0.31984	0.272089	0.00731658	0.128376	0.010771	0.192683	0.00876687	0.159141	0.997157	0.999272	1.00072	1.00285	7.10724
160	-570.4274	-533.7391	-36.68827	844344.8	7.99673	0.0295785	0.0577213	0.417903	0.103183	0.0469872	0.52549	0.0150861	0.156603	0.0140449	0.119302	0.0352036	0.0118114	0.0268716	0.0449545	0.113312	0.0931701	0.131245	0.227661	0.318267	0.121489	0.102392	0.195756	0.12654	0.00322759	0.0222267	0.0410408	0.050962	0.34987	0.509035	0.136353	0.0786782	0.166417	0.0496541	0.066216	0.403831	0.0486987	0.585439	0.0649531	0.177179	0.127757	0.0488926	0.0333674	0.0866156	0.163732	0.0408901	0.0181242	0.0258447	0.0755981	0.0556318	0.00956827	0.0564123	0.190184	0.17966	0.0127651	0.0231142	0.0276372	0.0707248	0.0200555	0.106993	0.998617	0.999646	1.00035	1.00138	7.161924
170	-561.2285	-527.2504	-33.97811	798596	12.60043	0.0409877	0.0886945	0.167844	0.154477	0.0217387	0.388431	0.0703914	0.233167	0.0366453	0.136629	0.0294392	0.0163596	0.0547405	0.0253208	0.0634219	0.113415	0.136878	0.0513701	0.377204	0.183542	0.0683549	0.155099	0.142135	0.00658661	0.0366467	0.0281565	0.0498993	0.128412	0.229986	0.0220015	0.0322842	0.20597	0.301583	0.0654287	0.370771	0.150094	0.767242	0.0532781	0.0602722	0.17604	0.023213	0.0551216	0.0833911	0.0472054	0.035353	0.156741	0.0131872	0.0653214	0.0511459	0.0237484	0.029608	0.0125022	0.0939058	0.020379	0.0680308	0.0606425	0.0385809	0.0238369	0.0432997	0.998578	0.999636	1.00036	1.00142	6.386152
180	-576.1175	-541.5253	-34.59223	947168.3	8.158095	0.0505679	0.118923	0.181845	0.105954	0.0213712	0.186836	0.149706	0.213947	0.0561382	0.330383	0.0364745	0.0351546	0.0520988	0.0454801	0.0737405	0.00377457	0.100395	0.0329993	0.304072	0.292712	0.0464613	0.204047	0.171657	0.0292833	0.0218412	0.0249497	0.0307294	0.166665	0.442679	0.0430354	0.0303146	0.134307	0.0824736	0.0486097	0.232115	0.382026	0.88341	0.175152	0.0268224	0.0647488	0.0338509	0.0254142	0.175893	0.158654	0.0531453	0.144128	0.076618	0.0987671	0.0818745	0.0716461	0.00768523	0.00546493	0.0844165	0.0137807	0.0482163	0.0280993	0.0603369	0.0104051	0.0915639	0.998694	0.999666	1.00033	1.00131	6.903861
190	-562.3082	-531.6435	-30.66472	458612.9	9.714832	0.0336734	0.299198	0.170251	0.0529797	0.0626163	0.19959	0.0602633	0.22763	0.0561349	0.14654	0.0565509	0.0133365	0.0485726	0.0355886	0.0441132	0.0133209	0.157637	0.0345824	0.625565	0.0839733	0.0365814	0.185816	0.261996	0.0280047	0.0276692	0.0472298	0.0209685	0.0456093	0.235669	0.0944103	0.0317291	0.188794	0.0631427	0.0222295	0.230035	0.46584	0.365773	0.262473	0.00413715	0.0238271	0.0554039	0.0490213	0.114798	0.150187	0.178163	0.150187	0.0456763	0.0251971	0.0470145	0.0938257	0.00148447	0.0037145	0.0542104	0.0362949	0.030718	0.186665	0.0912309	0.0148614	0.0291706	0.998124	0.99952	1.00048	1.00188	6.421876
