Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
110	-142.3836	-123.9757	-18.40784	140404.9	7.781472	0.0910206	0.230304	0.0301415	0.15441	0.103277	0.173681	0.341022	0.204941	0.0422042	0.0360723	0.0033858	0.0463425	0.0988834	0.23799	0.0938025	0.0136449	0.083162	0.0627735	0.0740349	0.00799118	0.142258	0.127394	0.0982608	0.181551	0.107126	0.0836663	0.351936	0.000684545	0.483484	0.0734826	0.0440181	0.266213	0.0286215	0.0359138	0.154299	0.0199929	0.047654	0.99661	0.999132	1.00086	1.00339	4.375641
120	-134.4896	-121.2134	-13.27623	331884.9	12.16816	0.192121	0.101995	0.0235772	0.126529	0.0347381	0.20476	0.100266	0.143773	0.0263694	0.0488186	0.00364865	0.0542793	0.0813911	0.178201	0.140597	0.0209202	0.127273	0.121786	0.0934927	0.010116	0.097236	0.115684	0.0654392	0.392305	0.0327373	0.0694467	0.143224	0.000230299	0.20548	0.259468	0.0412682	0.141009	0.0854403	0.0220554	0.108026	0.0303639	0.0197438	0.997794	0.999436	1.00056	1.00221	3.66381
130	-142.5668	-123.2744	-19.29239	414459.1	8.817964	0.141753	0.0743487	0.0148262	0.151123	0.110621	0.435834	0.0528111	0.105678	0.0599572	0.0975476	0.0121387	0.0756473	0.158334	0.30076	0.120769	0.0209243	0.116284	0.105843	0.0340014	0.017567	0.164689	0.369346	0.0283682	0.162173	0.199073	0.0466991	0.192546	0.000130371	0.0680104	0.536601	0.10121	0.177481	0.0280462	0.0284091	0.0583495	0.0246502	0.0702542	0.998026	0.999495	1.0005	1.00198	4.462806
140	-147.6915	-130.6347	-17.05681	730934.9	9.580666	0.138955	0.108329	0.050155	0.0887919	0.13532	0.279014	0.0530492	0.143411	0.045108	0.103201	0.0242984	0.261843	0.162316	0.27822	0.100356	0.0513042	0.0809107	0.0557661	0.0725861	0.0799272	0.0836885	0.163642	0.0203363	0.0676991	0.44634	0.0864013	0.0551314	0.000251972	0.0217089	0.461987	0.132603	0.104728	0.0229627	0.0127245	0.0972565	0.0425442	0.0457664	0.998514	0.99962	1.00038	1.00149	4.178636
150	-138.7332	-116.9804	-21.75283	347870.6	8.553592	0.0714315	0.172943	0.0327145	0.108495	0.0664089	0.112602	0.0927546	0.165345	0.138658	0.110433	0.016506	0.716281	0.173925	0.0830024	0.103048	0.0503945	0.0184837	0.0408084	0.120833	0.103552	0.36332	0.235557	0.0114489	0.0748052	0.4208	0.0974117	0.0884178	0.000416082	0.104568	0.141482	0.212805	0.272811	0.037667	0.00811358	0.0716704	0.0226651	0.100322	0.997846	0.999449	1.00055	1.00216	4.762901
160	-140.9048	-118.4738	-22.43097	439244.4	7.596352	0.0495217	0.0944876	0.0524203	0.0877514	0.0223146	0.140623	0.0330142	0.172436	0.448721	0.139085	0.00950066	0.431766	0.0650898	0.132419	0.0939954	0.112465	0.0488085	0.0390851	0.133828	0.200518	0.233805	0.423343	0.00981559	0.0595723	0.36627	0.0442135	0.14267	0.000660175	0.0476222	0.0715925	0.228311	0.421984	0.0229587	0.0181429	0.100702	0.0433797	0.156593	0.998083	0.999509	1.00049	1.00192	4.899486
170	-143.2094	-120.0162	-23.19317	964084.7	8.385518	0.112931	0.0690334	0.0386598	0.155837	0.0240815	0.307518	0.0554383	0.254586	0.551801	0.147377	0.00567688	0.227889	0.0295958	0.126076	0.0430919	0.031642	0.0923393	0.0554471	0.0701801	0.342032	0.0350677	0.216422	0.00325627	0.0890215	0.590498	0.0638391	0.387891	0.00321043	0.00734525	0.056982	0.322429	0.26208	0.0103539	0.0347209	0.0633629	0.016758	0.0421052	0.998706	0.999669	1.00033	1.00129	4.946575
180	-119.8303	-112.9763	-6.854019	305636.2	10.45789	0.0225332	0.124458	0.0147493	0.0671279	0.0308271	0.114075	0.0198583	0.180932	0.330229	0.0953669	0.0052506	0.0912863	0.006474	0.0555955	0.0983429	0.0103413	0.0314768	0.0158919	0.0667644	0.138949	0.0725593	0.0586376	0.00826847	0.159312	0.548883	0.0271462	0.0745347	0.00418711	0.00807869	0.182688	0.24749	0.0606528	0.0100454	0.0400464	0.0653202	0.00882411	0.0485017	0.997702	0.999412	1.00059	1.0023	3.145705
190	-122.9515	-114.4672	-8.484335	748462.6	8.499778	0.043468	0.0470238	0.0803737	0.135123	0.0596514	0.117274	0.0653576	0.0502263	0.0880697	0.0149315	0.00271321	0.401315	0.0029276	0.0235578	0.0908739	0.0447093	0.0203815	0.00319967	0.128308	0.107962	0.113946	0.0317367	0.013081	0.130473	0.679639	0.00735659	0.0993012	0.00271867	0.0043493	0.171595	0.172179	0.0963043	0.0235623	0.0309472	0.0256077	0.0111458	0.0644193	0.998531	0.999624	1.00037	1.00147	3.205809
200	-139.5279	-123.4916	-16.03627	457175.8	8.040447	0.143932	0.0675603	0.0349794	0.0565089	0.0899507	0.246562	0.0165253	0.242369	0.128988	0.0384599	0.00526176	0.361699	0.00874504	0.0274191	0.0717358	0.060818	0.00894803	0.00169654	0.270465	0.0558289	0.148033	0.135298	0.0356953	0.512845	0.480239	0.00694581	0.0520205	0.00325714	0.00577444	0.190554	0.113244	0.0981096	0.0646878	0.029045	0.0231091	0.0188764	0.227776	0.998121	0.999519	1.00048	1.00188	4.083966
