Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
23090	-124.7037	-115.6099	-9.093886	860587.8	11.32343	0.034023	0.0367291	0.0363633	0.177839	0.0298066	0.162931	0.0382428	0.0737052	0.124993	0.0106596	0.0730193	0.260519	0.105437	0.0727396	0.0472452	0.0197609	0.0267412	0.0484455	0.0120445	0.084019	0.00662714	0.0685249	0.0677069	0.0305178	0.243129	0.0228517	0.0447075	0.477206	0.0947918	0.159622	0.0286653	0.040442	0.0216796	0.130588	0.105396	0.0253579	0.304524	0.99863	0.99965	1.00035	1.00137	3.347602
23100	-121.8888	-113.5259	-8.362972	337852.7	10.08258	0.0656691	0.0196726	0.0303948	0.0530303	0.0323969	0.285494	0.0199856	0.0631671	0.0171871	0.00698876	0.142229	0.160263	0.15232	0.104739	0.0797938	0.0109986	0.069397	0.0242536	0.0219715	0.186464	0.00388371	0.0338469	0.0593972	0.0334893	0.186389	0.0290535	0.0083619	0.288547	0.188251	0.226884	0.0161612	0.0316941	0.102144	0.153975	0.298841	0.0485762	0.0298763	0.997814	0.999441	1.00056	1.00219	3.285786
23110	-127.3922	-119.3328	-8.059438	447335.1	9.597831	0.0743885	0.0506525	0.0364709	0.150145	0.0286957	0.291201	0.0299511	0.0601838	0.0126942	0.0103599	0.120049	0.227643	0.0852039	0.130706	0.0622721	0.0173849	0.0588579	0.0175788	0.0364354	0.21429	0.0190249	0.0919332	0.0778091	0.149793	0.186209	0.08141	0.0127603	0.233962	0.0726258	0.0833816	0.0182259	0.018397	0.112492	0.105227	0.189262	0.0344702	0.0381209	0.9981	0.999514	1.00048	1.0019	3.240268
23120	-126.8793	-111.0459	-15.83342	749603	11.13514	0.0237834	0.0280514	0.03751	0.120419	0.0529459	0.0648939	0.0585949	0.0251016	0.0189479	0.0102211	0.117847	0.0611639	0.476506	0.0711871	0.0278517	0.0226775	0.0655112	0.00569523	0.0570623	0.0354841	0.0377705	0.0469911	0.0417202	0.408395	0.48824	0.141411	0.0483981	0.483868	0.049936	0.176097	0.0523033	0.148766	0.195008	0.121932	0.0773683	0.0201386	0.0373233	0.998532	0.999625	1.00037	1.00147	3.957122
23130	-125.5334	-110.469	-15.06442	595387.1	6.702153	0.00682698	0.0188647	0.0513636	0.199429	0.0549934	0.0320066	0.0195814	0.0100918	0.0154037	0.00661525	0.130521	0.292086	0.210709	0.206595	0.0356153	0.0245503	0.0459315	0.0134133	0.0827579	0.0566595	0.0257505	0.0138735	0.0382514	0.133268	0.472906	0.0342523	0.0897221	0.304689	0.0572782	0.14282	0.0419581	0.224312	0.268164	0.147064	0.165357	0.0428985	0.0727484	0.998353	0.999579	1.00042	1.00165	3.789328
23140	-123.3292	-111.1272	-12.20205	572317.5	9.649947	0.0100143	0.0156428	0.0157421	0.0721215	0.102978	0.0398106	0.0294281	0.00986299	0.0215292	0.0159865	0.2356	0.187041	0.169759	0.190323	0.0549601	0.00711961	0.0987356	0.0138311	0.0552295	0.0698293	0.0908391	0.0326194	0.113711	0.048114	0.180762	0.115621	0.148079	0.355242	0.149556	0.211188	0.0609236	0.126445	0.156782	0.24904	0.118725	0.0141766	0.0843718	0.99832	0.99957	1.00043	1.00168	3.671741
23150	-127.674	-113.6345	-14.03952	307743.5	9.054616	0.0146147	0.0162283	0.0121771	0.0899607	0.0988173	0.101495	0.0366069	0.0248001	0.0276743	0.0167691	0.198812	0.160867	0.22526	0.0885608	0.103054	0.00282157	0.0196199	0.00719405	0.0455321	0.0759389	0.163819	0.0493178	0.235553	0.125144	0.0654211	0.0728	0.0798851	0.389997	0.167112	0.118558	0.0836143	0.0903006	0.234378	0.304446	0.202715	0.0165926	0.10257	0.99771	0.999414	1.00058	1.00229	3.869028
23160	-134.1167	-109.5764	-24.54036	486823.5	4.796763	0.0266007	0.023747	0.00901976	0.259107	0.0836603	0.107554	0.161278	0.0215653	0.0862331	0.00727812	0.0564885	0.248018	0.301957	0.0836649	0.0445514	0.00166937	0.0521477	0.012314	0.0579366	0.0854201	0.121587	0.0771087	0.449102	0.148925	0.230967	0.0787671	0.115636	0.422887	0.133899	0.0285494	0.0547536	0.184428	0.162167	0.35217	0.349562	0.0993096	0.0293603	0.998179	0.999534	1.00046	1.00182	4.769391
23170	-128.3014	-113.0419	-15.25951	330490.9	8.792901	0.0115196	0.0465448	0.0154095	0.191444	0.0506448	0.0445385	0.262717	0.031624	0.0889931	0.0121561	0.0552833	0.174546	0.255348	0.0622763	0.0130329	0.00184607	0.0345393	0.00514535	0.110763	0.0453166	0.088078	0.180923	0.217221	0.0885386	0.107702	0.0498795	0.159508	0.145063	0.0253832	0.0970082	0.0499349	0.170203	0.192269	0.187326	0.557606	0.137748	0.0373884	0.99779	0.999434	1.00056	1.00221	4.005468
23180	-139.3067	-114.9881	-24.31857	405027.4	9.40935	0.014114	0.148651	0.0326163	0.248399	0.0352791	0.148121	0.1278	0.0497879	0.104582	0.00507718	0.0706737	0.128214	0.1396	0.1027	0.0939345	0.00769778	0.201401	0.00777979	0.0631861	0.0572461	0.0600069	0.194395	0.208204	0.147724	0.146233	0.0919405	0.141354	0.0764609	0.0121091	0.404404	0.0582842	0.201746	0.248338	0.212595	0.900137	0.0304871	0.0378874	0.998003	0.999489	1.00051	1.002	4.959168
23190	-139.4753	-117.0981	-22.37716	471689.9	6.334065	0.0110024	0.041785	0.0259639	0.156316	0.135781	0.264921	0.0488345	0.0910305	0.0900889	0.00254412	0.190752	0.117834	0.0909032	0.151534	0.268189	0.0260131	0.0848748	0.0109497	0.0297379	0.142884	0.0705937	0.369789	0.243001	0.0405563	0.163598	0.0202485	0.130379	0.0923424	0.0118573	0.215188	0.115923	0.170185	0.390412	0.295145	0.507488	0.0115193	0.0155399	0.99815	0.999527	1.00047	1.00185	4.845705
23200	-136.5999	-114.9983	-21.60159	223440.4	7.033588	0.00786215	0.12313	0.00889244	0.106447	0.131219	0.130839	0.0739636	0.176932	0.0748786	0.000476299	0.0770308	0.113274	0.0504844	0.191799	0.13605	0.0405252	0.0971133	0.00749091	0.0301409	0.176453	0.108173	0.759192	0.15008	0.0101539	0.177857	0.0217726	0.255864	0.065145	0.0122094	0.126702	0.109182	0.0927298	0.2993	0.294525	0.532913	0.00674326	0.00713654	0.997312	0.999312	1.00069	1.00269	4.784678
23210	-150.1102	-123.1481	-26.96207	166242.1	4.970507	0.00843092	0.31558	0.0450087	0.0626989	0.363461	0.227288	0.147351	0.141886	0.0767192	0.00047365	0.0583	0.202457	0.0384416	0.16998	0.131499	0.0245069	0.268257	0.0561866	0.0216855	0.152169	0.100144	0.594206	0.0974631	0.0128064	0.0834185	0.0194906	0.167171	0.0978088	0.00933532	0.213857	0.0326801	0.0548822	0.418959	0.383411	0.538524	0.00901044	0.00221232	0.996884	0.999202	1.00079	1.00312	5.347759
23220	-149.9428	-122.965	-26.97777	367611.5	6.91515	0.00672457	0.157456	0.045116	0.0526507	0.406379	0.0745385	0.126215	0.113537	0.0726244	0.00153701	0.03178	0.159471	0.0564811	0.156274	0.0831843	0.0325636	0.362573	0.0973878	0.0231776	0.307863	0.256909	0.503328	0.291196	0.00509409	0.152798	0.0817594	0.363326	0.0900361	0.00362564	0.481923	0.051834	0.141696	0.213388	0.251486	0.287152	0.0130055	0.000545726	0.997904	0.999464	1.00053	1.0021	5.556638
23230	-147.0409	-120.9543	-26.08658	175143.4	6.914119	0.00815037	0.196814	0.0272998	0.0253711	0.391676	0.217823	0.104114	0.0411	0.115371	0.00645307	0.0229564	0.076095	0.0806876	0.136493	0.0476767	0.0256269	0.188768	0.0905099	0.0301176	0.308439	0.0601433	0.37471	0.184894	0.00906031	0.214753	0.061533	0.619082	0.0192955	0.00326847	0.289713	0.148623	0.15335	0.30189	0.0968877	0.727238	0.0176607	0.00416014	0.996964	0.999223	1.00077	1.00304	5.427803
23240	-139.0167	-115.7663	-23.25042	289208.1	7.02668	0.00667397	0.0881352	0.089169	0.0516022	0.0526909	0.31376	0.0984123	0.00881145	0.182812	0.00459868	0.0275948	0.0137761	0.0378331	0.233854	0.104038	0.0180816	0.196794	0.022671	0.0316594	0.505578	0.0330855	0.334834	0.178654	0.0152764	0.147775	0.201995	0.327482	0.0306939	0.00155562	0.33982	0.105222	0.111579	0.285425	0.106041	0.663784	0.0334935	0.0137984	0.997637	0.999395	1.0006	1.00236	5.019059
23250	-133.5403	-116.649	-16.89131	830980.8	7.946287	0.00149331	0.145669	0.0741963	0.0196374	0.0239013	0.419311	0.174308	0.0198254	0.0942969	0.00291131	0.0894878	0.00998021	0.0368088	0.224439	0.0432021	0.007863	0.119202	0.0155467	0.0550231	0.175813	0.0361758	0.250051	0.217815	0.00805978	0.0495473	0.0702289	0.604433	0.0373243	0.00266905	0.197038	0.085842	0.363875	0.0808999	0.0911818	0.311309	0.0184897	0.00962594	0.998606	0.999644	1.00036	1.00139	4.187481
23260	-132.4872	-110.6092	-21.87796	686260.6	8.138358	0.000878839	0.0681849	0.024161	0.0172175	0.0420539	0.0593991	0.187088	0.0136533	0.132494	0.00280547	0.285781	0.0173992	0.0103344	0.214013	0.0225279	0.0066413	0.0460133	0.0264603	0.0411573	0.351936	0.0629346	0.69179	0.258059	0.0191598	0.02776	0.0541393	0.362196	0.0495509	0.0046183	0.688608	0.0579316	0.249247	0.114915	0.0661276	0.442055	0.0166193	0.0693415	0.998466	0.999608	1.00039	1.00153	4.805252
23270	-120.2529	-104.7587	-15.49423	771945.7	8.059681	0.000657067	0.155688	0.0164335	0.0190861	0.0207792	0.0990911	0.0626215	0.0248166	0.0486022	0.00307152	0.0468162	0.0272602	0.0150453	0.293187	0.0335295	0.0104228	0.0178937	0.0388367	0.033353	0.112505	0.0226477	0.568317	0.197177	0.00682449	0.0202692	0.124509	0.398287	0.0210988	0.00246821	0.291344	0.103543	0.140534	0.197237	0.0523871	0.507079	0.0349777	0.249061	0.998554	0.99963	1.00037	1.00145	4.017458
23280	-124.2407	-112.8886	-11.35207	858379.5	11.93439	0.00037933	0.0527534	0.0032448	0.0130241	0.0315543	0.0342262	0.0820383	0.0220532	0.205124	0.00293526	0.0599545	0.125363	0.0190071	0.181054	0.0463619	0.0151516	0.0563013	0.0443902	0.00784924	0.118902	0.0174172	0.380706	0.0822324	0.0102183	0.0504169	0.152316	0.444196	0.00966613	0.00151093	0.118961	0.120188	0.204428	0.141375	0.176642	0.335419	0.00991462	0.140851	0.998628	0.999649	1.00035	1.00137	3.518126
23290	-130.5479	-119.7087	-10.83913	440942.4	13.18578	5.84569e-05	0.0873192	0.00110044	0.0119323	0.0148643	0.101007	0.122022	0.0430398	0.131233	0.00477567	0.048592	0.334767	0.0224925	0.130301	0.0269901	0.0244138	0.0613206	0.0292704	0.0130981	0.0484926	0.0415282	0.29118	0.0853106	0.0086133	0.110801	0.164238	0.319251	0.0133945	0.00334747	0.223033	0.226447	0.131662	0.269149	0.0798294	0.131399	0.00736505	0.0425272	0.998086	0.99951	1.00049	1.00191	3.406163
23300	-115.4676	-107.8145	-7.653049	969661.4	13.50849	9.90427e-05	0.122003	0.00160584	0.00441989	0.0128537	0.0407039	0.0566446	0.0784592	0.233272	0.0106326	0.101839	0.298002	0.0193687	0.0393646	0.0218752	0.0084704	0.0189178	0.0384042	0.0162474	0.0630857	0.0424564	0.253392	0.179366	0.0213462	0.131861	0.133851	0.120257	0.00210989	0.006009	0.227085	0.240139	0.100274	0.0886384	0.0733353	0.299361	0.0310765	0.0135589	0.998709	0.99967	1.00033	1.00129	3.150384
23310	-122.9984	-110.8661	-12.13228	159420.8	9.750416	9.57927e-05	0.070874	0.00225706	0.0102451	0.00687414	0.0644885	0.0825571	0.0222731	0.0863693	0.030745	0.161714	0.335495	0.0307683	0.143733	0.00713036	0.0414779	0.0188403	0.121396	0.0161695	0.0415805	0.0694964	0.320069	0.248504	0.0159134	0.0609234	0.133541	0.0490348	0.00250613	0.0143787	0.124246	0.443455	0.137598	0.162104	0.0522194	0.283553	0.223359	0.0280102	0.996818	0.999185	1.00081	1.00319	3.663994
23320	-122.9058	-115.1635	-7.742258	792404.2	8.923256	4.70359e-05	0.0238996	0.00564688	0.0214338	0.00329802	0.110115	0.188898	0.0427276	0.0156642	0.0421394	0.291715	0.10512	0.0493529	0.0391032	0.00445093	0.0416714	0.00339283	0.109494	0.020699	0.0523954	0.0261621	0.300899	0.283773	0.00814581	0.0802494	0.103591	0.0531819	0.00381283	0.0192808	0.0444598	0.229156	0.0825359	0.0858964	0.0216205	0.256514	0.361508	0.0305697	0.998572	0.999635	1.00036	1.00143	3.162619
23330	-117.6369	-110.9982	-6.638692	721538.3	10.81943	5.99223e-05	0.0617719	0.0158669	0.043624	0.0160606	0.0756438	0.0785604	0.0277051	0.0120678	0.105501	0.0836513	0.133576	0.0638022	0.0706094	0.00347659	0.025244	0.00623925	0.0448206	0.0207783	0.0916598	0.0351836	0.221789	0.316745	0.0666433	0.15788	0.145655	0.0426468	0.00328545	0.0267764	0.0486297	0.233202	0.0765522	0.182667	0.0258899	0.339589	0.178406	0.047972	0.998504	0.999617	1.00038	1.0015	3.130231
23340	-124.6709	-118.8715	-5.799407	704308.7	11.61407	0.000273136	0.0437457	0.0335737	0.338486	0.00378199	0.0811506	0.143728	0.0132409	0.00876292	0.106095	0.0580001	0.0630574	0.0371123	0.0462862	0.0068829	0.0403721	0.0108172	0.0431636	0.0298093	0.115279	0.0144005	0.143864	0.173259	0.155104	0.188626	0.0581208	0.0732593	0.00350703	0.109409	0.0890468	0.161092	0.0579165	0.118121	0.0635364	0.231309	0.160189	0.0315216	0.998486	0.999613	1.00039	1.00152	3.0559
23350	-134.0982	-119.5238	-14.57443	804399.5	9.594744	0.000699496	0.211727	0.0763792	0.370094	0.00650855	0.0826098	0.113613	0.0150293	0.00583049	0.109721	0.0259821	0.0334832	0.0880282	0.123586	0.0114123	0.0188655	0.0307378	0.0693759	0.0270598	0.29646	0.00406693	0.106089	0.39732	0.0488448	0.0831188	0.103636	0.117174	0.0182006	0.111349	0.160949	0.421249	0.0499532	0.0877645	0.0258442	0.334552	0.112954	0.0188839	0.998583	0.999638	1.00036	1.00142	3.919151
23360	-131.4209	-118.9992	-12.42169	500447.6	11.26741	0.00195357	0.0410673	0.183909	0.297491	0.0399472	0.0202924	0.0340896	0.0214217	0.00835213	0.104181	0.0503614	0.0187938	0.0621833	0.346413	0.00904874	0.0503994	0.0194616	0.0839951	0.180982	0.169951	0.00990862	0.0384937	0.183585	0.137392	0.0228872	0.109818	0.0273915	0.0363284	0.0838462	0.177433	0.390394	0.0161077	0.086539	0.0284951	0.387894	0.127634	0.0358606	0.998204	0.99954	1.00046	1.0018	3.644302
23370	-127.4327	-111.2523	-16.18039	750133.1	8.615268	0.00451074	0.0489566	0.107076	0.123148	0.0116746	0.0527268	0.132355	0.0122306	0.0177947	0.0751844	0.0612893	0.0503094	0.0229572	0.290254	0.00912548	0.0941732	0.0168812	0.083059	0.0724149	0.0942648	0.0172054	0.0350192	0.272018	0.265105	0.0577869	0.189025	0.084475	0.0220767	0.0521385	0.271182	0.958091	0.0131623	0.018802	0.0228625	0.329925	0.032852	0.089306	0.998533	0.999625	1.00037	1.00147	4.111418
23380	-130.9046	-117.457	-13.44769	719902.4	9.348105	0.0196779	0.0317076	0.135185	0.125069	0.0504362	0.0292007	0.129115	0.00662856	0.0571723	0.123162	0.0409374	0.0260144	0.0503814	0.0583207	0.0153976	0.142193	0.0506955	0.0276596	0.0616942	0.0908021	0.0329913	0.0491048	0.197718	0.247252	0.127755	0.197848	0.0238928	0.0945669	0.0168442	0.273068	0.731683	0.0125575	0.0706946	0.0229768	0.332955	0.0157092	0.0851585	0.998502	0.999617	1.00038	1.0015	3.804225
23390	-116.2209	-114.1068	-2.114122	732202.3	12.74289	0.00995497	0.0280067	0.0851313	0.0439941	0.028036	0.0626794	0.052704	0.00890601	0.0277153	0.0625767	0.0313413	0.0200058	0.125667	0.0595387	0.0111856	0.0729028	0.0241916	0.0551743	0.0513882	0.266962	0.0119322	0.0405858	0.137088	0.12844	0.0461533	0.206036	0.0333677	0.0251469	0.0311531	0.107088	0.304482	0.0151818	0.189155	0.0966265	0.17968	0.00921558	0.0582059	0.998515	0.99962	1.00038	1.00149	2.7476
23400	-125.2931	-120.1427	-5.150473	863213.2	12.68137	0.00690003	0.128368	0.0243358	0.0564885	0.0420267	0.228666	0.0599453	0.0157254	0.0386677	0.0811922	0.0289533	0.0177926	0.0188239	0.0398556	0.0547383	0.0841805	0.0946118	0.0567263	0.0833463	0.0938899	0.0165096	0.0581677	0.28798	0.073501	0.0215022	0.316085	0.100168	0.00902344	0.00717131	0.129528	0.449895	0.00623556	0.127093	0.0195015	0.0683589	0.00705475	0.0342041	0.998632	0.99965	1.00035	1.00137	2.987213
23410	-118.4111	-115.447	-2.964183	565589.5	10.58503	0.00692441	0.0728384	0.0712924	0.0871963	0.026642	0.202602	0.0269456	0.0146797	0.183981	0.0360568	0.0496962	0.0209505	0.0108585	0.0515483	0.0223159	0.0504375	0.0348043	0.0338352	0.18568	0.217303	0.0220509	0.0735573	0.280596	0.0525827	0.0126888	0.219158	0.0293332	0.0119073	0.00899124	0.152054	0.186403	0.00903989	0.153283	0.0136697	0.0438105	0.0085176	0.0960432	0.99831	0.999568	1.00043	1.00169	2.780274
23420	-117.3621	-108.9966	-8.365493	940998.4	10.67968	0.00796616	0.13151	0.0720769	0.0602037	0.0411455	0.0929394	0.0291834	0.00266993	0.0383211	0.0585833	0.162373	0.0400936	0.0138391	0.0976082	0.0561632	0.0141991	0.0114435	0.0678146	0.0933932	0.114789	0.0822528	0.0781758	0.160042	0.0327648	0.00664468	0.221069	0.0485346	0.073849	0.00816586	0.0422354	0.371485	0.00575564	0.461167	0.0115086	0.321175	0.00356014	0.155758	0.99869	0.999665	1.00033	1.00131	3.290458
23430	-126.3063	-114.8846	-11.42171	853195.2	11.05467	0.0174596	0.168534	0.0295723	0.0885529	0.0798945	0.102389	0.041899	0.00476054	0.0644373	0.0593452	0.238307	0.0694273	0.03202	0.0667314	0.013517	0.0236318	0.00965218	0.0913087	0.0937645	0.20971	0.0718806	0.0631451	0.060219	0.0220525	0.00246212	0.143488	0.0326268	0.0601224	0.00871856	0.0474853	0.956006	0.00846871	0.262527	0.0373431	0.221946	0.0251086	0.0355107	0.998624	0.999648	1.00035	1.00138	3.564026
23440	-119.1896	-112.7909	-6.398688	678589.3	8.125426	0.0937403	0.140675	0.0433904	0.0580336	0.104217	0.110957	0.0186424	0.00580552	0.0530498	0.101882	0.170347	0.15483	0.0215292	0.0912903	0.0354497	0.0254817	0.00363001	0.0658665	0.172103	0.0528163	0.0967811	0.051091	0.0244992	0.0216763	0.00273222	0.139285	0.0654286	0.0258477	0.0161777	0.10242	0.309547	0.0269709	0.23948	0.0222956	0.185499	0.0136176	0.0338493	0.998457	0.999605	1.00039	1.00154	2.900935
23450	-128.39	-118.7261	-9.663894	440681.2	6.934382	0.0348632	0.0919778	0.0584038	0.0573809	0.0247259	0.106808	0.0131853	0.0210871	0.0491536	0.0818819	0.168735	0.160668	0.0606657	0.0621987	0.246834	0.0204305	0.00348811	0.187295	0.111968	0.1598	0.0334669	0.0358106	0.0130432	0.0338501	0.00626368	0.202005	0.115978	0.00877852	0.0262868	0.107312	0.278006	0.0751576	0.157775	0.0269546	0.113141	0.0178054	0.0854908	0.998086	0.99951	1.00049	1.00192	3.058675
23460	-122.7662	-113.075	-9.691219	828857.6	13.40039	0.0458514	0.0451926	0.0131241	0.0385908	0.0113688	0.0183371	0.00291874	0.0516109	0.0579461	0.178685	0.267315	0.0774076	0.037791	0.1151	0.0570488	0.0203503	0.00178657	0.0782237	0.0474438	0.102172	0.0478893	0.0585318	0.0257688	0.0422934	0.0100478	0.199763	0.0549068	0.0167282	0.0379633	0.171147	0.69955	0.11958	0.321173	0.0833923	0.0724295	0.00914471	0.0687501	0.998604	0.999643	1.00036	1.0014	3.307325
23470	-121.2889	-117.3022	-3.98676	624055.1	12.7204	0.103221	0.0097572	0.0142194	0.0173166	0.0139599	0.0145894	0.00168732	0.0427	0.0224895	0.187492	0.126558	0.0669825	0.0520859	0.017517	0.0494206	0.0168869	0.00295543	0.0566893	0.0781982	0.0614059	0.0249427	0.072179	0.0521303	0.0372293	0.00368612	0.202422	0.031954	0.127654	0.018042	0.0849063	0.407734	0.0751471	0.587755	0.0924625	0.047033	0.0335139	0.0399647	0.998391	0.999589	1.00041	1.00161	2.894888
23480	-121.4892	-117.3445	-4.144645	886896.3	8.716475	0.020223	0.0227223	0.0274468	0.0275791	0.167562	0.0254178	0.00136947	0.0662497	0.0672959	0.114402	0.19058	0.190627	0.0698578	0.0276127	0.0399872	0.0201634	0.00311462	0.0223439	0.0625222	0.0404281	0.0199806	0.134336	0.0115598	0.0171733	0.00192435	0.0722372	0.0387433	0.0943493	0.0353619	0.0808983	0.160927	0.100953	0.441356	0.0792554	0.0850471	0.0457107	0.102811	0.998651	0.999655	1.00034	1.00135	2.730129
23490	-125.4205	-116.2827	-9.137816	465415.2	9.636683	0.00782889	0.0239204	0.0317075	0.0303111	0.238121	0.116848	0.0010796	0.0570539	0.320183	0.0853962	0.144025	0.0488514	0.107	0.0101746	0.010275	0.0150204	0.00159972	0.0668447	0.0144728	0.0961619	0.0300263	0.0278376	0.0412486	0.018631	0.00318815	0.0880805	0.0965542	0.140589	0.025186	0.0317875	0.158357	0.129382	0.700451	0.0810729	0.1707	0.0303252	0.153519	0.998137	0.999523	1.00048	1.00186	3.353812
23500	-127.5959	-117.6559	-9.940028	901949.4	12.65665	0.00420182	0.048989	0.0270667	0.0363215	0.15116	0.115949	0.00120894	0.127631	0.136438	0.431339	0.170929	0.0410148	0.0624978	0.0115409	0.0167738	0.0140634	0.0054983	0.0312649	0.0163571	0.0949373	0.0171318	0.0336812	0.101087	0.0301624	0.00918923	0.0994264	0.0905144	0.401042	0.0382388	0.0509976	0.0966697	0.170911	0.433536	0.0493288	0.0584829	0.0186105	0.121965	0.998662	0.999658	1.00034	1.00134	3.366156
23510	-135.5056	-124.2494	-11.25628	466060.1	8.81308	0.0177561	0.138154	0.0142102	0.0725057	0.207848	0.362347	0.0019829	0.127171	0.31839	0.247857	0.133122	0.0270925	0.144492	0.0260507	0.00912913	0.00665773	0.0012047	0.0859171	0.022517	0.0524009	0.00988092	0.0413747	0.0236447	0.142525	0.00836866	0.0424565	0.0354858	0.271079	0.103211	0.0351421	0.0585364	0.253308	0.283083	0.0712187	0.0738401	0.0338006	0.0474635	0.998139	0.999524	1.00047	1.00186	3.551225
23520	-128.5237	-122.3392	-6.18451	546605.9	10.36909	0.016011	0.0232204	0.0360446	0.0519696	0.0860495	0.128734	0.00161791	0.226274	0.188447	0.193398	0.0555204	0.0173037	0.20838	0.0288583	0.0464139	0.00649499	0.000597617	0.104	0.0172315	0.03993	0.0549873	0.085325	0.0447748	0.118171	0.0115366	0.0479156	0.111845	0.14569	0.161524	0.159484	0.021349	0.127159	0.253002	0.0186171	0.0972623	0.0763115	0.0679116	0.998281	0.99956	1.00044	1.00172	3.079361
23530	-134.5544	-115.3775	-19.17692	938496.4	7.65922	0.00812347	0.0238298	0.0466538	0.184058	0.0546044	0.225934	0.00608478	0.158063	0.0787991	0.169139	0.115673	0.0408672	0.423954	0.037939	0.0417029	0.000952574	0.00101996	0.0257973	0.0270286	0.0226874	0.0965088	0.0265376	0.0636567	0.314047	0.0356325	0.00957264	0.144117	0.0546336	0.247852	0.21835	0.0347887	0.0601124	0.814632	0.0332757	0.106644	0.358562	0.160755	0.998688	0.999665	1.00033	1.00131	4.47259
23540	-129.462	-111.7103	-17.75171	325930.6	10.6782	0.00879205	0.0267215	0.0785306	0.167478	0.1064	0.0948445	0.01378	0.0207153	0.104506	0.0892333	0.22395	0.0207578	0.216403	0.0258243	0.0260696	0.00214545	0.00327303	0.0547948	0.0679771	0.0863975	0.157646	0.0183958	0.0385452	0.313576	0.0607216	0.0164263	0.0502673	0.0408878	0.369318	0.334825	0.0584546	0.22815	0.582189	0.0451204	0.103551	0.159006	0.153797	0.997774	0.99943	1.00057	1.00223	4.16947
23550	-138.4886	-121.3002	-17.18836	354308.1	11.1976	0.0110109	0.125569	0.208295	0.0611683	0.111428	0.0536842	0.0460774	0.0267638	0.0999725	0.120052	0.0630004	0.0172559	0.129015	0.174562	0.0273613	0.00204584	0.000493058	0.0852704	0.0785384	0.130981	0.0588757	0.0334113	0.0374281	0.43601	0.111253	0.0200998	0.0759194	0.015617	0.123579	0.281363	0.0518206	0.318996	0.558122	0.0227345	0.0744388	0.08497	0.196236	0.997865	0.999454	1.00054	1.00214	4.073419
23560	-130.2588	-116.2538	-14.00501	770508	10.39631	0.0146239	0.216292	0.16389	0.117538	0.146508	0.0340388	0.126927	0.0148106	0.0460373	0.0655013	0.111424	0.0359761	0.108666	0.0599555	0.0397581	0.00271015	0.00082986	0.119566	0.0307386	0.159623	0.0778432	0.0370237	0.0640193	0.254251	0.0223227	0.0210943	0.13672	0.0138824	0.0390047	0.349004	0.113309	0.289917	0.50106	0.00754394	0.0835514	0.0858813	0.120501	0.998552	0.99963	1.00037	1.00145	3.832343
23570	-126.5402	-116.7673	-9.772872	452212.7	12.34232	0.00819183	0.186461	0.0882655	0.230939	0.0683293	0.155263	0.0638349	0.104009	0.119705	0.0886745	0.0660382	0.0692384	0.17435	0.0454052	0.0246039	0.000847327	0.00370702	0.0299091	0.0205997	0.222189	0.0273277	0.0231188	0.0224885	0.100324	0.0279147	0.0137349	0.0717425	0.00880975	0.268023	0.226661	0.0941509	0.179066	0.185285	0.0182399	0.191655	0.0968275	0.0421142	0.99811	0.999517	1.00048	1.00189	3.368043
23580	-123.4467	-114.1896	-9.257063	430523.5	11.75857	0.00394712	0.0885982	0.0304333	0.088717	0.0415534	0.20956	0.0925798	0.0898587	0.129908	0.160188	0.0504105	0.157387	0.19034	0.071315	0.0190702	0.00117205	0.00364729	0.142412	0.0225532	0.109588	0.0605665	0.0182433	0.0265187	0.0991447	0.0246028	0.0066192	0.191299	0.0318558	0.200216	0.220926	0.0678569	0.170254	0.2701	0.0505331	0.0781998	0.0582135	0.0704622	0.998063	0.999505	1.00049	1.00194	3.348851
23590	-139.1948	-117.0481	-22.14671	275511.5	5.751399	0.00346604	0.150849	0.0208125	0.156484	0.0627838	0.0938105	0.249943	0.170933	0.107697	0.120255	0.0922107	0.0629412	0.267593	0.0307171	0.0535065	4.87388e-05	0.00168472	0.0828748	0.0567508	0.214998	0.0858593	0.0675425	0.0305323	0.1029	0.0543394	0.00325619	0.484116	0.0524103	0.514549	0.169915	0.196133	0.137645	0.230743	0.0172281	0.196967	0.138908	0.212606	0.997579	0.99938	1.00062	1.00242	4.696009
