Iteration	Posterior	Likelihood	Prior	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	br_lens[60]	br_lens[61]	tree_length
100	-57.14045	0	-57.14045	5.674675	0.068276	0.103251	0.079568	0.267879	0.1326	0.362662	0.140724	0.0236845	0.750386	0.17198	0.100926	0.00899252	0.125393	0.0772173	1.16489	0.280765	0.255773	0.0986343	0.246399	0.072958	0.0699103	0.0258715	0.432251	0.418222	0.0251714	0.352878	0.268856	0.207577	0.248108	0.187868	0.0997307	0.0793188	0.0619615	0.183635	0.151975	0.0546263	0.353464	0.202234	0.0262069	0.0879792	0.307432	0.440126	0.241318	0.115159	0.00892996	0.25699	0.0530544	0.185637	0.045139	0.188901	0.138243	0.473057	0.14189	0.0901175	0.828279	0.0660539	0.242026	0.0289519	0.364067	0.1575	0.102401	12.54608
110	-52.88105	0	-52.88105	4.354073	0.158822	0.0797312	0.187806	0.163687	0.192736	0.419206	0.0796209	0.0173199	0.233129	0.1151	0.0890901	0.0404447	0.0708732	0.0489568	0.916817	0.11695	0.0675396	0.0953519	0.162209	0.139994	0.0623392	0.019884	0.205662	0.136992	0.0230354	0.287576	0.563182	0.238122	0.0310263	0.103397	0.111406	0.215109	0.0332236	0.58772	0.0719211	0.0639081	0.281619	0.345749	0.0185836	0.0722634	0.145782	0.0955928	0.591948	0.0475723	0.0422174	0.120147	0.0337489	0.501705	0.109737	0.262651	0.155276	0.477333	0.202333	0.147098	0.996613	0.0413214	0.570244	0.0114237	0.113522	0.0446849	0.143447	11.7225
120	-46.73025	0	-46.73025	3.901539	0.18019	0.0781498	0.0572249	0.19875	0.0514785	0.262327	0.165547	0.017377	0.385048	0.176778	0.0963462	0.0540664	0.0390789	0.0668849	0.276057	0.201366	0.0356971	0.0563378	0.196718	0.183371	0.108968	0.0322867	0.0963322	0.309883	0.0479351	0.132727	0.177771	0.143014	0.0532254	0.187214	0.177827	0.0539065	0.0356631	0.5198	0.126303	0.0503796	0.443074	0.579147	0.220929	0.0803314	0.106373	0.050611	0.540225	0.159325	0.0304783	0.093205	0.0841443	0.150046	0.214458	0.203481	0.235256	0.131632	0.080665	0.18462	0.583436	0.0351262	0.152386	0.0368247	0.0907521	0.0864183	0.208121	9.813092
130	-46.7882	0	-46.7882	5.151754	0.128598	0.0749746	0.113564	0.427449	0.0490146	0.429657	0.283469	0.0304214	0.223294	0.0348072	0.269442	0.108192	0.0410328	0.156816	0.271632	0.0634734	0.0628879	0.0450818	0.163786	0.243632	0.127458	0.07402	0.205864	0.130884	0.0639333	0.0342185	0.217657	0.136226	0.0791328	0.0839446	0.250738	0.0872542	0.0822427	0.354845	0.0241524	0.0631788	0.364916	0.655803	0.046755	0.095241	0.0571595	0.0397806	0.203111	0.231987	0.0816751	0.0440317	0.0427242	0.162158	1.27918	0.385452	0.183792	0.231467	0.039133	0.0425817	0.427884	0.0276576	0.227463	0.055298	0.116671	0.140187	0.266595	10.68568
140	-42.47801	0	-42.47801	5.490108	0.0152465	0.138469	0.128718	0.413466	0.0766898	0.36221	0.129853	0.101131	0.17915	0.0837658	0.192236	0.0837097	0.0878261	0.110051	0.0994042	0.159086	0.0571815	0.00838929	0.079988	0.643057	0.0373609	0.0543211	0.350139	0.0565295	0.0620607	0.174189	0.248737	0.176042	0.0328208	0.0849129	0.344311	0.0327792	0.350144	0.321759	0.0119728	0.0542749	0.304938	0.27414	0.121256	0.197668	0.148023	0.241843	0.0561692	0.0936299	0.0545524	0.0458105	0.0584747	0.3422	0.417819	0.533352	0.318262	0.194626	0.13786	0.0159385	0.15722	0.0228583	0.208183	0.126768	0.140961	0.104814	0.0771401	9.936487
150	-32.35149	0	-32.35149	7.633598	0.0328689	0.157961	0.0261101	0.201623	0.34731	0.106062	0.181897	0.058359	0.249601	0.0436383	0.334511	0.0932514	0.0204223	0.186088	0.172927	0.0891729	0.169523	0.00803523	0.131539	0.301462	0.0494063	0.0437222	0.312411	0.0909467	0.234848	0.149089	0.0679938	0.219639	0.0507072	0.298592	0.0990395	0.0219844	0.323313	0.178197	0.00269457	0.0630915	0.122393	0.109988	0.126018	0.0907235	0.152897	0.267821	0.0122276	0.0602767	0.0706161	0.070315	0.0503018	0.207919	0.237151	0.380876	0.127216	0.261319	0.11347	0.0783767	0.183004	0.0170192	0.248061	0.104743	0.10165	0.0138898	0.0712318	8.397543
160	-26.50901	0	-26.50901	7.171378	0.0315217	0.131899	0.0151952	0.0333862	0.0945773	0.361385	0.10851	0.0637394	0.0975742	0.0712494	0.183472	0.15951	0.0315258	0.139322	0.0624457	0.0980958	0.154815	0.0161151	0.348462	0.219808	0.0303966	0.0451107	0.381206	0.0535955	0.0939217	0.0597425	0.09332	0.134934	0.0282102	0.197668	0.135771	0.0205124	0.266813	0.401637	0.00339862	0.0983733	0.081459	0.184736	0.0147027	0.236276	0.0535118	0.228659	0.0253941	0.13967	0.1535	0.119565	0.0450729	0.111414	0.049011	0.307353	0.0212844	0.358378	0.0628792	0.0588779	0.0626193	0.031724	0.358335	0.078548	0.243722	0.0239585	0.0878203	7.605691
170	-23.64831	0	-23.64831	8.218721	0.0336218	0.142928	0.0144551	0.0452011	0.126269	0.117686	0.0958579	0.195535	0.216748	0.0696994	0.208336	0.144789	0.0441333	0.225656	0.0877602	0.217973	0.388042	0.0189021	0.145577	0.247185	0.0255774	0.0196113	0.303006	0.182844	0.23388	0.0787376	0.0400568	0.107217	0.0466102	0.108986	0.259568	0.00790355	0.127262	0.169627	0.00722439	0.0543574	0.157245	0.141625	0.0117517	0.122319	0.0309852	0.243088	0.0169372	0.0900002	0.109472	0.0946315	0.0337955	0.183826	0.0267531	0.287743	0.0201939	0.321541	0.061134	0.0967265	0.0582082	0.0219919	0.255468	0.143801	0.13729	0.0131133	0.0361993	7.274665
180	-24.2152	0	-24.2152	9.739179	0.265145	0.0620084	0.0842781	0.170118	0.202791	0.105097	0.1288	0.110147	0.127237	0.0290218	0.164496	0.0423867	0.0784871	0.158797	0.0812177	0.126276	0.207142	0.0294755	0.29782	0.249284	0.0316828	0.0186639	0.409332	0.24745	0.400355	0.0737259	0.0411108	0.0886259	0.0664495	0.146579	0.274662	0.0199845	0.0396019	0.104571	0.0119925	0.0654534	0.128626	0.154254	0.0111183	0.0735695	0.00821399	0.397455	0.00907901	0.0761804	0.166616	0.0563387	0.0318801	0.0820372	0.0474891	0.192507	0.00775135	0.113719	0.0352682	0.122519	0.0895413	0.0250086	0.324148	0.0283712	0.221513	0.00750522	0.0581269	7.229101
190	-19.11444	0	-19.11444	9.101782	0.373208	0.117584	0.0567757	0.0545821	0.22907	0.0932582	0.0470654	0.159842	0.0523629	0.0494918	0.169389	0.0975476	0.0998136	0.163769	0.180615	0.27645	0.234093	0.0429643	0.0495207	0.0446145	0.0456924	0.0357748	0.31443	0.0968761	0.121019	0.0525439	0.0454142	0.131092	0.0515538	0.157731	0.32671	0.200101	0.132357	0.0950296	0.00543417	0.0480354	0.099344	0.0893114	0.00336526	0.0218265	0.00868495	0.369898	0.0314106	0.0320875	0.201537	0.0438997	0.0237365	0.0637082	0.131938	0.179085	0.0346961	0.0703139	0.0728924	0.243236	0.212552	0.0258219	0.0736593	0.064594	0.124589	0.00893706	0.0523759	6.735313
200	-19.3355	0	-19.3355	10.30399	0.198824	0.154718	0.0587121	0.0642476	0.25412	0.0344338	0.0237272	0.384965	0.0118459	0.0260389	0.093665	0.558876	0.0373378	0.245816	0.201151	0.279351	0.11076	0.0246705	0.0967596	0.0281405	0.0376875	0.0267737	0.587085	0.133733	0.097615	0.00912047	0.0302694	0.192103	0.0591376	0.0331142	0.0651336	0.0914942	0.0644856	0.066535	0.00520646	0.0407214	0.0415023	0.0438693	0.0176841	0.0559667	0.0137279	0.158754	0.0561435	0.132007	0.175469	0.24476	0.043949	0.0374448	0.189661	0.104623	0.099097	0.221472	0.142941	0.142734	0.0364428	0.0108802	0.0131839	0.0591863	0.141744	0.00663854	0.0637865	6.682041
210	-21.98358	0	-21.98358	7.682783	0.223746	0.119246	0.0620645	0.0327117	0.257744	0.0177794	0.0178682	0.0940314	0.0194385	0.0209544	0.198101	0.510701	0.235963	0.360501	0.281477	0.102795	0.438931	0.00389033	0.116929	0.0437199	0.0105021	0.0287647	0.245822	0.154588	0.0685013	0.0106336	0.0310937	0.278211	0.102406	0.124136	0.220242	0.165005	0.0159566	0.0398348	0.0041203	0.0728974	0.0359614	0.130859	0.00960206	0.0759997	0.02753	0.40175	0.140861	0.0476471	0.108061	0.118442	0.0996009	0.00654946	0.103217	0.153128	0.0772434	0.0159252	0.0611762	0.0469814	0.163109	0.00762569	0.0363618	0.0352535	0.263347	0.0066566	0.139801	7.043996
220	-25.53678	0	-25.53678	10.14381	0.149489	0.19634	0.0591787	0.0440038	0.101615	0.0305997	0.0123451	0.192832	0.0232422	0.0324466	0.595208	0.195959	0.275313	0.205958	0.226952	0.165323	0.387448	0.00444632	0.208062	0.0230538	0.0116234	0.0189297	0.222405	0.0491641	0.106321	0.00941242	0.0475462	0.150636	0.067051	0.36767	0.318589	0.089917	0.0148687	0.0162142	0.00201928	0.262286	0.281545	0.0576297	0.0160579	0.0357879	0.00649244	0.305317	0.0211574	0.0487097	0.0482042	0.224494	0.0428037	0.0117443	0.102404	0.245359	0.0580073	0.0484607	0.0310762	0.0391115	0.204107	0.0135674	0.0281773	0.0590639	0.18969	0.0071807	0.297217	7.307835
230	-18.66438	0	-18.66438	11.14428	0.196583	0.103857	0.0646582	0.0344257	0.158826	0.0155418	0.0103648	0.190108	0.0486609	0.0419505	0.602143	0.101969	0.337421	0.117025	0.210365	0.131103	0.290211	0.00858815	0.0460625	0.12634	0.00891507	0.0465503	0.219204	0.0686305	0.0950716	0.0505817	0.0298921	0.230869	0.0291346	0.139672	0.165837	0.031625	0.0132584	0.015607	0.0102264	0.167667	0.27128	0.0669706	0.0774315	0.0572018	0.00600788	0.157097	0.0702439	0.0905311	0.029046	0.400155	0.0195626	0.0186882	0.0805651	0.171679	0.0446451	0.0488122	0.167796	0.0375141	0.0867937	0.0514809	0.0746443	0.101446	0.0743284	0.0156412	0.153509	6.532016
240	-14.66446	0	-14.66446	8.365878	0.0763228	0.0598273	0.0163046	0.0119969	0.220548	0.0146112	0.0391204	0.173827	0.0234948	0.118946	0.61534	0.0994256	0.0615979	0.0444805	0.400054	0.185607	0.183321	0.0732775	0.121241	0.112167	0.00366517	0.139613	0.232645	0.0437313	0.189807	0.119786	0.0272654	0.233765	0.0107268	0.198377	0.0858595	0.0273107	0.00935872	0.0126705	0.025318	0.0449057	0.125049	0.231844	0.0494181	0.0822705	0.0167554	0.0238764	0.046425	0.144774	0.0429871	0.1137	0.0279687	0.0371812	0.0880145	0.157757	0.0708818	0.0682911	0.295729	0.0508649	0.126352	0.0190698	0.0449676	0.092158	0.0719429	0.0207738	0.0933481	6.198716
250	-16.86103	0	-16.86103	9.205689	0.16349	0.0151749	0.0752494	0.0230711	0.39135	0.0460984	0.0247893	0.150806	0.023694	0.0887859	0.326401	0.0929617	0.0655431	0.204669	0.275243	0.128745	0.336913	0.105817	0.229428	0.177601	0.0026009	0.107539	0.194974	0.0621289	0.198482	0.12993	0.0350235	0.209446	0.0111415	0.0314158	0.178532	0.0297931	0.00602941	0.0164476	0.03724	0.113251	0.228209	0.193308	0.0481598	0.107881	0.00573196	0.0216609	0.0298303	0.108092	0.047903	0.011342	0.110503	0.00610838	0.154358	0.0685499	0.0225895	0.089478	0.215254	0.121938	0.0943648	0.0168905	0.0473114	0.108405	0.113402	0.00925353	0.197138	6.487466
