Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	br_lens[60]	br_lens[61]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1990	-1353.067	-1337.887	-15.18027	420933.1	12.8612	0.00159481	0.0560169	0.0658469	0.00228694	0.0784448	0.0346366	0.10249	0.043483	0.162116	0.0081138	0.00395196	0.048725	0.0281773	0.0179624	0.00650773	0.096765	0.0391659	0.00845885	0.0466476	0.0495481	0.190935	0.0699331	0.0475091	0.0876789	0.190881	0.0625667	0.0222456	0.0906918	0.0492797	0.0521734	0.0889812	0.0473664	0.196427	0.00441041	0.556907	0.134602	0.0248182	0.364125	0.0276294	0.0303639	0.105426	0.00521674	0.0832943	0.0217876	0.00186308	0.042105	0.195959	0.104771	0.0236652	0.077412	0.0968563	0.138273	0.260765	0.0688898	0.0986071	0.0222883	0.0220113	0.0957624	0.210746	0.0433465	0.00831597	0.998041	0.999499	1.0005	1.00196	4.967827
2000	-1351.967	-1346.105	-5.862016	281307.4	14.75643	0.00368274	0.0406421	0.11337	0.023127	0.028951	0.0214681	0.123291	0.0627216	0.151978	0.0194334	0.00868841	0.0526245	0.0149652	0.0186996	0.0269268	0.0634545	0.0715776	0.0195844	0.0223655	0.0153749	0.207742	0.0990692	0.119109	0.0955351	0.12226	0.0484958	0.0391961	0.0337481	0.0231551	0.0581482	0.0892458	0.0544888	0.090065	0.00187683	0.350196	0.0761713	0.0278564	0.353117	0.0359391	0.0292861	0.0859465	0.00230268	0.0744863	0.0241834	0.00152066	0.0454785	0.139738	0.0639776	0.0324463	0.0913231	0.0891646	0.152766	0.0790836	0.117318	0.0583618	0.0423971	0.0359728	0.116824	0.0679934	0.0484701	0.0134951	0.997604	0.999387	1.00061	1.0024	4.240878
2010	-1355.205	-1346.727	-8.477916	225152.7	15.13001	0.00694554	0.0545259	0.0293585	0.0190618	0.0222851	0.0536272	0.0275346	0.0385282	0.187821	0.0110813	0.00635059	0.0524257	0.00931433	0.00749647	0.0617331	0.070233	0.0532506	0.0528424	0.00868008	0.0150235	0.16925	0.120577	0.0312921	0.0689303	0.13587	0.0650721	0.0324161	0.0264641	0.0947546	0.0524789	0.0494643	0.0663063	0.0341451	0.00284217	0.354812	0.0884637	0.0240082	0.366492	0.129269	0.0414082	0.184532	0.00365505	0.107395	0.01716	0.00395398	0.0448517	0.140405	0.105949	0.0960275	0.0594937	0.160236	0.198882	0.0777461	0.114261	0.082721	0.0261091	0.0175852	0.0719692	0.0901768	0.0456484	0.0137242	0.997322	0.999315	1.00068	1.00268	4.404919
2020	-1354.299	-1340.5	-13.79883	325511.6	13.25713	0.0189022	0.0313848	0.0488793	0.0252456	0.054086	0.0350658	0.0180693	0.0250722	0.177908	0.0164127	0.00798394	0.0846097	0.0147835	0.0308884	0.0813919	0.148354	0.038287	0.0870279	0.0130359	0.022533	0.207196	0.0493468	0.0500688	0.069913	0.111569	0.0295675	0.0503968	0.0231309	0.105237	0.0853061	0.052955	0.0465578	0.121848	0.00368102	0.296464	0.0741162	0.0448552	0.35191	0.121846	0.0931956	0.0982673	0.00288294	0.248713	0.0323087	0.047901	0.159833	0.140405	0.0623964	0.0838302	0.0552027	0.0815121	0.114055	0.183503	0.103932	0.106414	0.0278566	0.0276986	0.0999092	0.146769	0.0485252	0.00779878	0.997773	0.99943	1.00057	1.00223	4.848797
2030	-1361.528	-1348.49	-13.03838	448086.2	14.40791	0.025305	0.00830738	0.0404769	0.00963152	0.054938	0.0168657	0.0495996	0.0331109	0.190063	0.0117058	0.00631255	0.141341	0.020167	0.0388871	0.0533561	0.105084	0.0926131	0.0925634	0.0073099	0.0124149	0.109995	0.0511815	0.0445438	0.0454186	0.043822	0.0717828	0.0581052	0.0324597	0.0420107	0.07103	0.0509626	0.0436427	0.115476	0.00555798	0.268309	0.0759434	0.0566639	0.325365	0.0556739	0.0454333	0.197982	0.00324403	0.178118	0.0215674	0.0576291	0.0400127	0.307999	0.0308567	0.10906	0.0443782	0.212142	0.269102	0.240795	0.0947881	0.0752853	0.0223225	0.0176847	0.0483382	0.0785168	0.0520935	0.0198469	0.998102	0.999514	1.00048	1.0019	4.745191
2040	-1358.953	-1348.193	-10.76049	775505.8	14.75611	0.0159104	0.00788375	0.102491	0.0159461	0.0357236	0.0228774	0.00509198	0.0709588	0.16269	0.00554734	0.0109781	0.125227	0.0480943	0.0284931	0.0199011	0.102122	0.0240299	0.0487983	0.0371765	0.0119839	0.146716	0.0501729	0.0508203	0.135729	0.107828	0.107455	0.0059942	0.154025	0.0458571	0.0790939	0.0371892	0.0691437	0.0645067	0.0138396	0.24246	0.142932	0.0638891	0.31431	0.0738402	0.0859275	0.122416	0.00647499	0.207765	0.0426964	0.0362943	0.0374575	0.146668	0.055939	0.0883675	0.0817154	0.108759	0.133666	0.137534	0.0895109	0.112813	0.0513467	0.0626073	0.049514	0.0439241	0.032896	0.0308256	0.998557	0.999631	1.00037	1.00144	4.572847
2050	-1361.027	-1342.607	-18.42006	55168.43	13.78336	0.0314662	0.0196233	0.0951751	0.00817208	0.0333596	0.0260314	0.00547628	0.027048	0.266842	0.00501122	0.00952583	0.0760508	0.0195392	0.0253877	0.0338015	0.0560809	0.0383934	0.0845017	0.012389	0.00582412	0.313002	0.0803801	0.131179	0.0686751	0.132062	0.0422527	0.0156395	0.115081	0.0245718	0.0834135	0.114225	0.035989	0.110474	0.0490651	0.42012	0.244658	0.0285744	0.281377	0.18924	0.0678838	0.129065	0.0146972	0.0987658	0.0248798	0.0760785	0.0448525	0.100142	0.0332691	0.0771338	0.0684035	0.0433727	0.0800524	0.163555	0.15588	0.123871	0.16064	0.110317	0.0752877	0.0668418	0.0607065	0.0282161	0.994593	0.998613	1.00138	1.00542	5.163592
2060	-1348.131	-1333.54	-14.59063	147684.6	12.54618	0.0080192	0.021179	0.081078	0.00617214	0.0527687	0.0125051	0.00735462	0.0372042	0.26357	0.00526093	0.00666672	0.1275	0.0279081	0.0565269	0.0323156	0.0223216	0.089391	0.0469524	0.0377471	0.0173101	0.137366	0.0977957	0.0504238	0.0508244	0.0424429	0.0508095	0.0300053	0.173361	0.0091663	0.0286505	0.138254	0.034206	0.108448	0.0133682	0.40642	0.168562	0.0297142	0.360654	0.110816	0.0598425	0.147939	0.0181196	0.0679951	0.00229175	0.0379821	0.0758842	0.185403	0.101119	0.095985	0.0485798	0.065635	0.0860442	0.178812	0.145919	0.0473775	0.240403	0.0433341	0.0753039	0.147681	0.0370544	0.0202704	0.996694	0.999153	1.00084	1.00331	4.930015
2070	-1347.492	-1339.291	-8.201001	439675	14.36762	0.0138691	0.0052594	0.0831193	0.0108764	0.0238077	0.00565795	0.0122744	0.0785027	0.103754	0.0116088	0.00366528	0.0983421	0.0539521	0.0175623	0.0232534	0.0285337	0.0936705	0.0161666	0.0378227	0.0298189	0.221236	0.0857775	0.0541344	0.0416623	0.0786894	0.0611229	0.0371094	0.097186	0.00166353	0.079026	0.137236	0.0274377	0.0881236	0.0367789	0.284277	0.087007	0.023513	0.341356	0.180308	0.0497561	0.165912	0.0375508	0.0409979	0.00381849	0.0402744	0.0961555	0.17098	0.0599233	0.0918563	0.0473007	0.0547586	0.129732	0.153926	0.0974632	0.0957752	0.106805	0.0233717	0.0512911	0.125237	0.0367927	0.0156433	0.998084	0.99951	1.00049	1.00192	4.410483
2080	-1351.923	-1342.198	-9.725212	510171.8	11.08009	0.028032	0.00681619	0.0607001	0.0122639	0.0370483	0.00130899	0.0216251	0.044006	0.133943	0.0397159	0.0159087	0.061174	0.07058	0.0190117	0.0169356	0.0586446	0.0704351	0.0145161	0.0258877	0.0220336	0.145006	0.0579768	0.0323507	0.0410153	0.077004	0.0873774	0.0522222	0.0619998	0.000968272	0.0440468	0.0533377	0.0222131	0.0615162	0.0329873	0.441733	0.0664825	0.0161223	0.407826	0.113767	0.121186	0.0844131	0.0542013	0.056465	0.00255428	0.0497705	0.104461	0.205468	0.0417063	0.139512	0.102541	0.0737998	0.124202	0.108958	0.0649005	0.0723784	0.0814749	0.0842311	0.0765766	0.17075	0.0778369	0.0116329	0.998221	0.999545	1.00045	1.00178	4.485559
2090	-1358.016	-1344.21	-13.80553	882291.9	11.2039	0.0266247	0.00718185	0.0752729	0.0171278	0.0285464	0.00813622	0.0231969	0.0533201	0.202987	0.0210561	0.0311273	0.0813628	0.0128576	0.0548671	0.012814	0.0605509	0.0973372	0.0449138	0.0484418	0.0234689	0.248659	0.0606462	0.0212902	0.0407474	0.0812866	0.0410848	0.0661758	0.0859332	0.001355	0.0888348	0.0462007	0.0287569	0.117799	0.0263723	0.283966	0.0543366	0.0133412	0.28391	0.117811	0.0708234	0.121066	0.052159	0.181431	0.00302897	0.0833343	0.0169336	0.183509	0.0191049	0.070356	0.0850176	0.155107	0.345416	0.144527	0.0972857	0.0918261	0.189699	0.0928673	0.090165	0.067627	0.0552218	0.00226545	0.998647	0.999654	1.00035	1.00135	4.858469
2100	-1353.486	-1339.248	-14.23743	880042.5	11.59918	0.0337901	0.00791474	0.0815662	0.00708839	0.0995361	0.0189246	0.015459	0.0644673	0.171537	0.0489092	0.046503	0.0398231	0.0385738	0.0920561	0.0148503	0.125498	0.0589311	0.0450287	0.0204607	0.0200551	0.15623	0.0274632	0.0651686	0.100629	0.133796	0.0713184	0.0866518	0.0463266	0.00279188	0.0586157	0.0605262	0.0615324	0.078732	0.0455289	0.369349	0.0817974	0.0177021	0.49283	0.141271	0.051915	0.102945	0.0230365	0.0780484	0.00133237	0.0509203	0.0188907	0.159419	0.0272778	0.0412693	0.153891	0.108102	0.116383	0.174176	0.103443	0.0724476	0.148155	0.0687267	0.07719	0.131296	0.0460385	0.00152849	0.998645	0.999654	1.00035	1.00136	4.905662
2110	-1367.661	-1348.902	-18.75876	107299.8	10.30749	0.0520848	0.00109801	0.0410107	0.011488	0.0704494	0.0479409	0.0236701	0.0628602	0.172355	0.0342273	0.107234	0.052115	0.038141	0.047623	0.012076	0.0727976	0.0829861	0.0912462	0.0537316	0.00888223	0.17093	0.0143184	0.0248708	0.0705147	0.11222	0.20976	0.0884791	0.0473759	0.0105554	0.0545895	0.0693757	0.0587291	0.037698	0.025171	0.346185	0.1354	0.0167251	0.68323	0.131134	0.0320373	0.144921	0.0698665	0.115025	0.00103419	0.0528819	0.0283371	0.1427	0.00328148	0.130021	0.10982	0.0693268	0.0707258	0.158806	0.171272	0.117655	0.11734	0.103664	0.068841	0.144394	0.0405399	0.00165238	0.996122	0.999006	1.00099	1.00388	5.285423
2120	-1368.656	-1357.595	-11.06078	153075.8	11.89125	0.071418	0.00332266	0.0291048	0.031996	0.0586688	0.123478	0.0177574	0.0352116	0.131372	0.0336563	0.0337873	0.0522129	0.0213581	0.103801	0.00745454	0.081261	0.0794937	0.0514162	0.0365244	0.00949393	0.153058	0.00875398	0.0597927	0.141307	0.147119	0.106064	0.144495	0.05492	0.00880723	0.064136	0.0574574	0.0297645	0.0569899	0.0303809	0.250365	0.0918469	0.0139459	0.478208	0.115576	0.0152763	0.149455	0.0371084	0.136466	0.00253964	0.0753281	0.0572506	0.0780232	0.00440603	0.0274296	0.0877356	0.0483546	0.102747	0.134293	0.0609893	0.0982064	0.0984618	0.108497	0.0489392	0.18824	0.0514846	0.0036797	0.996753	0.999168	1.00083	1.00325	4.640687
2130	-1363.498	-1352.172	-11.32632	364695.5	16.10331	0.0133416	0.0196364	0.0110271	0.0312692	0.0270217	0.110554	0.0249553	0.0465041	0.220476	0.0678636	0.00969413	0.0970171	0.0283414	0.0331719	0.0127048	0.0922734	0.0438764	0.0133984	0.0742148	0.0307755	0.108496	0.0167295	0.0388966	0.136988	0.0903099	0.0447891	0.0939626	0.112081	0.00930744	0.102435	0.0857022	0.0116934	0.0982332	0.0283032	0.293624	0.0640759	0.0161002	0.411736	0.0470115	0.0100907	0.0862322	0.0354719	0.0814652	0.0404252	0.095883	0.0954439	0.171251	0.00692649	0.0676394	0.0921929	0.0727615	0.11265	0.093503	0.0330897	0.148248	0.106269	0.0659115	0.0636418	0.178633	0.0521219	0.0111975	0.997896	0.999462	1.00054	1.00211	4.53964
2140	-1356.427	-1348.663	-7.763684	438222.2	12.16494	0.0142374	0.0208277	0.02232	0.0404883	0.0143464	0.0658839	0.00750165	0.0696714	0.180846	0.059927	0.0211214	0.100565	0.0296885	0.0209405	0.0179062	0.0524214	0.0555251	0.0102376	0.0872594	0.0358937	0.108094	0.0213227	0.0317325	0.0465092	0.0821858	0.059302	0.0817238	0.0383229	0.0193851	0.0589087	0.134286	0.0309717	0.134935	0.0168507	0.233268	0.199419	0.00814064	0.329041	0.128625	0.0303739	0.0832695	0.0355489	0.0866885	0.00937073	0.0275871	0.0352664	0.143386	0.0516293	0.121329	0.033023	0.169157	0.0401892	0.0879826	0.121874	0.109089	0.0894189	0.0269213	0.0690674	0.206794	0.0644602	0.0417933	0.998081	0.999509	1.00049	1.00192	4.374851
2150	-1359.431	-1345.872	-13.55885	819677.7	11.86961	0.00426666	0.0109165	0.0132344	0.0126949	0.0380255	0.0642989	0.0372676	0.0699187	0.271844	0.0329963	0.025589	0.137523	0.0616462	0.0115688	0.017631	0.070377	0.0617378	0.0151186	0.0582628	0.0318401	0.183113	0.0711482	0.0203165	0.0280333	0.126639	0.0945661	0.0914907	0.0244147	0.0176641	0.0653785	0.113699	0.0612191	0.149663	0.0242787	0.336948	0.20077	0.00966998	0.244229	0.0908947	0.0329844	0.18637	0.0297571	0.13787	0.0160553	0.0174266	0.0696712	0.114314	0.0505268	0.150662	0.0554802	0.220907	0.0675961	0.131654	0.0757384	0.0616747	0.0678933	0.0214895	0.0639609	0.200637	0.0276135	0.0494345	0.998596	0.999641	1.00036	1.0014	4.850611
2160	-1350.171	-1337.283	-12.88826	897440.3	12.60531	0.00834164	0.00888043	0.0418459	0.00878989	0.0847294	0.0331889	0.0181811	0.0703187	0.179593	0.042252	0.0175388	0.0657612	0.0417069	0.0399043	0.0156374	0.066138	0.0894387	0.016252	0.0102057	0.0239176	0.160284	0.0720248	0.0169393	0.072306	0.0898867	0.0652965	0.0735644	0.00779498	0.0227028	0.0732966	0.134256	0.0382059	0.0589624	0.0467945	0.410678	0.230302	0.0316207	0.277598	0.185806	0.0672182	0.172713	0.0334263	0.0903599	0.0212229	0.0424557	0.073391	0.108023	0.0271485	0.0529702	0.0186247	0.101625	0.160657	0.200773	0.226624	0.0517964	0.0989255	0.0602753	0.11107	0.0964719	0.00331119	0.0236269	0.998659	0.999657	1.00034	1.00134	4.793652
2170	-1345.708	-1336.95	-8.757756	955219.5	13.07395	0.00386495	0.021303	0.0888206	0.0215865	0.111067	0.0658453	0.0132252	0.0190305	0.271525	0.00884555	0.0214741	0.0751052	0.028211	0.0425736	0.0230858	0.0807379	0.0917449	0.00937689	0.0197423	0.0435401	0.114522	0.116257	0.00898939	0.0550525	0.108864	0.0659531	0.0813899	0.00252459	0.0144284	0.0353233	0.0478037	0.0296803	0.0557473	0.0691595	0.348159	0.146706	0.0199279	0.338567	0.172438	0.0316098	0.140288	0.0689625	0.0626062	0.0128122	0.0509352	0.0607197	0.1077	0.0327861	0.028978	0.0768403	0.135266	0.1668	0.113636	0.105147	0.0564714	0.115147	0.0193059	0.114323	0.0572168	0.00420768	0.0150801	0.9987	0.999668	1.00033	1.0013	4.469036
2180	-1360.395	-1347.971	-12.42423	975301.2	13.03924	0.00357236	0.0165336	0.0489207	0.0486927	0.10764	0.0550565	0.00715049	0.0927362	0.224156	0.0201664	0.0154742	0.0789641	0.0842319	0.0212259	0.0322332	0.0936909	0.0533526	0.0047231	0.0269486	0.105857	0.137669	0.0528244	0.00368619	0.120173	0.0918677	0.113445	0.0386186	0.000658017	0.0248054	0.0388724	0.114826	0.0537824	0.0471877	0.0320229	0.215023	0.0764467	0.0105624	0.447498	0.100311	0.0107047	0.123238	0.0504766	0.189949	0.0232763	0.0448495	0.0856804	0.113609	0.0378205	0.0542535	0.03949	0.0867139	0.219956	0.143849	0.166954	0.164253	0.0542803	0.0612596	0.118616	0.0579389	0.00671799	0.0347245	0.998713	0.999671	1.00033	1.00129	4.750216
2190	-1359.68	-1346.387	-13.29344	592569.4	11.6097	0.00666564	0.0508434	0.0851109	0.0349202	0.147009	0.026573	0.00867645	0.0841168	0.182132	0.0416817	0.0350302	0.1365	0.0168717	0.0285468	0.0329419	0.113777	0.0743756	0.00752387	0.0171769	0.0726953	0.0857784	0.0533519	0.00966857	0.0619379	0.148357	0.0825926	0.0235905	0.000644447	0.014999	0.0729739	0.078123	0.0378257	0.0847542	0.0250218	0.339821	0.187143	0.0172467	0.33155	0.045049	0.0147042	0.145001	0.0656318	0.0931568	0.0261106	0.0329102	0.0698678	0.129519	0.0882664	0.0846443	0.0473005	0.0908341	0.173917	0.142314	0.169591	0.101072	0.0765532	0.0505294	0.132817	0.123933	0.00827191	0.0539464	0.998349	0.999578	1.00042	1.00165	4.824488
2200	-1355.129	-1341.576	-13.55273	571920.4	12.65789	0.0225695	0.0392135	0.109696	0.0154575	0.0530815	0.0945717	0.00632219	0.0528182	0.190022	0.040717	0.0197928	0.0558997	0.0275918	0.0339059	0.0645617	0.0598632	0.0804111	0.00759727	0.0221201	0.11335	0.0316543	0.0790167	0.00966857	0.126471	0.0533292	0.12081	0.0102518	0.00194038	0.0256	0.0488263	0.125277	0.0414753	0.14846	0.0410578	0.397433	0.154294	0.00665223	0.415793	0.044464	0.00453962	0.114116	0.0419264	0.146988	0.0351327	0.0477046	0.0948604	0.0883115	0.144949	0.0630915	0.0591339	0.127632	0.0906555	0.102318	0.130989	0.0942356	0.0419579	0.0806102	0.168154	0.134691	0.008882	0.0325481	0.99832	0.99957	1.00043	1.00168	4.845464
2210	-1355.486	-1341.644	-13.84124	800454.9	12.56636	0.019284	0.0228684	0.0677698	0.0133404	0.067267	0.0754635	0.020866	0.0347037	0.196222	0.0473405	0.0217935	0.0944762	0.0467573	0.0236561	0.031023	0.0664623	0.126707	0.0169537	0.00782676	0.053991	0.0353934	0.110292	0.0111742	0.0601143	0.0688719	0.129917	0.0659833	0.00527569	0.00900944	0.0286849	0.125437	0.0317538	0.143354	0.0143253	0.239729	0.177339	0.00555958	0.748622	0.0484954	0.0108359	0.104526	0.0401934	0.084718	0.0500749	0.0139413	0.0828887	0.180899	0.0463067	0.033936	0.127774	0.0814519	0.162988	0.0662407	0.172544	0.069077	0.0537248	0.0298162	0.11822	0.155572	0.00140569	0.068707	0.99858	0.999637	1.00036	1.00142	4.869943
2220	-1346.551	-1333.688	-12.86312	914884.4	13.12275	0.0114631	0.0318871	0.077711	0.0153074	0.0644889	0.0552955	0.0342637	0.0416985	0.313861	0.0214542	0.0144443	0.0817572	0.0426281	0.028724	0.0118965	0.0810119	0.0740814	0.0166507	0.00294961	0.0291996	0.0403506	0.0556553	0.0162591	0.0724128	0.107909	0.235313	0.0549194	0.00758403	0.00522864	0.0142657	0.0962602	0.0956132	0.0259931	0.00580221	0.407584	0.134071	0.0086929	0.440063	0.13448	0.0128567	0.106831	0.0550843	0.100051	0.0359863	0.0146455	0.142651	0.129643	0.0552795	0.0443602	0.0841284	0.0840454	0.11101	0.158558	0.201149	0.103098	0.0413296	0.0100498	0.112844	0.114187	0.00664074	0.0481764	0.998671	0.99966	1.00034	1.00133	4.781835
2230	-1360.197	-1351.547	-8.650425	292423.1	12.25443	0.00978591	0.0560312	0.0862532	0.0124408	0.0535415	0.0551382	0.0360256	0.0319351	0.188447	0.0600173	0.0435808	0.0460117	0.0633071	0.0428997	0.0179753	0.0777245	0.166538	0.0200988	0.00286312	0.0429475	0.0251923	0.112359	0.0131214	0.0476496	0.105228	0.192829	0.0449166	0.0146922	0.00536851	0.0476108	0.0517022	0.081207	0.0507872	0.00573617	0.252556	0.0723843	0.0134968	0.258408	0.0772348	0.00810885	0.132083	0.0236413	0.0868756	0.107989	0.025271	0.178185	0.194408	0.0861225	0.102495	0.0443285	0.0760678	0.199191	0.160961	0.0926948	0.0683846	0.0216041	0.00891853	0.0538231	0.107041	0.0104732	0.0755788	0.99765	0.999399	1.0006	1.00235	4.450288
2240	-1360.208	-1348.932	-11.27617	658933.2	13.29401	0.0224414	0.0499889	0.03691	0.00938378	0.0527526	0.0305027	0.0271722	0.0383041	0.214074	0.0395732	0.0396489	0.071541	0.0592194	0.004829	0.0187782	0.0368493	0.090308	0.0170929	0.018169	0.0248561	0.0467655	0.125932	0.0379561	0.0517785	0.079502	0.128318	0.0795307	0.014528	0.0031128	0.0262538	0.054426	0.120573	0.115237	0.00656848	0.188405	0.0909458	0.00315995	0.440007	0.0985209	0.0204658	0.0972374	0.106017	0.0931272	0.105895	0.0544151	0.158242	0.13191	0.122891	0.111991	0.107684	0.0964315	0.120233	0.201736	0.118404	0.0436541	0.0572529	0.0207362	0.0310702	0.187371	0.00427109	0.0528279	0.998435	0.9996	1.0004	1.00157	4.657779
2250	-1351.429	-1339.237	-12.1926	297909.8	12.17982	0.0484339	0.0267907	0.0471714	0.0100924	0.0706492	0.0310105	0.0385455	0.0277465	0.296667	0.032005	0.0200151	0.09725	0.0278594	0.00358718	0.0135683	0.0831247	0.115442	0.00638495	0.0460106	0.0113294	0.0386949	0.0773414	0.0631024	0.0746123	0.109022	0.0933083	0.0185573	0.036534	0.00377493	0.0305202	0.0779838	0.0499047	0.108084	0.00599983	0.268795	0.171193	0.00437326	0.449434	0.1145	0.0175685	0.086351	0.0713143	0.151045	0.0863798	0.0990164	0.205421	0.142282	0.0611103	0.0648983	0.0278348	0.0773222	0.135817	0.154169	0.10038	0.0591338	0.0526352	0.0112213	0.0663203	0.200902	0.00694315	0.0115287	0.997672	0.999404	1.00059	1.00233	4.739012
2260	-1355.931	-1342.713	-13.21769	394445	16.35487	0.0627467	0.0104753	0.0672779	0.0110604	0.0450235	0.0359504	0.0523411	0.0897668	0.202793	0.0257356	0.0199574	0.0530944	0.0501956	0.00865676	0.0168289	0.0962452	0.118777	0.0110179	0.016814	0.010321	0.025981	0.101353	0.0412222	0.0933308	0.168828	0.0851912	0.00406352	0.0612594	0.00550911	0.0596844	0.0735941	0.0491935	0.0844987	0.0165744	0.196365	0.123769	0.016924	0.462907	0.116546	0.0191719	0.127925	0.0699872	0.0945139	0.0828264	0.0598029	0.150249	0.108396	0.0755678	0.0750695	0.093911	0.0671191	0.151894	0.0984823	0.251669	0.038556	0.0496131	0.00461033	0.0782979	0.126316	0.018023	0.00632402	0.997977	0.999482	1.00052	1.00202	4.640199
2270	-1347.365	-1337.368	-9.997288	726784.6	15.62901	0.0239141	0.00864242	0.0781118	0.00944391	0.0200789	0.0826091	0.0495536	0.0484099	0.214552	0.0218631	0.029801	0.114946	0.0574082	0.00734933	0.0375595	0.0752155	0.0597737	0.00620343	0.0206822	0.0059653	0.0285521	0.0406768	0.0633535	0.149487	0.0424549	0.103011	0.00426124	0.0638218	0.00394936	0.05899	0.105002	0.0246294	0.0390089	0.0129979	0.337955	0.22751	0.00892305	0.468072	0.121062	0.0159889	0.0736034	0.0461293	0.0501834	0.0520861	0.0757766	0.148222	0.169787	0.0686279	0.092754	0.0757293	0.0749718	0.102329	0.106199	0.136814	0.088037	0.0234043	0.00432381	0.0612321	0.109445	0.00470579	0.0256034	0.998509	0.999619	1.00038	1.00149	4.481756
2280	-1352.627	-1342.905	-9.721188	185169.5	10.74046	0.0260537	0.0245551	0.0773506	0.0051802	0.0295888	0.0829574	0.0151055	0.0453221	0.301828	0.0404238	0.0236044	0.112264	0.017745	0.00816768	0.0163103	0.103522	0.0342251	0.0042841	0.00978432	0.0155198	0.0557101	0.0537317	0.0686128	0.0842435	0.0405284	0.0905939	0.00649096	0.0454274	0.00383344	0.0474115	0.0950778	0.0228784	0.0540493	0.0352219	0.277497	0.117546	0.0178379	0.463256	0.129426	0.00457038	0.0833561	0.0109219	0.102511	0.0471835	0.0731166	0.0830898	0.0898472	0.0344267	0.165951	0.208474	0.0577428	0.127298	0.20802	0.0787004	0.143929	0.0174366	0.00215485	0.100477	0.0867468	0.0115988	0.0158196	0.997048	0.999244	1.00075	1.00296	4.456537
2290	-1367.053	-1349.825	-17.22725	198140.3	11.89981	0.0120697	0.0203458	0.0762179	0.00913599	0.0780533	0.0358168	0.0178263	0.0180372	0.248916	0.033991	0.0393368	0.109441	0.0640419	0.00879835	0.0316925	0.143968	0.0421327	0.00276826	0.00886845	0.0666205	0.0564293	0.0636428	0.050687	0.16009	0.0963801	0.141421	0.01077	0.0732871	0.00451712	0.0603539	0.165614	0.0287579	0.106083	0.0351864	0.282224	0.173539	0.0309488	0.438143	0.187545	0.00621418	0.0526197	0.010529	0.239499	0.0850853	0.0857031	0.148917	0.162594	0.0334519	0.0749133	0.153466	0.0802353	0.115044	0.138286	0.0521303	0.249491	0.0165031	0.0072741	0.0796035	0.0948365	0.0113958	0.0276048	0.997146	0.999269	1.00073	1.00286	5.159093
2300	-1370.497	-1353.532	-16.9648	834921.7	10.37015	0.00965899	0.0219967	0.0700076	0.00398202	0.130884	0.0639037	0.0442645	0.0360955	0.191905	0.0411682	0.00848702	0.164041	0.0222621	0.0164022	0.0238347	0.0818392	0.0792503	0.00159897	0.0540721	0.022399	0.1015	0.0780004	0.121451	0.0498371	0.112548	0.0628362	0.0524836	0.0769292	0.00530341	0.0475486	0.0805611	0.0240157	0.0822161	0.0366104	0.208071	0.180562	0.0478252	0.641902	0.262852	0.0135558	0.0558573	0.0206891	0.0887587	0.0405772	0.0204893	0.141355	0.0882291	0.0305967	0.0933172	0.135022	0.0576096	0.110151	0.236513	0.123269	0.111953	0.00931672	0.0147777	0.0812925	0.252266	0.0148772	0.0133567	0.998609	0.999644	1.00035	1.00139	5.114936
2310	-1361.355	-1348.767	-12.58863	602926.6	15.71826	0.0118135	0.0144805	0.0520345	0.00461414	0.0302557	0.0372758	0.0560863	0.0864588	0.188779	0.0329688	0.0197617	0.0616846	0.0385657	0.0222167	0.0277789	0.0803653	0.159245	0.00182147	0.0490692	0.0578466	0.14142	0.103205	0.0729373	0.0501652	0.124606	0.0434321	0.120143	0.0557526	0.00731354	0.0518206	0.0919707	0.0325168	0.0368054	0.0165133	0.241447	0.351376	0.0649424	0.232053	0.137367	0.0189821	0.16427	0.0388567	0.128785	0.0725662	0.0188699	0.183396	0.130684	0.0477555	0.0782801	0.0972263	0.0519365	0.056138	0.144267	0.0121518	0.0494945	0.021336	0.0261248	0.109255	0.170422	0.0071642	0.00526212	0.998363	0.999581	1.00042	1.00164	4.642133
