Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	br_lens[60]	br_lens[61]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
100	-1385.99	-1361.227	-24.76333	126845.5	13.10017	0.0173986	0.0206714	0.1172	0.0334446	0.0307304	0.032958	0.064916	0.0462223	0.00688645	0.0424397	0.0143557	0.102056	0.0180331	0.0582562	0.101976	0.0836034	0.0683703	0.0834395	0.07139	0.0121708	0.0888688	0.144315	0.0765953	0.0553501	0.0717134	0.205711	0.0192176	0.0283513	0.0423841	0.0240654	0.108797	0.121582	0.0382014	0.00927136	0.806802	0.224825	0.151361	0.398635	0.00986775	0.062916	0.0331796	0.0398145	0.0384195	0.00733547	0.208043	0.0295648	0.263854	0.0216447	0.114193	0.0573951	0.0815252	0.102028	0.153546	0.287087	0.116778	0.0615161	0.0507186	0.0747933	0.0767674	0.0125319	0.144722	0.996433	0.999086	1.00091	1.00357	5.690805
110	-1374.065	-1351.874	-22.19069	96842.99	10.82995	0.0144101	0.010755	0.128201	0.0274763	0.0115454	0.0691932	0.0851886	0.0468309	0.00818458	0.0704621	0.0284044	0.138272	0.0337645	0.0473376	0.0256526	0.0618026	0.119854	0.0568951	0.048361	0.00663417	0.00943408	0.0656341	0.0413516	0.0276107	0.076924	0.136454	0.104847	0.0257293	0.0257561	0.0179349	0.0870797	0.031892	0.0639453	0.00734372	0.882086	0.187692	0.1711	0.511892	0.0242892	0.0191414	0.0636511	0.0419071	0.106785	0.0238057	0.269081	0.0405246	0.170054	0.0306826	0.182308	0.0336886	0.0776864	0.234401	0.113331	0.163606	0.0488428	0.0332044	0.0631242	0.0547839	0.0655839	0.025806	0.215967	0.995918	0.998954	1.00104	1.00409	5.616186
120	-1373.693	-1356.593	-17.10003	122171.4	10.30036	0.0240763	0.0109814	0.0325991	0.0318657	0.0375667	0.0888051	0.0352431	0.0622975	0.0105279	0.0218112	0.0354785	0.0653278	0.0294297	0.0672831	0.0517418	0.10027	0.06036	0.0248046	0.0585293	0.00597578	0.0158347	0.0573124	0.0631911	0.0173056	0.0806879	0.100615	0.0756326	0.0217761	0.0660508	0.0113507	0.118182	0.0178585	0.0224237	0.0146131	0.618651	0.129193	0.24741	0.536158	0.0256445	0.0101908	0.154727	0.0313899	0.10889	0.0390861	0.132135	0.0801033	0.163218	0.0384052	0.106925	0.0166044	0.111758	0.158162	0.126864	0.207206	0.0897145	0.0540779	0.020941	0.0928559	0.139387	0.0214306	0.12515	0.996366	0.999069	1.00093	1.00364	5.124086
130	-1379.85	-1356.947	-22.903	165674.1	9.623862	0.0216361	0.0170074	0.143422	0.0054458	0.0604482	0.04517	0.0273873	0.0471776	0.0293565	0.036997	0.0229743	0.0445591	0.0280862	0.0599332	0.113468	0.0554417	0.0877623	0.0126745	0.0608797	0.00351709	0.0246529	0.160031	0.0659138	0.0550971	0.0413848	0.151069	0.23397	0.010974	0.0487039	0.00403672	0.145666	0.0194892	0.0123024	0.0731803	0.770802	0.18821	0.309858	0.406415	0.0402286	0.012793	0.0900352	0.0330731	0.100741	0.0259614	0.154617	0.0384257	0.175909	0.00717344	0.136527	0.0237161	0.122674	0.222829	0.173553	0.0922922	0.136315	0.0414196	0.0433955	0.126946	0.112237	0.0419864	0.0727762	0.996879	0.999201	1.0008	1.00312	5.670725
140	-1372.848	-1357.957	-14.8906	670478.2	10.62194	0.00720116	0.016647	0.111876	0.00497112	0.0541062	0.10801	0.0472386	0.10061	0.0642621	0.051077	0.00371184	0.0813651	0.0182726	0.110118	0.0503678	0.0555612	0.094677	0.0213408	0.041674	0.0178959	0.0374214	0.137262	0.0419975	0.0519873	0.109639	0.125407	0.134769	0.00779783	0.0645342	0.00386824	0.0906826	0.0260175	0.0315894	0.034129	0.29566	0.157721	0.328951	0.38567	0.0149814	0.0128215	0.066219	0.0320139	0.133768	0.0866623	0.141354	0.0729629	0.127965	0.00367445	0.0650309	0.0589084	0.124395	0.110265	0.158094	0.0449714	0.106735	0.0807037	0.0359761	0.102968	0.127185	0.0133261	0.0843762	0.998448	0.999603	1.0004	1.00155	4.931444
150	-1357.135	-1341.859	-15.27515	125182.1	11.22298	0.0281198	0.0119364	0.0492953	0.00311628	0.0368309	0.0343783	0.0375551	0.107394	0.12021	0.0452656	0.00414635	0.109214	0.0131533	0.0334646	0.0357093	0.0784896	0.0413609	0.0283505	0.0283447	0.0532633	0.0440203	0.187377	0.0341176	0.0943466	0.0756497	0.193603	0.115356	0.0186582	0.0556328	0.00325561	0.0831229	0.0285324	0.0405759	0.0231295	0.599724	0.0759104	0.326995	0.509635	0.0149524	0.0351609	0.0930368	0.0223408	0.14042	0.0469446	0.0321779	0.140405	0.0966717	0.00580279	0.0688606	0.0234166	0.113982	0.0767778	0.155575	0.0761884	0.0456521	0.0802644	0.0206423	0.0987676	0.125156	0.00796117	0.0596671	0.99641	0.99908	1.00092	1.00359	4.990064
160	-1364.406	-1347.514	-16.8923	90266.64	12.81253	0.0323345	0.00900476	0.083502	0.018269	0.0550016	0.0431148	0.027737	0.0877975	0.238343	0.0655145	0.00527788	0.0762048	0.00839191	0.0309314	0.0664911	0.175789	0.0550876	0.0426738	0.0259047	0.0579353	0.0639678	0.0993859	0.0547784	0.133051	0.0473497	0.287891	0.109615	0.0169901	0.101053	0.00559837	0.131443	0.133218	0.0676925	0.00883362	0.22889	0.142969	0.154996	0.356725	0.0473465	0.0559491	0.168055	0.0426209	0.167987	0.0603782	0.0404698	0.208417	0.0755167	0.00360523	0.0713912	0.0166692	0.169532	0.0950849	0.129269	0.0626128	0.060557	0.0305719	0.0150043	0.0913908	0.0871409	0.00240298	0.0513011	0.995772	0.998916	1.00108	1.00423	5.103028
170	-1352.483	-1341.287	-11.19622	213931.6	12.23317	0.0305023	0.0129169	0.0527131	0.0130897	0.0706786	0.0765212	0.0203874	0.0428289	0.135833	0.0755705	0.027859	0.126596	0.0352387	0.0547011	0.0542812	0.128721	0.0624879	0.0123386	0.0926926	0.0221598	0.0908402	0.0696745	0.0397135	0.0435703	0.0801039	0.126756	0.0557848	0.0230928	0.0621965	0.0154525	0.112632	0.0380286	0.0915624	0.012375	0.389978	0.17262	0.054229	0.476125	0.0321468	0.0381509	0.10712	0.0537854	0.191926	0.0489991	0.012502	0.11688	0.0755167	0.00510019	0.10723	0.00923087	0.139233	0.058218	0.125385	0.0435853	0.125231	0.0840379	0.00600275	0.0599207	0.0680767	0.00179617	0.04489	0.997253	0.999297	1.0007	1.00275	4.657817
180	-1367.199	-1356.267	-10.93242	657359.4	12.75532	0.0196402	0.0120703	0.0539518	0.00746748	0.0786124	0.0438745	0.0187887	0.0461484	0.234873	0.0515006	0.0255098	0.0595821	0.0667164	0.0601481	0.0269646	0.0972657	0.124736	0.0121263	0.0214118	0.0469396	0.123668	0.0495822	0.148955	0.0225484	0.140297	0.303666	0.0561303	0.0256904	0.0497946	0.0145619	0.0993883	0.0500183	0.127975	0.019128	0.192845	0.0870343	0.0328761	0.368643	0.0629398	0.0188108	0.0689514	0.0776984	0.165504	0.0626051	0.0185966	0.0457185	0.168049	0.00843196	0.0801906	0.010243	0.16876	0.0379013	0.11552	0.0680893	0.199741	0.021758	0.0210925	0.0343996	0.089589	0.00133293	0.0711147	0.998433	0.999599	1.0004	1.00157	4.638165
190	-1361.87	-1343.789	-18.0812	919038.4	8.990591	0.0273877	0.0137269	0.0536979	0.00563696	0.0702736	0.104114	0.0239147	0.0219305	0.145333	0.0766949	0.0516085	0.0922644	0.0361185	0.0603899	0.0148815	0.055484	0.0764699	0.0250311	0.0173689	0.0875066	0.0203474	0.0893639	0.0629323	0.0390969	0.244629	0.178743	0.0857311	0.044685	0.0490244	0.0462092	0.104935	0.0869923	0.145121	0.0359239	0.267841	0.288182	0.0444807	0.526442	0.029398	0.0195661	0.0680019	0.0578089	0.177925	0.0609643	0.0124775	0.0449847	0.241562	0.00744336	0.138053	0.015541	0.18778	0.0571251	0.150058	0.0523962	0.0550813	0.0633033	0.0298636	0.0575688	0.0625396	0.00173273	0.0744114	0.998674	0.999661	1.00034	1.00133	5.0861
