Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-469.5184	-406.0802	-63.4382	27175.49	2.085533	0.152793	1.78069	0.324207	0.96148	0.753104	0.0882532	0.590694	0.246456	0.464326	0.0876484	0.652535	0.597564	0.290448	0.126425	0.23577	0.119872	0.228037	0.561009	1.13949	0.976193	1.53336	0.843237	0.315333	0.392892	1.09719	0.241976	0.07674	0.244446	0.0649408	0.18222	0.879208	0.737452	0.0313365	0.9923	0.99802	1.00196	1.00772	17.01733
10	-359.2896	-300.6518	-58.63785	193779.4	2.517299	0.24024	1.0705	0.27689	1.50194	0.549604	0.190479	0.283883	0.134464	0.306582	0.0330724	0.4662	0.301949	0.10806	0.0864889	0.306576	0.0527509	0.121304	0.261115	1.38313	1.14926	1.8082	0.887658	0.0680723	0.309814	0.677017	0.334612	0.0482262	0.131678	0.0219083	0.147925	0.776812	0.534402	0.0531249	0.997114	0.999261	1.00074	1.00289	14.62394
20	-301.4394	-254.5102	-46.92922	333547.8	3.627804	0.278844	0.549576	0.0743838	0.807552	0.215094	0.0342958	0.0362351	0.0399776	0.111137	0.0638512	0.357345	0.135015	0.135832	0.034802	0.104694	0.0238824	0.137825	0.175556	1.7434	1.01266	1.4492	0.594673	0.0612686	0.130355	0.261432	0.276947	0.0443627	0.260566	0.0755168	0.0350265	0.465309	0.340561	0.115749	0.9978	0.999437	1.00056	1.0022	10.18293
30	-270.4415	-238.1469	-32.29466	243426.4	4.887576	0.284948	0.128437	0.0344224	0.387875	0.188698	0.0728151	0.0754635	0.0235738	0.0631807	0.198628	0.17022	0.122932	0.0936396	0.072802	0.0591892	0.0169818	0.186186	0.0328181	0.725241	0.387688	1.05994	0.416911	0.0258586	0.031907	0.310886	0.123535	0.0921154	0.318971	0.111986	0.0194804	0.0825611	0.329934	0.27517	0.997425	0.999341	1.00066	1.00258	6.524997
40	-258.5179	-231.9664	-26.55145	187198.7	6.30786	0.140257	0.110602	0.0342606	0.0777413	0.219541	0.0625198	0.0203278	0.00940399	0.0760396	0.131193	0.197265	0.0724231	0.187667	0.0891786	0.0555167	0.0133939	0.131243	0.0963625	0.797136	0.415816	0.448728	0.13995	0.00460386	0.0225749	0.170994	0.132469	0.0442183	0.415204	0.0584491	0.00797614	0.104236	0.301118	0.64647	0.997064	0.999248	1.00075	1.00294	5.434879
50	-249.4398	-223.4207	-26.01915	71901.84	6.623116	0.0735449	0.149996	0.0179418	0.088526	0.155352	0.0564483	0.0209036	0.00614748	0.0363728	0.156135	0.0533282	0.143495	0.11621	0.147204	0.0405269	0.00972658	0.180283	0.0372519	0.556885	0.208627	0.807396	0.119094	0.00409061	0.100812	0.142953	0.183347	0.0457358	0.486901	0.0186855	0.0118741	0.0919836	0.576384	0.485126	0.995264	0.998785	1.00121	1.00474	5.329288
60	-251.0258	-223.721	-27.30473	468869.5	8.434358	0.133627	0.112369	0.00184468	0.105176	0.0322589	0.0245261	0.0474358	0.00863578	0.0252386	0.144397	0.0333902	0.112826	0.120408	0.0736559	0.0271503	0.0106801	0.141145	0.0413117	0.124816	0.097737	1.0173	0.0373028	0.00408441	0.0954632	0.265988	0.0237446	0.066301	1.46666	0.0552333	0.0198334	0.0513426	0.383609	0.334679	0.998144	0.999525	1.00047	1.00186	5.240174
70	-247.0623	-220.5096	-26.55273	489560	4.546365	0.314794	0.123863	0.00434692	0.0732995	0.0293011	0.0252473	0.050396	0.0155439	0.0163951	0.0857294	0.0242536	0.162502	0.114554	0.0515506	0.0357002	0.0558451	0.102727	0.0734918	0.122195	0.0495043	0.932901	0.0630961	0.00207035	0.12044	1.17244	0.0725363	0.0375525	0.482069	0.0679728	0.0132574	0.0392622	0.503454	0.203169	0.998184	0.999535	1.00046	1.00182	5.241457
80	-250.8119	-224.3395	-26.47234	487541.6	5.269265	0.145314	0.0805907	0.0253001	0.0410988	0.0360593	0.0254418	0.127367	0.0236853	0.0164285	0.121955	0.0218617	0.157482	0.081218	0.0579609	0.0265346	0.123523	0.235748	0.075645	0.0836537	0.0774208	0.428996	0.104577	0.00223013	0.363439	1.0614	0.143565	0.0389769	0.238504	0.0274355	0.0857173	0.0693179	1.1565	0.0988835	0.99818	0.999534	1.00046	1.00182	5.403824
90	-236.2823	-221.5796	-14.70276	315014.9	9.924657	0.101871	0.0584555	0.0686426	0.0138748	0.0855864	0.050414	0.0368338	0.024313	0.00473008	0.116273	0.0171605	0.124253	0.0760425	0.280145	0.0729083	0.0497705	0.0359134	0.0359614	0.0587643	0.0475826	0.434646	0.0896534	0.00369637	0.2326	0.212272	0.113741	0.053954	0.148219	0.0125228	0.0107046	0.0687599	0.908166	0.04609	0.997736	0.999421	1.00058	1.00227	3.694521
100	-247.0249	-229.1197	-17.90526	18447.69	8.356865	0.176848	0.0118233	0.0448533	0.0135175	0.0489707	0.044931	0.0106545	0.00339675	0.0174613	0.171838	0.00348022	0.113118	0.0272401	0.249213	0.135709	0.0301739	0.0298271	0.149854	0.0254	0.0493076	0.590585	0.0715935	0.00257339	0.351016	0.333984	0.0928699	0.118976	0.173537	0.0117056	0.0318571	0.280723	0.666101	0.0462727	0.990657	0.997594	1.00237	1.00937	4.129411
110	-248.1266	-230.9674	-17.15921	422758.3	7.552893	0.114546	0.021239	0.078972	0.0161967	0.0970817	0.0892764	0.0197343	0.00228053	0.0536708	0.134419	0.00549056	0.07158	0.112128	0.236092	0.238702	0.0750409	0.0674055	0.12733	0.0201271	0.0331879	0.296856	0.0692489	0.0042607	0.312347	0.249802	0.202438	0.206297	0.0991267	0.0646688	0.0170273	0.233042	0.61804	0.0618716	0.998046	0.9995	1.0005	1.00196	4.049526
120	-238.3092	-218.9297	-19.37952	756907.1	7.426216	0.255297	0.0175511	0.0302646	0.01728	0.0880588	0.0184164	0.0618251	0.00473225	0.018382	0.128555	0.00429397	0.0323693	0.0788031	0.229469	0.0483568	0.0411042	0.0288854	0.060228	0.0140247	0.0176717	0.63969	0.217053	0.00335572	0.605734	0.161062	0.0422309	0.117153	0.158511	0.0458337	0.0149764	0.151733	0.98003	0.0129037	0.998539	0.999626	1.00037	1.00146	4.345836
130	-245.2631	-223.3401	-21.92296	578100.4	8.420834	0.605444	0.0201141	0.0297425	0.0152849	0.0348959	0.011076	0.086072	0.00414105	0.117747	0.118714	0.00597519	0.0679462	0.0769032	0.15635	0.0979483	0.058158	0.0402482	0.0993472	0.0210167	0.0327895	0.952088	0.108276	0.00408599	0.477019	0.253042	0.0536689	0.091675	0.147155	0.0873944	0.0138609	0.148695	0.541725	0.0249204	0.998329	0.999573	1.00043	1.00167	4.60352
140	-245.1873	-223.6864	-21.50087	789748.7	5.267419	0.426332	0.0114029	0.129398	0.00507491	0.0771157	0.0875816	0.0632104	0.0195334	0.0544791	0.132742	0.0160277	0.0490503	0.0622853	0.10643	0.0262774	0.0961556	0.185774	0.0180593	0.0466607	0.0550391	0.404023	0.0524418	0.00502049	0.655202	0.168957	0.0763018	0.1048	0.175665	0.245818	0.085976	0.145949	0.614785	0.0562071	0.99857	0.999634	1.00036	1.00143	4.459777
150	-250.6972	-231.625	-19.07219	706057.8	6.65859	0.420696	0.00717028	0.0256501	0.0285498	0.15094	0.117216	0.0406409	0.022019	0.0336491	0.247156	0.0207233	0.0449625	0.0418476	0.198429	0.0253585	0.0469142	0.100598	0.0350675	0.0359589	0.0491504	0.755558	0.0359195	0.0098927	0.350925	0.0674083	0.151396	0.0727463	0.297466	0.252903	0.12125	0.14246	0.281579	0.0507997	0.998488	0.999613	1.00039	1.00151	4.282998
160	-247.7928	-228.9313	-18.86149	840321.7	6.638856	0.336998	0.00332284	0.0901043	0.0454065	0.0903213	0.119648	0.0239744	0.0251183	0.0271218	0.125595	0.0203145	0.0324524	0.0373155	0.144276	0.0846917	0.114185	0.180706	0.012945	0.0729963	0.0268183	0.453794	0.0531674	0.00637631	0.686486	0.0629627	0.0819076	0.0799296	0.267162	0.560521	0.0926152	0.0765902	0.13915	0.0748589	0.998614	0.999645	1.00035	1.00139	4.249832
170	-247.1904	-228.3794	-18.81097	340936.2	6.774942	0.22557	0.00361307	0.137286	0.0279752	0.0461504	0.0620126	0.0270133	0.016649	0.0749716	0.0726557	0.0151143	0.0616048	0.109643	0.0653245	0.124821	0.0837895	0.322851	0.0204023	0.107772	0.0473203	0.658158	0.0636054	0.00758976	0.482947	0.0826331	0.0447785	0.100168	0.493648	0.226859	0.142849	0.0662237	0.0875494	0.142279	0.997824	0.999443	1.00056	1.00218	4.251829
180	-250.3653	-229.4736	-20.89169	960454.4	5.947572	0.183549	0.00269564	0.138896	0.0143029	0.0798555	0.0235493	0.00846442	0.0423742	0.159632	0.217305	0.00563936	0.0865355	0.147668	0.0779966	0.0749053	0.389518	0.219458	0.0117889	0.065127	0.0284443	0.608291	0.0535299	0.00719905	0.676988	0.0525382	0.053093	0.0317862	0.405828	0.445378	0.0472252	0.0538649	0.0488448	0.0360178	0.998703	0.999668	1.00033	1.0013	4.498291
190	-241.5948	-222.5914	-19.00339	947805.8	8.012117	0.638801	0.00810466	0.0798992	0.00680351	0.102286	0.025799	0.0125325	0.0113794	0.0458842	0.164322	0.0013333	0.126185	0.0584117	0.0271531	0.0266102	0.405412	0.138876	0.0405998	0.0898749	0.0796136	0.370041	0.158215	0.0152719	0.756524	0.0282487	0.0525566	0.0316586	0.315131	0.177485	0.0670645	0.0426161	0.0644725	0.110073	0.998695	0.999666	1.00033	1.00131	4.279241
200	-246.4257	-224.8337	-21.592	841786.6	8.68406	0.429767	0.0215119	0.0368141	0.00512696	0.185444	0.0399833	0.0135685	0.0139145	0.0429184	0.0703165	0.00206426	0.0306188	0.0632427	0.0111219	0.0153011	0.165755	0.0323313	0.0464736	0.153351	0.0415745	1.05793	0.128645	0.0276998	0.798731	0.0126215	0.0414462	0.0203066	0.393571	0.336021	0.126269	0.029105	0.105104	0.0381226	0.998615	0.999646	1.00035	1.00139	4.536775
210	-240.7182	-230.0467	-10.67151	85248.48	9.836757	0.110676	0.0287241	0.017224	0.00870233	0.154355	0.049905	0.00828549	0.0213829	0.0129299	0.0630454	0.00341397	0.0131248	0.0272174	0.00861043	0.0134433	0.056287	0.0196938	0.131232	0.201229	0.0246502	0.342971	0.0658006	0.0759291	0.834259	0.0254897	0.0566349	0.014197	0.370005	0.326759	0.0430143	0.0189866	0.0572075	0.0842768	0.99565	0.998885	1.00111	1.00436	3.289662
220	-229.8315	-218.1483	-11.6832	995256	8.212689	0.289007	0.0325316	0.099035	0.00172509	0.125543	0.0659324	0.0249177	0.0323089	0.0108913	0.076581	0.0022987	0.0564101	0.0132946	0.0154348	0.0067322	0.0806467	0.0137505	0.0916165	0.0945451	0.00976746	0.589257	0.0918954	0.033532	0.451465	0.0391645	0.0135634	0.0810914	0.493114	0.226182	0.0395453	0.0362039	0.074613	0.0652747	0.998726	0.999674	1.00033	1.00127	3.377872
230	-232.2651	-223.1213	-9.143858	335633.5	9.683164	0.0390025	0.0303917	0.112451	0.00419113	0.0475457	0.17973	0.0553085	0.0302616	0.00722468	0.125135	0.002761	0.217109	0.0190871	0.0121806	0.0031848	0.0371961	0.0166637	0.0519131	0.0943722	0.0101616	0.449081	0.0653844	0.0176531	0.212631	0.0919199	0.0527623	0.0910795	0.41653	0.428098	0.0729869	0.0188616	0.0865156	0.0342442	0.997807	0.999439	1.00056	1.00219	3.133619
240	-224.8604	-221.873	-2.987448	286821.8	10.21558	0.0714086	0.0293758	0.0727101	0.00523652	0.0999363	0.0574575	0.024622	0.0164479	0.0066548	0.0671939	0.00238283	0.0923018	0.0291296	0.0174054	0.00271258	0.0443795	0.0400215	0.0139154	0.0489699	0.00807611	0.255767	0.0465201	0.0385143	0.24096	0.0954177	0.0596075	0.165228	0.442143	0.234863	0.0354504	0.0391564	0.0443199	0.0818482	0.997628	0.999393	1.00061	1.00237	2.530134
250	-235.7933	-228.3176	-7.475673	212149.9	10.9495	0.149867	0.0634058	0.0824758	0.0917925	0.0520176	0.0288643	0.0819171	0.0116182	0.00634695	0.0415578	0.0028203	0.224629	0.126146	0.0267861	0.0256746	0.0556033	0.0382175	0.0396002	0.146065	0.0040981	0.202534	0.0985579	0.0133947	0.269398	0.0399307	0.0401339	0.0839771	0.244243	0.418082	0.0218568	0.0527618	0.0409712	0.140798	0.997242	0.999294	1.0007	1.00276	2.966141
260	-244.1183	-232.7676	-11.35072	75864.66	8.34196	0.165141	0.0668852	0.0699827	0.050705	0.0506998	0.0722892	0.0342337	0.00161782	0.00949943	0.0103548	0.00218793	0.280668	0.109751	0.0336923	0.0345135	0.125462	0.0871467	0.0862123	0.162659	0.000905902	0.401854	0.0541546	0.0108688	0.315756	0.03529	0.0169631	0.178322	0.367368	0.208088	0.0304314	0.121974	0.0929758	0.055699	0.995389	0.998818	1.00117	1.00462	3.344354
270	-235.8481	-216.3041	-19.54409	92919.79	7.578906	0.505822	0.0178794	0.0232873	0.0195242	0.104139	0.0309984	0.0587862	0.00130684	0.0128425	0.00941104	0.00243544	0.0278685	0.0596241	0.0588731	0.014357	0.0886242	0.0940683	0.0443526	0.226813	0.00147714	0.458411	0.0645738	0.0104408	0.936515	0.0950814	0.0152224	0.239668	0.400347	0.405375	0.0638739	0.0391851	0.156027	0.0773743	0.995833	0.998932	1.00106	1.00417	4.364584
280	-245.8868	-226.9389	-18.94786	304325	9.399664	0.645991	0.00944415	0.0155452	0.076155	0.0833875	0.0152281	0.1225	0.0008408	0.0193918	0.00535634	0.00745763	0.0147549	0.0612051	0.0315487	0.0159839	0.0271116	0.133319	0.0234821	0.101889	0.00436403	0.384899	0.0549499	0.0530988	0.483208	0.066994	0.00295863	0.107013	0.540817	0.768818	0.0563293	0.0512235	0.101784	0.0858076	0.997697	0.999411	1.00059	1.00231	4.172857
290	-242.2167	-220.7373	-21.47945	744716.9	7.722815	0.396453	0.0351907	0.00313549	0.0397247	0.0734724	0.0186361	0.0212138	0.0035219	0.0461603	0.00379561	0.0279174	0.0063674	0.0415492	0.0330507	0.0434999	0.0409727	0.172165	0.0619793	0.118718	0.00823801	0.350725	0.19147	0.0314932	1.12766	0.054326	0.0165487	0.228322	0.591896	0.267832	0.0902901	0.253709	0.0618167	0.14866	0.998527	0.999623	1.00038	1.00147	4.610507
300	-250.3303	-231.4962	-18.83409	527508.8	7.365126	0.334259	0.0446938	0.0112451	0.0229621	0.110669	0.0264321	0.0141412	0.0110139	0.0484497	0.00648393	0.0288941	0.00356982	0.0430119	0.0103082	0.0808701	0.0172746	0.0852757	0.0254175	0.0779286	0.0919623	0.774566	0.454736	0.0102893	0.643465	0.0971801	0.0111215	0.210419	0.214213	0.28223	0.140885	0.0692585	0.035199	0.234049	0.99825	0.999552	1.00045	1.00175	4.272475
310	-250.4312	-224.3854	-26.04585	993256.4	4.522265	0.431895	0.0759256	0.0213164	0.0440246	0.116716	0.0115152	0.0321787	0.0394316	0.132685	0.00781487	0.0123527	0.00276431	0.0444305	0.0207619	0.0557596	0.0442489	0.111029	0.0229283	0.223566	0.0438639	0.507477	0.910237	0.0179411	0.791227	0.104222	0.0195088	0.290091	0.120127	0.47138	0.084213	0.0976303	0.0781086	0.132213	0.998725	0.999674	1.00033	1.00128	5.119584
320	-255.064	-231.4007	-23.6632	889707.1	5.893963	0.724285	0.142819	0.00838405	0.0326054	0.168469	0.00213368	0.125766	0.0885112	0.0646141	0.0082856	0.00307758	0.00257604	0.0857878	0.0572349	0.0557972	0.126593	0.148026	0.0279444	0.177761	0.0419229	0.561526	0.242946	0.00983186	0.45804	0.078035	0.00965438	0.123255	0.14652	0.940891	0.0659046	0.0463431	0.0797833	0.105234	0.998653	0.999655	1.00034	1.00135	4.960559
330	-249.5373	-234.487	-15.05027	799532.3	8.47666	0.604485	0.182761	0.0263104	0.0688129	0.0939232	0.00875434	0.152453	0.100527	0.0413887	0.00577475	0.00186233	0.00167453	0.0495427	0.0942273	0.0467151	0.0606795	0.157382	0.0154718	0.0862741	0.0191003	0.294422	0.12619	0.00255221	0.588999	0.133681	0.0092927	0.120605	0.105961	0.233032	0.0489671	0.0262704	0.0343928	0.244345	0.998579	0.999637	1.00036	1.00142	3.78683
340	-242.0509	-224.5057	-17.54516	963275.6	8.597989	0.851413	0.362434	0.0276192	0.0585153	0.0349156	0.0136911	0.0762309	0.0268243	0.0241972	0.00954593	0.00145234	0.00210771	0.0395187	0.220568	0.0947748	0.0843735	0.0687394	0.0426577	0.0385877	0.0863036	0.54497	0.0109701	0.000979548	0.196066	0.0725372	0.0120621	0.144873	0.190687	0.401026	0.0893116	0.0331237	0.0354285	0.178785	0.998705	0.999669	1.00033	1.0013	4.075289
350	-264.5319	-239.9167	-24.61518	874101.1	6.688766	0.525549	0.348485	0.101336	0.223592	0.0276896	0.0887159	0.193416	0.048331	0.0314665	0.0174151	0.00108322	0.0168462	0.0422854	0.850858	0.220222	0.206846	0.0780039	0.0401606	0.0458862	0.0734761	0.487272	0.00201615	0.000774816	0.160048	0.140778	0.0276511	0.170575	0.129133	0.338303	0.216762	0.0306175	0.0779962	0.150191	0.998641	0.999652	1.00035	1.00136	5.113782
360	-265.1459	-241.2632	-23.88268	971576	4.4784	0.347552	0.180263	0.0276165	0.13476	0.0169237	0.0088304	0.127504	0.121002	0.0695136	0.0214559	0.001327	0.0201059	0.183131	0.772631	0.303167	0.196054	0.208931	0.054201	0.100612	0.0282409	0.141821	0.00314159	0.00350072	0.34268	0.122928	0.013903	0.0626342	0.0917279	0.41711	0.278635	0.0243616	0.120466	0.070111	0.998711	0.99967	1.00033	1.00129	4.616842
370	-233.9447	-220.2481	-13.69657	711269.2	10.05549	0.113981	0.188161	0.016884	0.0551063	0.0252264	0.0107184	0.0983741	0.0853957	0.0110955	0.00477575	0.00186841	0.0435495	0.0284815	0.0820435	0.0811241	0.0817548	0.148112	0.0748852	0.0452225	0.0283136	0.266847	0.00287494	0.00138992	0.570633	0.208434	0.0226619	0.0894099	0.0349171	0.496698	0.395706	0.0757555	0.10335	0.0930171	0.998493	0.999615	1.00038	1.00151	3.586766
380	-241.0548	-227.6309	-13.42389	478445.4	11.93658	0.0243219	0.22963	0.0164554	0.0326185	0.0300244	0.0198655	0.113985	0.0499882	0.0251266	0.00607455	0.00208386	0.0244979	0.0370496	0.030514	0.0913053	0.0795909	0.228972	0.0758749	0.0257078	0.0103559	0.557053	0.00801663	0.0026817	0.391752	0.115893	0.0392158	0.0829878	0.125646	0.383629	0.236481	0.134335	0.0828717	0.126659	0.998163	0.99953	1.00047	1.00184	3.441264
390	-249.5469	-235.9046	-13.6423	980629.2	10.73465	0.0524177	0.0970839	0.0302683	0.00295605	0.11689	0.0201036	0.0930542	0.0589656	0.0456412	0.00991964	0.00242568	0.0426838	0.0438136	0.0462234	0.295284	0.0868876	0.169945	0.031088	0.0231044	0.00832391	0.481652	0.00584227	0.00249254	0.0917857	0.0538697	0.114271	0.0704868	0.183344	0.316818	0.607889	0.0594235	0.074537	0.203558	0.998717	0.999672	1.00033	1.00128	3.54305
400	-252.5017	-239.87	-12.63176	290400.4	8.954693	0.0894117	0.186558	0.0667036	0.00669848	0.0244885	0.0182132	0.0875371	0.0417431	0.127248	0.00953799	0.00184465	0.0651396	0.107117	0.0874054	0.0499745	0.054913	0.114496	0.0720506	0.116451	0.00275309	0.398692	0.00785909	0.00532018	0.185853	0.0963168	0.161388	0.0555927	0.106498	0.214106	0.686367	0.0637188	0.0888712	0.105226	0.997642	0.999397	1.0006	1.00236	3.506093
410	-238.4011	-226.6989	-11.70221	548010.8	9.60297	0.0251656	0.111505	0.0550493	0.0140858	0.0335409	0.0346146	0.0764114	0.05687	0.0912888	0.0153459	0.00186934	0.0210507	0.0986769	0.1623	0.0348261	0.0300036	0.0455137	0.0162588	0.0354575	0.00970019	0.587658	0.00630093	0.00453865	0.347144	0.0783435	0.331067	0.255217	0.072417	0.102285	0.44748	0.0833027	0.0469922	0.0670115	0.998283	0.999561	1.00044	1.00172	3.399292
420	-234.7504	-222.5122	-12.23821	283476.8	8.859211	0.0480112	0.249804	0.0669105	0.0225902	0.0214609	0.049573	0.0406858	0.107888	0.0425642	0.039882	0.00332232	0.0375452	0.0490976	0.0881502	0.0321328	0.0298581	0.0340549	0.014314	0.0345801	0.010373	0.316757	0.0265001	0.00490812	0.572142	0.0626349	0.204269	0.609793	0.0361455	0.155176	0.258028	0.0597665	0.0944472	0.0383171	0.997614	0.999389	1.00061	1.00239	3.461682
430	-239.0415	-223.112	-15.92948	668887	13.63017	0.0211928	0.070949	0.0947878	0.0125919	0.0294362	0.0426607	0.0117477	0.0565573	0.050295	0.0542666	0.00751109	0.0567851	0.0401269	0.0875486	0.0689224	0.116799	0.0365616	0.0222932	0.118168	0.003764	0.376163	0.14176	0.0555905	0.602072	0.0324412	0.130519	0.619993	0.0555716	0.182776	0.135243	0.0413327	0.0674767	0.0499772	0.998446	0.999603	1.0004	1.00155	3.493879
